Lat,Lon
35.03,-88.22
35.03,-88.18
35.03,-88.14
35.03,-88.1
35.03,-88.06
34.99,-88.22
34.99,-88.18
34.99,-88.14
34.99,-88.1
34.99,-88.06
34.99,-88.02
34.99,-87.98
34.99,-87.94
34.99,-87.9
34.99,-87.86
34.99,-87.82
34.99,-87.78
34.99,-87.74
34.99,-87.7
34.99,-87.66
34.99,-87.62
34.99,-87.58
34.99,-87.54
34.99,-87.5
34.99,-87.46
34.99,-87.42
34.99,-87.38
34.99,-87.34
34.99,-87.3
34.99,-87.26
34.99,-87.22
34.99,-87.18
34.99,-87.14
34.99,-87.1
34.99,-87.06
34.99,-87.02
34.99,-86.98
34.99,-86.94
34.99,-86.9
34.99,-86.86
34.99,-86.82
34.99,-86.78
34.99,-86.74
34.99,-86.7
34.99,-86.66
34.99,-86.62
34.99,-86.58
34.99,-86.54
34.99,-86.5
34.99,-86.46
34.99,-86.42
34.99,-86.38
34.99,-86.34
34.99,-86.3
34.99,-86.26
34.99,-86.22
34.99,-86.18
34.99,-86.14
34.99,-86.1
34.99,-86.06
34.99,-86.02
34.99,-85.98
34.99,-85.94
34.99,-85.9
34.99,-85.86
34.99,-85.82
34.99,-85.78
34.99,-85.74
34.99,-85.7
34.99,-85.66
34.99,-85.62
34.95,-88.18
34.95,-88.14
34.95,-88.1
34.95,-88.06
34.95,-88.02
34.95,-87.98
34.95,-87.94
34.95,-87.9
34.95,-87.86
34.95,-87.82
34.95,-87.78
34.95,-87.74
34.95,-87.7
34.95,-87.66
34.95,-87.62
34.95,-87.58
34.95,-87.54
34.95,-87.5
34.95,-87.46
34.95,-87.42
34.95,-87.38
34.95,-87.34
34.95,-87.3
34.95,-87.26
34.95,-87.22
34.95,-87.18
34.95,-87.14
34.95,-87.1
34.95,-87.06
34.95,-87.02
34.95,-86.98
34.95,-86.94
34.95,-86.9
34.95,-86.86
34.95,-86.82
34.95,-86.78
34.95,-86.74
34.95,-86.7
34.95,-86.66
34.95,-86.62
34.95,-86.58
34.95,-86.54
34.95,-86.5
34.95,-86.46
34.95,-86.42
34.95,-86.38
34.95,-86.34
34.95,-86.3
