Lat,Lon
36.99,-114.07
36.99,-114.03
36.99,-113.99
36.99,-113.95
36.99,-113.91
36.99,-113.87
36.99,-113.83
36.99,-113.79
36.99,-113.75
36.99,-113.71
36.99,-113.67
36.99,-113.63
36.99,-113.59
36.99,-113.55
36.99,-113.51
36.99,-113.47
36.99,-113.43
36.99,-113.39
36.99,-113.35
36.99,-113.31
36.99,-113.27
36.99,-113.23
36.99,-113.19
36.99,-113.15
36.99,-113.11
36.99,-113.07
36.99,-113.03
36.99,-112.99
36.99,-112.95
36.99,-112.91
36.99,-112.87
36.99,-112.83
36.99,-112.79
36.99,-112.75
36.99,-112.71
36.99,-112.67
36.99,-112.63
36.99,-112.59
36.99,-112.55
36.99,-112.51
36.99,-112.47
36.99,-112.43
36.99,-112.39
36.99,-112.35
36.99,-112.31
36.99,-112.27
36.99,-112.23
36.99,-112.19
36.99,-112.15
36.99,-112.11
36.99,-112.07
36.99,-112.03
36.99,-111.99
36.99,-111.95
36.99,-111.91
36.99,-111.87
36.99,-111.83
36.99,-111.79
36.99,-111.75
36.99,-111.71
36.99,-111.67
36.99,-111.63
36.99,-111.59
36.99,-111.55
36.99,-111.51
36.99,-111.47
36.99,-111.43
36.99,-111.39
36.99,-111.35
36.99,-111.31
36.99,-111.27
36.99,-111.23
36.99,-111.19
36.99,-111.15
36.99,-111.11
36.99,-111.07
36.99,-111.03
36.99,-110.99
36.99,-110.95
36.99,-110.91
36.99,-110.87
36.99,-110.83
36.99,-110.79
36.99,-110.75
36.99,-110.71
36.99,-110.67
36.99,-110.63
36.99,-110.59
36.99,-110.55
36.99,-110.51
36.99,-110.47
36.99,-110.43
36.99,-110.39
36.99,-110.35
36.99,-110.31
36.99,-110.27
36.99,-110.23
36.99,-110.19
36.99,-110.15
36.99,-110.11
36.99,-110.07
36.99,-110.03
36.99,-109.99
36.99,-109.95
36.99,-109.91
36.99,-109.87
36.99,-109.83
36.99,-109.79
36.99,-109.75
36.99,-109.71
36.99,-109.67
36.99,-109.63
36.99,-109.59
36.99,-109.55
36.99,-109.51
36.99,-109.47
36.99,-109.43
36.99,-109.39
36.99,-109.35
36.99,-109.31
36.99,-109.27
36.99,-109.23
36.99,-109.19
36.99,-109.15
36.99,-109.11
36.99,-109.07
36.99,-109.03
36.95,-114.07
36.95,-114.03
36.95,-113.99
36.95,-113.95
36.95,-113.91
36.95,-113.87
36.95,-113.83
36.95,-113.79
36.95,-113.75
36.95,-113.71
36.95,-113.67
36.95,-113.63
36.95,-113.59
36.95,-113.55
36.95,-113.51
36.95,-113.47
36.95,-113.43
36.95,-113.39
36.95,-113.35
36.95,-113.31
36.95,-113.27
36.95,-113.23
36.95,-113.19
36.95,-113.15
36.95,-113.11
36.95,-113.07
36.95,-113.03
36.95,-112.99
36.95,-112.95
36.95,-112.91
36.95,-112.87
36.95,-112.83
36.95,-112.79
36.95,-112.75
36.95,-112.71
36.95,-112.67
36.95,-112.63
36.95,-112.59
36.95,-112.55
36.95,-112.51
36.95,-112.47
36.95,-112.43
36.95,-112.39
36.95,-112.35
36.95,-112.31
36.95,-112.27
36.95,-112.23
36.95,-112.19
36.95,-112.15
36.95,-112.11
36.95,-112.07
36.95,-112.03
36.95,-111.99
36.95,-111.95
36.95,-111.91
36.95,-111.87
36.95,-111.83
36.95,-111.79
36.95,-111.75
36.95,-111.71
36.95,-111.67
36.95,-111.63
36.95,-111.59
36.95,-111.55
36.95,-111.51
36.95,-111.47
36.95,-111.43
36.95,-111.39
36.95,-111.35
36.95,-111.31
36.95,-111.27
36.95,-111.23
36.95,-111.19
36.95,-111.15
36.95,-111.11
36.95,-111.07
36.95,-111.03
36.95,-110.99
36.95,-110.95
36.95,-110.91
36.95,-110.87
36.95,-110.83
36.95,-110.79
36.95,-110.75
36.95,-110.71
36.95,-110.67
36.95,-110.63
36.95,-110.59
36.95,-110.55
36.95,-110.51
36.95,-110.47
36.95,-110.43
36.95,-110.39
36.95,-110.35
36.95,-110.31
36.95,-110.27
36.95,-110.23
36.95,-110.19
36.95,-110.15
36.95,-110.11
36.95,-110.07
36.95,-110.03
36.95,-109.99
36.95,-109.95
36.95,-109.91
36.95,-109.87
36.95,-109.83
36.95,-109.79
36.95,-109.75
36.95,-109.71
36.95,-109.67
36.95,-109.63
36.95,-109.59
36.95,-109.55
36.95,-109.51
36.95,-109.47
36.95,-109.43
36.95,-109.39
36.95,-109.35
36.95,-109.31
36.95,-109.27
36.95,-109.23
36.95,-109.19
36.95,-109.15
36.95,-109.11
36.95,-109.07
36.95,-109.03
36.91,-114.07
36.91,-114.03
36.91,-113.99
36.91,-113.95
36.91,-113.91
36.91,-113.87
36.91,-113.83
36.91,-113.79
36.91,-113.75
36.91,-113.71
36.91,-113.67
36.91,-113.63
36.91,-113.59
36.91,-113.55
36.91,-113.51
36.91,-113.47
36.91,-113.43
36.91,-113.39
36.91,-113.35
36.91,-113.31
36.91,-113.27
36.91,-113.23
36.91,-113.19
36.91,-113.15
36.91,-113.11
36.91,-113.07
36.91,-113.03
36.91,-112.99
36.91,-112.95
36.91,-112.91
36.91,-112.87
36.91,-112.83
36.91,-112.79
36.91,-112.75
36.91,-112.71
36.91,-112.67
36.91,-112.63
36.91,-112.59
36.91,-112.55
36.91,-112.51
36.91,-112.47
36.91,-112.43
36.91,-112.39
36.91,-112.35
36.91,-112.31
36.91,-112.27
36.91,-112.23
36.91,-112.19
36.91,-112.15
36.91,-112.11
36.91,-112.07
36.91,-112.03
36.91,-111.99
36.91,-111.95
36.91,-111.91
36.91,-111.87
36.91,-111.83
36.91,-111.79
36.91,-111.75
36.91,-111.71
36.91,-111.67
36.91,-111.63
36.91,-111.59
36.91,-111.55
36.91,-111.51
36.91,-111.47
36.91,-111.43
36.91,-111.39
36.91,-111.35
36.91,-111.31
36.91,-111.27
36.91,-111.23
36.91,-111.19
36.91,-111.15
36.91,-111.11
36.91,-111.07
36.91,-111.03
36.91,-110.99
36.91,-110.95
36.91,-110.91
36.91,-110.87
36.91,-110.83
36.91,-110.79
36.91,-110.75
36.91,-110.71
36.91,-110.67
36.91,-110.63
36.91,-110.59
36.91,-110.55
36.91,-110.51
36.91,-110.47
