Lat,Lon
36.49,-94.62
36.49,-94.58
36.49,-94.54
36.49,-94.5
36.49,-94.46
36.49,-94.42
36.49,-94.38
36.49,-94.34
36.49,-94.3
36.49,-94.26
36.49,-94.22
36.49,-94.18
36.49,-94.14
36.49,-94.1
36.49,-94.06
36.49,-94.02
36.49,-93.98
36.49,-93.94
36.49,-93.9
36.49,-93.86
36.49,-93.82
36.49,-93.78
36.49,-93.74
36.49,-93.7
36.49,-93.66
36.49,-93.62
36.49,-93.58
36.49,-93.54
36.49,-93.5
36.49,-93.46
36.49,-93.42
36.49,-93.38
36.49,-93.34
36.49,-93.3
36.49,-93.26
36.49,-93.22
36.49,-93.18
36.49,-93.14
36.49,-93.1
36.49,-93.06
36.49,-93.02
36.49,-92.98
36.49,-92.94
36.49,-92.9
36.49,-92.86
36.49,-92.82
36.49,-92.78
36.49,-92.74
36.49,-92.7
36.49,-92.66
36.49,-92.62
36.49,-92.58
36.49,-92.54
36.49,-92.5
36.49,-92.46
36.49,-92.42
36.49,-92.38
36.49,-92.34
36.49,-92.3
36.49,-92.26
36.49,-92.22
36.49,-92.18
36.49,-92.14
36.49,-92.1
36.49,-92.06
36.49,-92.02
36.49,-91.98
36.49,-91.94
36.49,-91.9
36.49,-91.86
36.49,-91.82
36.49,-91.78
36.49,-91.74
36.49,-91.7
36.49,-91.66
36.49,-91.62
36.49,-91.58
36.49,-91.54
36.49,-91.5
36.49,-91.46
36.49,-91.42
36.49,-91.38
36.49,-91.34
36.49,-91.3
36.49,-91.26
36.49,-91.22
36.49,-91.18
36.49,-91.14
36.49,-91.1
36.49,-91.06
36.49,-91.02
36.49,-90.98
36.49,-90.94
36.49,-90.9
36.49,-90.86
36.49,-90.82
36.49,-90.78
36.49,-90.74
36.49,-90.7
36.49,-90.66
36.49,-90.62
36.49,-90.58
36.49,-90.54
36.49,-90.5
36.49,-90.46
36.49,-90.42
36.49,-90.38
36.49,-90.34
36.49,-90.3
36.49,-90.26
36.49,-90.22
36.49,-90.18
36.49,-90.14
36.45,-94.62
36.45,-94.58
36.45,-94.54
36.45,-94.5
36.45,-94.46
36.45,-94.42
36.45,-94.38
36.45,-94.34
36.45,-94.3
36.45,-94.26
36.45,-94.22
36.45,-94.18
36.45,-94.14
36.45,-94.1
36.45,-94.06
36.45,-94.02
36.45,-93.98
36.45,-93.94
36.45,-93.9
36.45,-93.86
36.45,-93.82
36.45,-93.78
36.45,-93.74
36.45,-93.7
36.45,-93.66
36.45,-93.62
36.45,-93.58
36.45,-93.54
36.45,-93.5
36.45,-93.46
36.45,-93.42
36.45,-93.38
36.45,-93.34
36.45,-93.3
36.45,-93.26
36.45,-93.22
36.45,-93.18
36.45,-93.14
36.45,-93.1
36.45,-93.06
36.45,-93.02
36.45,-92.98
36.45,-92.94
36.45,-92.9
36.45,-92.86
36.45,-92.82
36.45,-92.78
36.45,-92.74
36.45,-92.7
36.45,-92.66
36.45,-92.62
36.45,-92.58
36.45,-92.54
36.45,-92.5
36.45,-92.46
36.45,-92.42
36.45,-92.38
36.45,-92.34
36.45,-92.3
36.45,-92.26
36.45,-92.22
36.45,-92.18
36.45,-92.14
36.45,-92.1
36.45,-92.06
36.45,-92.02
36.45,-91.98
36.45,-91.94
36.45,-91.9
36.45,-91.86
36.45,-91.82
36.45,-91.78
36.45,-91.74
36.45,-91.7
36.45,-91.66
36.45,-91.62
36.45,-91.58
36.45,-91.54
36.45,-91.5
36.45,-91.46
36.45,-91.42
36.45,-91.38
36.45,-91.34
36.45,-91.3
36.45,-91.26
36.45,-91.22
36.45,-91.18
36.45,-91.14
36.45,-91.1
36.45,-91.06
36.45,-91.02
36.45,-90.98
36.45,-90.94
36.45,-90.9
36.45,-90.86
36.45,-90.82
36.45,-90.78
36.45,-90.74
36.45,-90.7
36.45,-90.66
36.45,-90.62
36.45,-90.58
36.45,-90.54
36.45,-90.5
36.45,-90.46
36.45,-90.42
36.45,-90.38
36.45,-90.34
36.45,-90.3
36.45,-90.26
36.45,-90.22
36.45,-90.18
36.45,-90.14
36.41,-94.62
36.41,-94.58
36.41,-94.54
36.41,-94.5
36.41,-94.46
36.41,-94.42
36.41,-94.38
36.41,-94.34
36.41,-94.3
36.41,-94.26
36.41,-94.22
36.41,-94.18
36.41,-94.14
36.41,-94.1
36.41,-94.06
36.41,-94.02
36.41,-93.98
36.41,-93.94
36.41,-93.9
36.41,-93.86
36.41,-93.82
36.41,-93.78
36.41,-93.74
36.41,-93.7
36.41,-93.66
36.41,-93.62
36.41,-93.58
36.41,-93.54
36.41,-93.5
36.41,-93.46
36.41,-93.42
36.41,-93.38
36.41,-93.34
36.41,-93.3
36.41,-93.26
36.41,-93.22
36.41,-93.18
36.41,-93.14
36.41,-93.1
36.41,-93.06
36.41,-93.02
36.41,-92.98
36.41,-92.94
36.41,-92.9
36.41,-92.86
36.41,-92.82
36.41,-92.78
36.41,-92.74
36.41,-92.7
36.41,-92.66
36.41,-92.62
36.41,-92.58
36.41,-92.54
36.41,-92.5
36.41,-92.46
36.41,-92.42
36.41,-92.38
36.41,-92.34
36.41,-92.3
36.41,-92.26
36.41,-92.22
36.41,-92.18
36.41,-92.14
36.41,-92.1
36.41,-92.06
36.41,-92.02
36.41,-91.98
36.41,-91.94
36.41,-91.9
36.41,-91.86
36.41,-91.82
36.41,-91.78
36.41,-91.74
36.41,-91.7
36.41,-91.66
36.41,-91.62
36.41,-91.58
36.41,-91.54
36.41,-91.5
36.41,-91.46
36.41,-91.42
36.41,-91.38
36.41,-91.34
36.41,-91.3
36.41,-91.26
36.41,-91.22
36.41,-91.18
36.41,-91.14
36.41,-91.1
36.41,-91.06
36.41,-91.02
36.41,-90.98
36.41,-90.94
36.41,-90.9
36.41,-90.86
36.41,-90.82
36.41,-90.78
36.41,-90.74
36.41,-90.7
36.41,-90.66
36.41,-90.62
36.41,-90.58
36.41,-90.54
36.41,-90.5
36.41,-90.46
36.41,-90.42
36.41,-90.38
36.41,-90.34
36.41,-90.3
36.41,-90.26
36.41,-90.22
36.41,-90.18
36.41,-90.14
36.41,-90.1
36.41,-90.06
36.37,-94.62
36.37,-94.58
36.37,-94.54
36.37,-94.5
36.37,-94.46
36.37,-94.42
36.37,-94.38
36.37,-94.34
36.37,-94.3
36.37,-94.26
36.37,-94.22
36.37,-94.18
36.37,-94.14
36.37,-94.1
36.37,-94.06
36.37,-94.02
36.37,-93.98
36.37,-93.94
36.37,-93.9
36.37,-93.86
36.37,-93.82
36.37,-93.78
36.37,-93.74
36.37,-93.7
36.37,-93.66
36.37,-93.62
36.37,-93.58
36.37,-93.54
36.37,-93.5
36.37,-93.46
36.37,-93.42
36.37,-93.38
36.37,-93.34
36.37,-93.3
36.37,-93.26
36.37,-93.22
36.37,-93.18
36.37,-93.14
36.37,-93.1
36.37,-93.06
36.37,-93.02
36.37,-92.98
36.37,-92.94
36.37,-92.9
36.37,-92.86
36.37,-92.82
36.37,-92.78
36.37,-92.74
36.37,-92.7
36.37,-92.66
36.37,-92.62
36.37,-92.58
36.37,-92.54
