Lat,Lon
41.02,-109.03
41.02,-108.99
41.02,-108.95
41.02,-108.91
41.02,-108.87
41.02,-108.83
41.02,-108.79
41.02,-108.75
41.02,-108.71
41.02,-108.67
41.02,-108.63
41.02,-108.59
41.02,-108.55
41.02,-108.51
41.02,-108.47
41.02,-108.43
41.02,-108.39
41.02,-108.35
41.02,-108.31
41.02,-108.27
41.02,-108.23
41.02,-108.19
41.02,-108.15
41.02,-108.11
41.02,-108.07
41.02,-108.03
41.02,-107.99
41.02,-107.95
41.02,-107.91
41.02,-107.87
41.02,-107.83
41.02,-107.79
41.02,-107.75
41.02,-107.71
41.02,-107.67
41.02,-107.63
41.02,-107.59
41.02,-107.55
41.02,-107.51
41.02,-107.47
41.02,-107.43
41.02,-107.39
41.02,-107.35
41.02,-107.31
41.02,-107.27
41.02,-107.23
41.02,-107.19
41.02,-107.15
41.02,-107.11
41.02,-107.07
41.02,-107.03
41.02,-106.99
41.02,-106.95
41.02,-106.91
41.02,-106.87
41.02,-106.83
41.02,-106.79
41.02,-106.75
41.02,-106.71
41.02,-106.67
41.02,-106.63
41.02,-106.59
41.02,-106.55
41.02,-106.51
41.02,-106.47
41.02,-106.43
41.02,-106.39
41.02,-106.35
41.02,-106.31
41.02,-104.83
41.02,-104.79
41.02,-104.75
41.02,-104.71
41.02,-104.67
41.02,-104.63
41.02,-104.59
41.02,-104.55
41.02,-104.51
41.02,-104.47
41.02,-104.43
41.02,-104.39
41.02,-104.35
41.02,-104.31
41.02,-104.27
41.02,-104.23
41.02,-104.19
41.02,-104.15
41.02,-104.11
41.02,-104.07
41.02,-104.03
41.02,-103.99
41.02,-103.95
41.02,-103.91
41.02,-103.87
41.02,-103.83
41.02,-103.79
41.02,-103.75
41.02,-103.71
41.02,-103.67
41.02,-103.63
41.02,-103.59
41.02,-103.55
41.02,-103.51
41.02,-103.47
41.02,-103.43
41.02,-103.39
41.02,-103.35
41.02,-103.31
41.02,-103.27
41.02,-103.23
41.02,-103.19
41.02,-103.15
41.02,-103.11
41.02,-103.07
41.02,-103.03
41.02,-102.99
41.02,-102.95
41.02,-102.91
41.02,-102.87
41.02,-102.83
41.02,-102.79
41.02,-102.75
41.02,-102.71
41.02,-102.67
41.02,-102.63
41.02,-102.59
41.02,-102.55
41.02,-102.51
41.02,-102.47
41.02,-102.43
41.02,-102.39
41.02,-102.35
41.02,-102.31
41.02,-102.27
41.02,-102.23
41.02,-102.19
41.02,-102.15
41.02,-102.11
41.02,-102.07
41.02,-102.03
40.98,-109.03
40.98,-108.99
40.98,-108.95
40.98,-108.91
40.98,-108.87
40.98,-108.83
40.98,-108.79
40.98,-108.75
40.98,-108.71
40.98,-108.67
40.98,-108.63
40.98,-108.59
40.98,-108.55
40.98,-108.51
40.98,-108.47
40.98,-108.43
40.98,-108.39
40.98,-108.35
40.98,-108.31
40.98,-108.27
40.98,-108.23
40.98,-108.19
40.98,-108.15
40.98,-108.11
40.98,-108.07
40.98,-108.03
40.98,-107.99
40.98,-107.95
40.98,-107.91
40.98,-107.87
40.98,-107.83
40.98,-107.79
40.98,-107.75
40.98,-107.71
40.98,-107.67
40.98,-107.63
40.98,-107.59
40.98,-107.55
40.98,-107.51
40.98,-107.47
40.98,-107.43
40.98,-107.39
40.98,-107.35
40.98,-107.31
40.98,-107.27
40.98,-107.23
40.98,-107.19
40.98,-107.15
40.98,-107.11
40.98,-107.07
40.98,-107.03
40.98,-106.99
