Lat,Lon
42.06,-73.48
42.06,-73.44
42.06,-73.4
42.06,-73.36
42.06,-73.32
42.06,-73.28
42.06,-73.24
42.06,-73.2
42.06,-73.16
42.06,-73.12
42.06,-73.08
42.06,-73.04
42.06,-73.0
42.06,-72.96
42.06,-72.92
42.06,-72.88
42.06,-72.84
42.06,-72.8
42.06,-72.76
42.06,-72.72
42.06,-72.68
42.02,-73.48
42.02,-73.44
42.02,-73.4
42.02,-73.36
42.02,-73.32
42.02,-73.28
42.02,-73.24
42.02,-73.2
42.02,-73.16
42.02,-73.12
42.02,-73.08
42.02,-73.04
42.02,-73.0
42.02,-72.96
42.02,-72.92
42.02,-72.88
42.02,-72.84
42.02,-72.8
42.02,-72.76
42.02,-72.72
42.02,-72.68
42.02,-72.64
42.02,-72.6
42.02,-72.56
42.02,-72.52
42.02,-72.48
42.02,-72.44
42.02,-72.4
42.02,-72.36
42.02,-72.32
42.02,-72.28
42.02,-72.24
42.02,-72.2
42.02,-72.16
42.02,-72.12
42.02,-72.08
42.02,-72.04
42.02,-72.0
42.02,-71.96
42.02,-71.92
42.02,-71.88
42.02,-71.84
42.02,-71.8
41.98,-73.48
41.98,-73.44
41.98,-73.4
41.98,-73.36
41.98,-73.32
41.98,-73.28
41.98,-73.24
41.98,-73.2
41.98,-73.16
41.98,-73.12
41.98,-73.08
41.98,-73.04
41.98,-73.0
41.98,-72.96
41.98,-72.92
41.98,-72.88
41.98,-72.84
41.98,-72.8
41.98,-72.76
41.98,-72.72
41.98,-72.68
41.98,-72.64
41.98,-72.6
41.98,-72.56
41.98,-72.52
41.98,-72.48
41.98,-72.44
41.98,-72.4
41.98,-72.36
41.98,-72.32
41.98,-72.28
41.98,-72.24
41.98,-72.2
41.98,-72.16
41.98,-72.12
41.98,-72.08
41.98,-72.04
41.98,-72.0
41.98,-71.96
41.98,-71.92
41.98,-71.88
41.98,-71.84
41.98,-71.8
41.94,-73.48
41.94,-73.44
41.94,-73.4
41.94,-73.36
41.94,-73.32
41.94,-73.28
41.94,-73.24
41.94,-73.2
41.94,-73.16
41.94,-73.12
41.94,-73.08
41.94,-73.04
41.94,-73.0
41.94,-72.96
41.94,-72.92
41.94,-72.88
41.94,-72.84
41.94,-72.8
41.94,-72.76
41.94,-72.72
41.94,-72.68
41.94,-72.64
41.94,-72.6
41.94,-72.56
41.94,-72.52
41.94,-72.48
41.94,-72.44
41.94,-72.4
41.94,-72.36
41.94,-72.32
41.94,-72.28
41.94,-72.24
41.94,-72.2
41.94,-72.16
41.94,-72.12
41.94,-72.08
41.94,-72.04
41.94,-72.0
41.94,-71.96
41.94,-71.92
41.94,-71.88
41.94,-71.84
41.94,-71.8
41.9,-73.52
