Lat,Lon
39.84,-75.68
39.84,-75.64
39.84,-75.6
39.84,-75.56
39.84,-75.52
39.84,-75.48
39.84,-75.44
39.8,-75.76
39.8,-75.72
39.8,-75.68
39.8,-75.64
39.8,-75.6
39.8,-75.56
39.8,-75.52
39.8,-75.48
39.8,-75.44
39.8,-75.4
39.76,-75.76
39.76,-75.72
39.76,-75.68
39.76,-75.64
39.76,-75.6
39.76,-75.56
39.76,-75.52
39.76,-75.48
39.76,-75.44
39.72,-75.8
39.72,-75.76
39.72,-75.72
39.72,-75.68
39.72,-75.64
39.72,-75.6
39.72,-75.56
39.72,-75.52
39.72,-75.48
39.68,-75.8
39.68,-75.76
39.68,-75.72
39.68,-75.68
39.68,-75.64
39.68,-75.6
39.68,-75.56
39.68,-75.52
39.64,-75.8
39.64,-75.76
39.64,-75.72
39.64,-75.68
39.64,-75.64
39.64,-75.6
39.64,-75.56
39.6,-75.8
39.6,-75.76
39.6,-75.72
39.6,-75.68
39.6,-75.64
39.6,-75.6
39.6,-75.56
39.56,-75.8
39.56,-75.76
39.56,-75.72
39.56,-75.68
39.56,-75.64
39.56,-75.6
39.56,-75.56
39.52,-75.8
39.52,-75.76
39.52,-75.72
39.52,-75.68
39.52,-75.64
39.52,-75.6
39.52,-75.56
39.48,-75.8
39.48,-75.76
39.48,-75.72
39.48,-75.68
39.48,-75.64
39.48,-75.6
39.44,-75.76
39.44,-75.72
39.44,-75.68
39.44,-75.64
39.44,-75.6
39.44,-75.56
39.4,-75.76
39.4,-75.72
39.4,-75.68
39.4,-75.64
39.4,-75.6
39.4,-75.56
39.4,-75.52
39.36,-75.76
39.36,-75.72
39.36,-75.68
39.36,-75.64
39.36,-75.6
39.36,-75.56
39.36,-75.52
39.36,-75.48
39.32,-75.76
39.32,-75.72
39.32,-75.68
39.32,-75.64
39.32,-75.6
39.32,-75.56
39.32,-75.52
39.32,-75.48
39.32,-75.44
39.28,-75.76
39.28,-75.72
39.28,-75.68
39.28,-75.64
39.28,-75.6
39.28,-75.56
39.28,-75.52
39.28,-75.48
39.28,-75.44
39.28,-75.4
39.24,-75.76
39.24,-75.72
39.24,-75.68
39.24,-75.64
39.24,-75.6
39.24,-75.56
39.24,-75.52
39.24,-75.48
39.24,-75.44
39.24,-75.4
39.2,-75.76
39.2,-75.72
39.2,-75.68
39.2,-75.64
39.2,-75.6
39.2,-75.56
39.2,-75.52
39.2,-75.48
39.2,-75.44
39.2,-75.4
39.16,-75.76
39.16,-75.72
39.16,-75.68
39.16,-75.64
39.16,-75.6
39.16,-75.56
39.16,-75.52
39.16,-75.48
39.16,-75.44
39.16,-75.4
39.12,-75.76
39.12,-75.72
39.12,-75.68
39.12,-75.64
39.12,-75.6
39.12,-75.56
39.12,-75.52
39.12,-75.48
39.12,-75.44
39.12,-75.4
39.08,-75.76
39.08,-75.72
39.08,-75.68
39.08,-75.64
39.08,-75.6
39.08,-75.56
39.08,-75.52
39.08,-75.48
39.08,-75.44
39.08,-75.4
39.04,-75.76
39.04,-75.72
39.04,-75.68
39.04,-75.64
39.04,-75.6
39.04,-75.56
39.04,-75.52
39.04,-75.48
39.04,-75.44
39.04,-75.4
39.04,-75.36
39.0,-75.76
39.0,-75.72
39.0,-75.68
39.0,-75.64
39.0,-75.6
39.0,-75.56
39.0,-75.52
39.0,-75.48
39.0,-75.44
39.0,-75.4
39.0,-75.36
39.0,-75.32
38.96,-75.72
38.96,-75.68
38.96,-75.64
38.96,-75.6
38.96,-75.56
38.96,-75.52
38.96,-75.48
38.96,-75.44
38.96,-75.4
38.96,-75.36
38.96,-75.32
38.92,-75.72
38.92,-75.68
38.92,-75.64
38.92,-75.6
38.92,-75.56
38.92,-75.52
38.92,-75.48
38.92,-75.44
38.92,-75.4
38.92,-75.36
38.92,-75.32
38.92,-75.28
38.88,-75.72
38.88,-75.68
38.88,-75.64
38.88,-75.6
38.88,-75.56
38.88,-75.52
38.88,-75.48
38.88,-75.44
38.88,-75.4
38.88,-75.36
38.88,-75.32
38.88,-75.28
38.88,-75.24
38.84,-75.72
38.84,-75.68
38.84,-75.64
38.84,-75.6
38.84,-75.56
38.84,-75.52
38.84,-75.48
38.84,-75.44
38.84,-75.4
38.84,-75.36
38.84,-75.32
38.84,-75.28
38.84,-75.24
38.84,-75.2
38.8,-75.72
38.8,-75.68
38.8,-75.64
38.8,-75.6
38.8,-75.56
38.8,-75.52
38.8,-75.48
38.8,-75.44
38.8,-75.4
38.8,-75.36
38.8,-75.32
38.8,-75.28
38.8,-75.24
38.8,-75.2
38.8,-75.16
38.8,-75.12
38.8,-75.08
38.76,-75.72
38.76,-75.68
38.76,-75.64
38.76,-75.6
38.76,-75.56
38.76,-75.52
38.76,-75.48
38.76,-75.44
38.76,-75.4
38.76,-75.36
38.76,-75.32
38.76,-75.28
38.76,-75.24
38.76,-75.2
38.76,-75.16
38.76,-75.12
38.76,-75.08
38.72,-75.72
38.72,-75.68
38.72,-75.64
38.72,-75.6
38.72,-75.56
38.72,-75.52
38.72,-75.48
38.72,-75.44
38.72,-75.4
38.72,-75.36
38.72,-75.32
38.72,-75.28
38.72,-75.24
38.72,-75.2
38.72,-75.16
38.72,-75.12
38.72,-75.08
38.68,-75.72
38.68,-75.68
38.68,-75.64
38.68,-75.6
38.68,-75.56
38.68,-75.52
38.68,-75.48
38.68,-75.44
38.68,-75.4
38.68,-75.36
38.68,-75.32
38.68,-75.28
38.68,-75.24
38.68,-75.2
38.68,-75.16
38.68,-75.12
38.68,-75.08
38.64,-75.72
38.64,-75.68
38.64,-75.64
38.64,-75.6
38.64,-75.56
38.64,-75.52
38.64,-75.48
38.64,-75.44
38.64,-75.4
38.64,-75.36
38.64,-75.32
38.64,-75.28
38.64,-75.24
38.64,-75.2
38.64,-75.16
38.64,-75.12
38.64,-75.08
38.6,-75.72
38.6,-75.68
38.6,-75.64
38.6,-75.6
38.6,-75.56
38.6,-75.52
38.6,-75.48
38.6,-75.44
38.6,-75.4
38.6,-75.36
38.6,-75.32
38.6,-75.28
38.6,-75.24
38.6,-75.2
38.6,-75.16
38.6,-75.12
38.6,-75.08
38.56,-75.72
38.56,-75.68
38.56,-75.64
38.56,-75.6
38.56,-75.56
38.56,-75.52
38.56,-75.48
38.56,-75.44
38.56,-75.4
38.56,-75.36
38.56,-75.32
38.56,-75.28
38.56,-75.24
38.56,-75.2
38.56,-75.16
38.56,-75.12
38.56,-75.08
38.56,-75.04
38.52,-75.72
38.52,-75.68
38.52,-75.64
38.52,-75.6
38.52,-75.56
38.52,-75.52
38.52,-75.48
38.52,-75.44
38.52,-75.4
38.52,-75.36
38.52,-75.32
38.52,-75.28
38.52,-75.24
38.52,-75.2
38.52,-75.16
38.52,-75.12
38.52,-75.08
38.52,-75.04
38.48,-75.72
38.48,-75.68
38.48,-75.64
38.48,-75.6
38.48,-75.56
38.48,-75.52
38.48,-75.48
38.48,-75.44
38.48,-75.4
38.48,-75.36
38.48,-75.32
38.48,-75.28
38.48,-75.24
38.48,-75.2
38.48,-75.16
38.48,-75.12
38.48,-75.08
38.48,-75.04
38.44,-75.6
38.44,-75.56
38.44,-75.52
38.44,-75.48
38.44,-75.44
38.44,-75.4
38.44,-75.36
38.44,-75.32
38.44,-75.28
38.44,-75.24
38.44,-75.2
38.44,-75.16
38.44,-75.12
38.44,-75.08
38.44,-75.04
