Lat,Lon
31.0,-87.6
31.0,-87.56
31.0,-87.52
31.0,-87.48
31.0,-87.44
31.0,-87.4
31.0,-87.36
31.0,-87.32
31.0,-87.28
31.0,-87.24
31.0,-87.2
31.0,-87.16
31.0,-87.12
31.0,-87.08
31.0,-87.04
31.0,-87.0
31.0,-86.96
31.0,-86.92
31.0,-86.88
31.0,-86.84
31.0,-86.8
31.0,-86.76
31.0,-86.72
31.0,-86.68
31.0,-86.64
31.0,-86.6
31.0,-86.56
31.0,-86.52
31.0,-86.48
31.0,-86.44
31.0,-86.4
31.0,-86.36
31.0,-86.32
31.0,-86.28
31.0,-86.24
31.0,-86.2
31.0,-86.16
31.0,-86.12
31.0,-86.08
31.0,-86.04
31.0,-86.0
31.0,-85.96
31.0,-85.92
31.0,-85.88
31.0,-85.84
31.0,-85.8
31.0,-85.76
31.0,-85.72
31.0,-85.68
31.0,-85.64
31.0,-85.6
31.0,-85.56
31.0,-85.52
31.0,-85.48
31.0,-85.44
31.0,-85.4
31.0,-85.36
31.0,-85.32
31.0,-85.28
31.0,-85.24
31.0,-85.2
31.0,-85.16
31.0,-85.12
31.0,-85.08
31.0,-85.04
31.0,-85.0
30.96,-87.6
30.96,-87.56
30.96,-87.52
30.96,-87.48
30.96,-87.44
30.96,-87.4
30.96,-87.36
30.96,-87.32
30.96,-87.28
30.96,-87.24
30.96,-87.2
30.96,-87.16
30.96,-87.12
30.96,-87.08
30.96,-87.04
30.96,-87.0
30.96,-86.96
30.96,-86.92
30.96,-86.88
30.96,-86.84
30.96,-86.8
30.96,-86.76
30.96,-86.72
30.96,-86.68
30.96,-86.64
30.96,-86.6
30.96,-86.56
30.96,-86.52
30.96,-86.48
30.96,-86.44
30.96,-86.4
30.96,-86.36
30.96,-86.32
30.96,-86.28
30.96,-86.24
30.96,-86.2
30.96,-86.16
30.96,-86.12
30.96,-86.08
30.96,-86.04
30.96,-86.0
30.96,-85.96
30.96,-85.92
30.96,-85.88
30.96,-85.84
30.96,-85.8
30.96,-85.76
30.96,-85.72
30.96,-85.68
30.96,-85.64
30.96,-85.6
30.96,-85.56
30.96,-85.52
30.96,-85.48
30.96,-85.44
30.96,-85.4
30.96,-85.36
30.96,-85.32
30.96,-85.28
30.96,-85.24
30.96,-85.2
30.96,-85.16
30.96,-85.12
30.96,-85.08
30.96,-85.04
30.96,-85.0
30.96,-84.96
30.92,-87.6
30.92,-87.56
30.92,-87.52
30.92,-87.48
30.92,-87.44
