Lat,Lon
34.98,-85.62
34.98,-85.58
34.98,-85.54
34.98,-85.5
34.98,-85.46
34.98,-85.42
34.98,-85.38
34.98,-85.34
34.98,-85.3
34.98,-85.26
34.98,-85.22
34.98,-85.18
34.98,-85.14
34.98,-85.1
34.98,-85.06
34.98,-85.02
34.98,-84.98
34.98,-84.94
34.98,-84.9
34.98,-84.86
34.98,-84.82
34.98,-84.78
34.98,-84.74
34.98,-84.7
34.98,-84.66
34.98,-84.62
34.98,-84.58
34.98,-84.54
34.98,-84.5
34.98,-84.46
34.98,-84.42
34.98,-84.38
34.98,-84.34
34.98,-84.3
34.98,-84.26
34.98,-84.22
34.98,-84.18
34.98,-84.14
34.98,-84.1
34.98,-84.06
34.98,-84.02
34.98,-83.98
34.98,-83.94
34.98,-83.9
34.98,-83.86
34.98,-83.82
34.98,-83.78
34.98,-83.74
34.98,-83.7
34.98,-83.66
34.98,-83.62
34.98,-83.58
34.98,-83.54
34.98,-83.5
34.98,-83.46
34.98,-83.42
34.98,-83.38
34.98,-83.34
34.98,-83.3
34.98,-83.26
34.98,-83.22
34.98,-83.18
34.98,-83.14
34.98,-83.1
34.94,-85.58
34.94,-85.54
34.94,-85.5
34.94,-85.46
34.94,-85.42
34.94,-85.38
34.94,-85.34
34.94,-85.3
34.94,-85.26
34.94,-85.22
34.94,-85.18
34.94,-85.14
34.94,-85.1
34.94,-85.06
34.94,-85.02
34.94,-84.98
34.94,-84.94
34.94,-84.9
34.94,-84.86
34.94,-84.82
34.94,-84.78
34.94,-84.74
34.94,-84.7
34.94,-84.66
34.94,-84.62
34.94,-84.58
34.94,-84.54
34.94,-84.5
34.94,-84.46
34.94,-84.42
34.94,-84.38
34.94,-84.34
34.94,-84.3
34.94,-84.26
34.94,-84.22
34.94,-84.18
34.94,-84.14
34.94,-84.1
34.94,-84.06
34.94,-84.02
34.94,-83.98
34.94,-83.94
34.94,-83.9
34.94,-83.86
34.94,-83.82
34.94,-83.78
34.94,-83.74
34.94,-83.7
34.94,-83.66
34.94,-83.62
34.94,-83.58
34.94,-83.54
34.94,-83.5
34.94,-83.46
34.94,-83.42
34.94,-83.38
34.94,-83.34
34.94,-83.3
34.94,-83.26
34.94,-83.22
34.94,-83.18
34.94,-83.14
34.94,-83.1
34.9,-85.58
34.9,-85.54
34.9,-85.5
34.9,-85.46
34.9,-85.42
34.9,-85.38
34.9,-85.34
34.9,-85.3
34.9,-85.26
34.9,-85.22
34.9,-85.18
34.9,-85.14
34.9,-85.1
34.9,-85.06
34.9,-85.02
34.9,-84.98
34.9,-84.94
34.9,-84.9
34.9,-84.86
