Lat,Lon
48.99,-117.03
48.99,-116.99
48.99,-116.95
48.99,-116.91
48.99,-116.87
48.99,-116.83
48.99,-116.79
48.99,-116.75
48.99,-116.71
48.99,-116.67
48.99,-116.63
48.99,-116.59
48.99,-116.55
48.99,-116.51
48.99,-116.47
48.99,-116.43
48.99,-116.39
48.99,-116.35
48.99,-116.31
48.99,-116.27
48.99,-116.23
48.99,-116.19
48.99,-116.15
48.99,-116.11
48.99,-116.07
48.99,-116.03
48.95,-117.03
48.95,-116.99
48.95,-116.95
48.95,-116.91
48.95,-116.87
48.95,-116.83
48.95,-116.79
48.95,-116.75
48.95,-116.71
48.95,-116.67
48.95,-116.63
48.95,-116.59
48.95,-116.55
48.95,-116.51
48.95,-116.47
48.95,-116.43
48.95,-116.39
48.95,-116.35
48.95,-116.31
48.95,-116.27
48.95,-116.23
48.95,-116.19
48.95,-116.15
48.95,-116.11
48.95,-116.07
48.95,-116.03
48.91,-117.03
48.91,-116.99
48.91,-116.95
48.91,-116.91
48.91,-116.87
48.91,-116.83
48.91,-116.79
48.91,-116.75
48.91,-116.71
48.91,-116.67
48.91,-116.63
48.91,-116.59
48.91,-116.55
48.91,-116.51
48.91,-116.47
48.91,-116.43
48.91,-116.39
48.91,-116.35
48.91,-116.31
48.91,-116.27
48.91,-116.23
48.91,-116.19
48.91,-116.15
48.91,-116.11
48.91,-116.07
48.91,-116.03
48.87,-117.03
48.87,-116.99
48.87,-116.95
48.87,-116.91
48.87,-116.87
48.87,-116.83
48.87,-116.79
48.87,-116.75
48.87,-116.71
48.87,-116.67
48.87,-116.63
48.87,-116.59
48.87,-116.55
48.87,-116.51
48.87,-116.47
48.87,-116.43
48.87,-116.39
48.87,-116.35
48.87,-116.31
48.87,-116.27
48.87,-116.23
48.87,-116.19
48.87,-116.15
48.87,-116.11
48.87,-116.07
48.87,-116.03
48.83,-117.03
48.83,-116.99
48.83,-116.95
48.83,-116.91
48.83,-116.87
48.83,-116.83
48.83,-116.79
48.83,-116.75
48.83,-116.71
48.83,-116.67
48.83,-116.63
48.83,-116.59
48.83,-116.55
48.83,-116.51
48.83,-116.47
48.83,-116.43
48.83,-116.39
48.83,-116.35
48.83,-116.31
48.83,-116.27
48.83,-116.23
48.83,-116.19
48.83,-116.15
48.83,-116.11
48.83,-116.07
48.83,-116.03
48.79,-117.03
48.79,-116.99
48.79,-116.95
48.79,-116.91
48.79,-116.87
48.79,-116.83
48.79,-116.79
48.79,-116.75
48.79,-116.71
48.79,-116.67
48.79,-116.63
48.79,-116.59
48.79,-116.55
48.79,-116.51
48.79,-116.47
48.79,-116.43
48.79,-116.39
48.79,-116.35
48.79,-116.31
48.79,-116.27
48.79,-116.23
48.79,-116.19
48.79,-116.15
48.79,-116.11
48.79,-116.07
48.79,-116.03
48.75,-117.03
48.75,-116.99
48.75,-116.95
48.75,-116.91
48.75,-116.87
48.75,-116.83
48.75,-116.79
48.75,-116.75
48.75,-116.71
48.75,-116.67
48.75,-116.63
48.75,-116.59
48.75,-116.55
48.75,-116.51
48.75,-116.47
48.75,-116.43
48.75,-116.39
48.75,-116.35
48.75,-116.31
48.75,-116.27
48.75,-116.23
48.75,-116.19
48.75,-116.15
48.75,-116.11
48.75,-116.07
48.75,-116.03
48.71,-117.03
48.71,-116.99
48.71,-116.95
48.71,-116.91
48.71,-116.87
48.71,-116.83
48.71,-116.79
48.71,-116.75
48.71,-116.71
48.71,-116.67
48.71,-116.63
48.71,-116.59
48.71,-116.55
48.71,-116.51
48.71,-116.47
48.71,-116.43
48.71,-116.39
48.71,-116.35
48.71,-116.31
48.71,-116.27
48.71,-116.23
48.71,-116.19
48.71,-116.15
48.71,-116.11
48.71,-116.07
48.71,-116.03
48.67,-117.03
48.67,-116.99
48.67,-116.95
48.67,-116.91
48.67,-116.87
48.67,-116.83
48.67,-116.79
48.67,-116.75
48.67,-116.71
48.67,-116.67
48.67,-116.63
48.67,-116.59
48.67,-116.55
48.67,-116.51
48.67,-116.47
48.67,-116.43
48.67,-116.39
48.67,-116.35
48.67,-116.31
48.67,-116.27
48.67,-116.23
48.67,-116.19
48.67,-116.15
48.67,-116.11
48.67,-116.07
48.67,-116.03
48.63,-117.03
48.63,-116.99
48.63,-116.95
48.63,-116.91
48.63,-116.87
48.63,-116.83
48.63,-116.79
48.63,-116.75
48.63,-116.71
48.63,-116.67
48.63,-116.63
48.63,-116.59
48.63,-116.55
48.63,-116.51
48.63,-116.47
48.63,-116.43
48.63,-116.39
48.63,-116.35
48.63,-116.31
48.63,-116.27
48.63,-116.23
48.63,-116.19
48.63,-116.15
48.63,-116.11
48.63,-116.07
48.63,-116.03
48.59,-117.03
48.59,-116.99
48.59,-116.95
48.59,-116.91
48.59,-116.87
48.59,-116.83
48.59,-116.79
48.59,-116.75
48.59,-116.71
48.59,-116.67
48.59,-116.63
48.59,-116.59
48.59,-116.55
48.59,-116.51
48.59,-116.47
48.59,-116.43
48.59,-116.39
48.59,-116.35
48.59,-116.31
48.59,-116.27
48.59,-116.23
48.59,-116.19
48.59,-116.15
48.59,-116.11
48.59,-116.07
48.59,-116.03
48.55,-117.03
48.55,-116.99
48.55,-116.95
48.55,-116.91
48.55,-116.87
48.55,-116.83
48.55,-116.79
48.55,-116.75
48.55,-116.71
48.55,-116.67
48.55,-116.63
48.55,-116.59
48.55,-116.55
48.55,-116.51
48.55,-116.47
48.55,-116.43
48.55,-116.39
48.55,-116.35
48.55,-116.31
48.55,-116.27
48.55,-116.23
48.55,-116.19
48.55,-116.15
48.55,-116.11
48.55,-116.07
48.55,-116.03
48.51,-117.03
48.51,-116.99
48.51,-116.95
48.51,-116.91
48.51,-116.87
48.51,-116.83
48.51,-116.79
48.51,-116.75
48.51,-116.71
48.51,-116.67
48.51,-116.63
48.51,-116.59
48.51,-116.55
48.51,-116.51
48.51,-116.47
48.51,-116.43
48.51,-116.39
48.51,-116.35
48.51,-116.31
48.51,-116.27
48.51,-116.23
48.51,-116.19
48.51,-116.15
48.51,-116.11
48.51,-116.07
48.51,-116.03
48.47,-117.03
48.47,-116.99
48.47,-116.95
48.47,-116.91
48.47,-116.87
48.47,-116.83
48.47,-116.79
48.47,-116.75
48.47,-116.71
48.47,-116.67
48.47,-116.63
48.47,-116.59
48.47,-116.55
48.47,-116.51
48.47,-116.47
48.47,-116.43
48.47,-116.39
48.47,-116.35
48.47,-116.31
48.47,-116.27
48.47,-116.23
48.47,-116.19
48.47,-116.15
48.47,-116.11
48.47,-116.07
48.47,-116.03
48.43,-117.03
48.43,-116.99
48.43,-116.95
48.43,-116.91
48.43,-116.87
48.43,-116.83
48.43,-116.79
48.43,-116.75
48.43,-116.71
48.43,-116.67
48.43,-116.63
48.43,-116.59
48.43,-116.55
48.43,-116.51
48.43,-116.47
48.43,-116.43
48.43,-116.39
48.43,-116.35
48.43,-116.31
48.43,-116.27
48.43,-116.23
48.43,-116.19
48.43,-116.15
48.43,-116.11
48.43,-116.07
48.39,-117.03
48.39,-116.99
48.39,-116.95
48.39,-116.91
48.39,-116.87
48.39,-116.83
48.39,-116.79
48.39,-116.75
48.39,-116.71
48.39,-116.67
48.39,-116.63
48.39,-116.59
48.39,-116.55
48.39,-116.51
48.39,-116.47
48.39,-116.43
48.39,-116.39
48.39,-116.35
48.39,-116.31
48.39,-116.27
48.39,-116.23
48.39,-116.19
48.39,-116.15
48.39,-116.11
48.39,-116.07
48.35,-117.03
48.35,-116.99
48.35,-116.95
48.35,-116.91
48.35,-116.87
48.35,-116.83
48.35,-116.79
48.35,-116.75
48.35,-116.71
48.35,-116.67
48.35,-116.63
48.35,-116.59
48.35,-116.55
48.35,-116.51
48.35,-116.47
48.35,-116.43
48.35,-116.39
48.35,-116.35
48.35,-116.31
48.35,-116.27
48.35,-116.23
48.35,-116.19
48.35,-116.15
48.35,-116.11
48.35,-116.07
48.35,-116.03
48.31,-117.03
48.31,-116.99
48.31,-116.95
48.31,-116.91
48.31,-116.87
48.31,-116.83
48.31,-116.79
48.31,-116.75
48.31,-116.71
48.31,-116.67
48.31,-116.63
48.31,-116.59
48.31,-116.55
48.31,-116.51
48.31,-116.47
48.31,-116.43
48.31,-116.39
48.31,-116.35
48.31,-116.31
48.31,-116.27
48.31,-116.23
48.31,-116.19
48.31,-116.15
48.31,-116.11
48.31,-116.07
48.31,-116.03
48.27,-117.03
48.27,-116.99
48.27,-116.95
48.27,-116.91
48.27,-116.87
48.27,-116.83
48.27,-116.79
48.27,-116.75
48.27,-116.71
48.27,-116.67
48.27,-116.63
48.27,-116.59
48.27,-116.55
48.27,-116.51
48.27,-116.47
48.27,-116.43
48.27,-116.39
48.27,-116.35
48.27,-116.31
48.27,-116.27
48.27,-116.23
48.27,-116.19
48.27,-116.15
48.27,-116.11
48.27,-116.07
48.27,-116.03
48.23,-117.03
48.23,-116.99
48.23,-116.95
48.23,-116.91
48.23,-116.87
48.23,-116.83
48.23,-116.79
48.23,-116.75
48.23,-116.71
48.23,-116.67
48.23,-116.63
48.23,-116.59
48.23,-116.55
48.23,-116.51
48.23,-116.47
48.23,-116.43
48.23,-116.39
48.23,-116.35
48.23,-116.31
48.23,-116.27
48.23,-116.23
48.23,-116.19
48.23,-116.15
48.23,-116.11
48.23,-116.07
48.19,-117.03
48.19,-116.99
48.19,-116.95
48.19,-116.91
48.19,-116.87
48.19,-116.83
48.19,-116.79
48.19,-116.75
48.19,-116.71
48.19,-116.67
48.19,-116.63
48.19,-116.59
48.19,-116.55
48.19,-116.51
48.19,-116.47
48.19,-116.43
48.19,-116.39
48.19,-116.35
48.19,-116.31
48.19,-116.27
48.19,-116.23
48.19,-116.19
48.19,-116.15
48.19,-116.11
48.19,-116.07
48.19,-116.03
48.15,-117.03
48.15,-116.99
48.15,-116.95
48.15,-116.91
48.15,-116.87
48.15,-116.83
48.15,-116.79
48.15,-116.75
48.15,-116.71
48.15,-116.67
48.15,-116.63
48.15,-116.59
48.15,-116.55
48.15,-116.51
48.15,-116.47
48.15,-116.43
48.15,-116.39
48.15,-116.35
48.15,-116.31
48.15,-116.27
48.15,-116.23
48.15,-116.19
48.15,-116.15
48.15,-116.11
48.15,-116.07
48.15,-116.03
48.11,-117.03
48.11,-116.99
48.11,-116.95
48.11,-116.91
48.11,-116.87
48.11,-116.83
48.11,-116.79
48.11,-116.75
48.11,-116.71
48.11,-116.67
48.11,-116.63
48.11,-116.59
48.11,-116.55
48.11,-116.51
48.11,-116.47
48.11,-116.43
48.11,-116.39
48.11,-116.35
48.11,-116.31
48.11,-116.27
48.11,-116.23
48.11,-116.19
48.11,-116.15
48.11,-116.11
48.11,-116.07
48.11,-116.03
48.07,-117.03
48.07,-116.99
48.07,-116.95
48.07,-116.91
48.07,-116.87
48.07,-116.83
48.07,-116.79
48.07,-116.75
48.07,-116.71
48.07,-116.67
48.07,-116.63
48.07,-116.59
48.07,-116.55
48.07,-116.51
48.07,-116.47
48.07,-116.43
48.07,-116.39
48.07,-116.35
48.07,-116.31
48.07,-116.27
48.07,-116.23
48.07,-116.19
48.07,-116.15
48.07,-116.11
48.07,-116.07
48.07,-116.03
48.03,-117.03
48.03,-116.99
48.03,-116.95
48.03,-116.91
48.03,-116.87
48.03,-116.83
48.03,-116.79
48.03,-116.75
48.03,-116.71
48.03,-116.67
48.03,-116.63
48.03,-116.59
48.03,-116.55
48.03,-116.51
48.03,-116.47
48.03,-116.43
48.03,-116.39
48.03,-116.35
48.03,-116.31
48.03,-116.27
48.03,-116.23
48.03,-116.19
48.03,-116.15
48.03,-116.11
48.03,-116.07
48.03,-116.03
47.99,-117.03
47.99,-116.99
47.99,-116.95
47.99,-116.91
47.99,-116.87
47.99,-116.83
47.99,-116.79
47.99,-116.75
47.99,-116.71
47.99,-116.67
47.99,-116.63
47.99,-116.59
47.99,-116.55
47.99,-116.51
47.99,-116.47
47.99,-116.43
47.99,-116.39
47.99,-116.35
47.99,-116.31
47.99,-116.27
47.99,-116.23
47.99,-116.19
47.99,-116.15
47.99,-116.11
47.99,-116.07
47.99,-116.03
47.95,-117.03
47.95,-116.99
47.95,-116.95
47.95,-116.91
47.95,-116.87
47.95,-116.83
47.95,-116.79
47.95,-116.75
47.95,-116.71
47.95,-116.67
47.95,-116.63
47.95,-116.59
47.95,-116.55
47.95,-116.51
47.95,-116.47
47.95,-116.43
47.95,-116.39
47.95,-116.35
47.95,-116.31
47.95,-116.27
47.95,-116.23
47.95,-116.19
47.95,-116.15
47.95,-116.11
47.95,-116.07
47.95,-116.03
47.95,-115.99
47.91,-117.03
47.91,-116.99
47.91,-116.95
47.91,-116.91
47.91,-116.87
47.91,-116.83
47.91,-116.79
47.91,-116.75
47.91,-116.71
47.91,-116.67
47.91,-116.63
47.91,-116.59
47.91,-116.55
47.91,-116.51
47.91,-116.47
47.91,-116.43
47.91,-116.39
47.91,-116.35
47.91,-116.31
47.91,-116.27
47.91,-116.23
47.91,-116.19
47.91,-116.15
47.91,-116.11
47.91,-116.07
47.91,-116.03
47.91,-115.99
47.91,-115.95
47.87,-117.03
47.87,-116.99
47.87,-116.95
47.87,-116.91
47.87,-116.87
47.87,-116.83
47.87,-116.79
47.87,-116.75
47.87,-116.71
47.87,-116.67
47.87,-116.63
47.87,-116.59
47.87,-116.55
47.87,-116.51
47.87,-116.47
47.87,-116.43
47.87,-116.39
47.87,-116.35
47.87,-116.31
47.87,-116.27
47.87,-116.23
47.87,-116.19
47.87,-116.15
47.87,-116.11
47.87,-116.07
47.87,-116.03
47.87,-115.99
47.87,-115.95
47.87,-115.91
47.87,-115.87
47.83,-117.03
47.83,-116.99
47.83,-116.95
47.83,-116.91
47.83,-116.87
47.83,-116.83
47.83,-116.79
47.83,-116.75
47.83,-116.71
47.83,-116.67
47.83,-116.63
47.83,-116.59
47.83,-116.55
47.83,-116.51
47.83,-116.47
47.83,-116.43
47.83,-116.39
47.83,-116.35
47.83,-116.31
47.83,-116.27
47.83,-116.23
47.83,-116.19
47.83,-116.15
47.83,-116.11
47.83,-116.07
47.83,-116.03
47.83,-115.99
47.83,-115.95
47.83,-115.91
47.83,-115.87
47.83,-115.83
47.79,-117.03
47.79,-116.99
47.79,-116.95
47.79,-116.91
47.79,-116.87
47.79,-116.83
47.79,-116.79
47.79,-116.75
47.79,-116.71
47.79,-116.67
47.79,-116.63
47.79,-116.59
47.79,-116.55
47.79,-116.51
47.79,-116.47
47.79,-116.43
47.79,-116.39
47.79,-116.35
47.79,-116.31
47.79,-116.27
47.79,-116.23
47.79,-116.19
47.79,-116.15
47.79,-116.11
47.79,-116.07
47.79,-116.03
47.79,-115.99
47.79,-115.95
47.79,-115.91
47.79,-115.87
47.79,-115.83
47.75,-117.03
47.75,-116.99
47.75,-116.95
47.75,-116.91
47.75,-116.87
47.75,-116.83
47.75,-116.79
47.75,-116.75
47.75,-116.71
47.75,-116.67
47.75,-116.63
47.75,-116.59
47.75,-116.55
47.75,-116.51
47.75,-116.47
47.75,-116.43
47.75,-116.39
47.75,-116.35
47.75,-116.31
47.75,-116.27
47.75,-116.23
47.75,-116.19
47.75,-116.15
47.75,-116.11
47.75,-116.07
47.75,-116.03
47.75,-115.99
47.75,-115.95
47.75,-115.91
47.75,-115.87
47.75,-115.83
47.75,-115.79
47.71,-117.03
47.71,-116.99
47.71,-116.95
47.71,-116.91
47.71,-116.87
47.71,-116.83
47.71,-116.79
47.71,-116.75
47.71,-116.71
47.71,-116.67
47.71,-116.63
47.71,-116.59
47.71,-116.55
47.71,-116.51
47.71,-116.47
47.71,-116.43
47.71,-116.39
47.71,-116.35
47.71,-116.31
47.71,-116.27
47.71,-116.23
47.71,-116.19
47.71,-116.15
47.71,-116.11
47.71,-116.07
47.71,-116.03
47.71,-115.99
47.71,-115.95
47.71,-115.91
47.71,-115.87
47.71,-115.83
47.71,-115.79
47.71,-115.75
47.71,-115.71
47.67,-117.03
47.67,-116.99
47.67,-116.95
47.67,-116.91
47.67,-116.87
47.67,-116.83
47.67,-116.79
47.67,-116.75
47.67,-116.71
47.67,-116.67
47.67,-116.63
47.67,-116.59
47.67,-116.55
47.67,-116.51
