Lat,Lon
42.5,-90.64
42.5,-90.6
42.5,-90.56
42.5,-90.52
42.5,-90.48
42.5,-90.44
42.5,-90.4
42.5,-90.36
42.5,-90.32
42.5,-90.28
42.5,-90.24
42.5,-90.2
42.5,-90.16
42.5,-90.12
42.5,-90.08
42.5,-90.04
42.5,-90.0
42.5,-89.96
42.5,-89.92
42.5,-89.88
42.5,-89.84
42.5,-89.8
42.5,-89.76
42.5,-89.72
42.5,-89.68
42.5,-89.64
42.5,-89.6
42.5,-89.56
42.5,-89.52
42.5,-89.48
42.5,-89.44
42.5,-89.4
42.5,-89.36
42.5,-89.32
42.5,-89.28
42.5,-89.24
42.5,-89.2
42.5,-89.16
42.5,-89.12
42.5,-89.08
42.5,-89.04
42.5,-89.0
42.5,-88.96
42.5,-88.92
42.5,-88.88
42.5,-88.84
42.5,-88.8
42.5,-88.76
42.5,-88.72
42.5,-88.68
42.5,-88.64
42.5,-88.6
42.5,-88.56
42.5,-88.52
42.5,-88.48
42.5,-88.44
42.5,-88.4
42.5,-88.36
42.5,-88.32
42.5,-88.28
42.5,-88.24
42.5,-88.2
42.5,-88.16
42.5,-88.12
42.5,-88.08
42.5,-88.04
42.5,-88.0
42.5,-87.96
42.5,-87.92
42.5,-87.88
42.5,-87.84
42.5,-87.8
42.46,-90.64
42.46,-90.6
42.46,-90.56
42.46,-90.52
42.46,-90.48
42.46,-90.44
42.46,-90.4
42.46,-90.36
42.46,-90.32
42.46,-90.28
42.46,-90.24
42.46,-90.2
42.46,-90.16
42.46,-90.12
42.46,-90.08
42.46,-90.04
42.46,-90.0
42.46,-89.96
42.46,-89.92
42.46,-89.88
42.46,-89.84
42.46,-89.8
42.46,-89.76
42.46,-89.72
42.46,-89.68
42.46,-89.64
42.46,-89.6
42.46,-89.56
42.46,-89.52
42.46,-89.48
42.46,-89.44
42.46,-89.4
42.46,-89.36
42.46,-89.32
42.46,-89.28
42.46,-89.24
42.46,-89.2
42.46,-89.16
42.46,-89.12
42.46,-89.08
42.46,-89.04
42.46,-89.0
42.46,-88.96
42.46,-88.92
42.46,-88.88
42.46,-88.84
42.46,-88.8
42.46,-88.76
42.46,-88.72
42.46,-88.68
42.46,-88.64
42.46,-88.6
42.46,-88.56
42.46,-88.52
42.46,-88.48
42.46,-88.44
42.46,-88.4
42.46,-88.36
42.46,-88.32
42.46,-88.28
42.46,-88.24
42.46,-88.2
42.46,-88.16
42.46,-88.12
42.46,-88.08
42.46,-88.04
42.46,-88.0
42.46,-87.96
42.46,-87.92
42.46,-87.88
42.46,-87.84
42.46,-87.8
42.42,-90.56
42.42,-90.52
42.42,-90.48
42.42,-90.44
42.42,-90.4
42.42,-90.36
42.42,-90.32
42.42,-90.28
42.42,-90.24
42.42,-90.2
42.42,-90.16
42.42,-90.12
42.42,-90.08
42.42,-90.04
42.42,-90.0
42.42,-89.96
42.42,-89.92
42.42,-89.88
42.42,-89.84
42.42,-89.8
42.42,-89.76
42.42,-89.72
42.42,-89.68
42.42,-89.64
42.42,-89.6
42.42,-89.56
42.42,-89.52
42.42,-89.48
42.42,-89.44
42.42,-89.4
42.42,-89.36
42.42,-89.32
42.42,-89.28
42.42,-89.24
