Lat,Lon
41.75,-86.89
41.75,-86.85
41.75,-86.81
41.75,-86.77
41.75,-86.73
41.75,-86.69
41.75,-86.65
41.75,-86.61
41.75,-86.57
41.75,-86.53
41.75,-86.49
41.75,-86.45
41.75,-86.41
41.75,-86.37
41.75,-86.33
41.75,-86.29
41.75,-86.25
41.75,-86.21
41.75,-86.17
41.75,-86.13
41.75,-86.09
41.75,-86.05
41.75,-86.01
41.75,-85.97
41.75,-85.93
41.75,-85.89
41.75,-85.85
41.75,-85.81
41.75,-85.77
41.75,-85.73
41.75,-85.69
41.75,-85.65
41.75,-85.61
41.75,-85.57
41.75,-85.53
41.75,-85.49
41.75,-85.45
41.75,-85.41
41.75,-85.37
41.75,-85.33
41.75,-85.29
41.75,-85.25
41.75,-85.21
41.75,-85.17
41.75,-85.13
41.75,-85.09
41.75,-85.05
41.75,-85.01
41.75,-84.97
41.75,-84.93
41.75,-84.89
41.75,-84.85
41.75,-84.81
41.71,-87.53
41.71,-87.49
41.71,-86.97
41.71,-86.93
41.71,-86.89
41.71,-86.85
41.71,-86.81
41.71,-86.77
41.71,-86.73
41.71,-86.69
41.71,-86.65
41.71,-86.61
41.71,-86.57
41.71,-86.53
41.71,-86.49
41.71,-86.45
41.71,-86.41
41.71,-86.37
41.71,-86.33
41.71,-86.29
41.71,-86.25
41.71,-86.21
41.71,-86.17
41.71,-86.13
41.71,-86.09
41.71,-86.05
41.71,-86.01
41.71,-85.97
41.71,-85.93
41.71,-85.89
41.71,-85.85
41.71,-85.81
41.71,-85.77
41.71,-85.73
41.71,-85.69
41.71,-85.65
41.71,-85.61
41.71,-85.57
41.71,-85.53
41.71,-85.49
41.71,-85.45
41.71,-85.41
41.71,-85.37
41.71,-85.33
41.71,-85.29
41.71,-85.25
41.71,-85.21
41.71,-85.17
41.71,-85.13
41.71,-85.09
41.71,-85.05
41.71,-85.01
41.71,-84.97
41.71,-84.93
41.71,-84.89
41.71,-84.85
41.71,-84.81
41.67,-87.53
41.67,-87.49
41.67,-87.45
41.67,-87.41
41.67,-87.09
41.67,-87.05
41.67,-87.01
41.67,-86.97
41.67,-86.93
41.67,-86.89
41.67,-86.85
41.67,-86.81
41.67,-86.77
41.67,-86.73
41.67,-86.69
41.67,-86.65
41.67,-86.61
41.67,-86.57
41.67,-86.53
41.67,-86.49
41.67,-86.45
41.67,-86.41
41.67,-86.37
41.67,-86.33
41.67,-86.29
41.67,-86.25
41.67,-86.21
41.67,-86.17
41.67,-86.13
41.67,-86.09
41.67,-86.05
41.67,-86.01
41.67,-85.97
41.67,-85.93
41.67,-85.89
41.67,-85.85
41.67,-85.81
41.67,-85.77
41.67,-85.73
41.67,-85.69
41.67,-85.65
41.67,-85.61
41.67,-85.57
41.67,-85.53
41.67,-85.49
41.67,-85.45
41.67,-85.41
41.67,-85.37
41.67,-85.33
41.67,-85.29
41.67,-85.25
41.67,-85.21
41.67,-85.17
41.67,-85.13
41.67,-85.09
41.67,-85.05
41.67,-85.01
41.67,-84.97
41.67,-84.93
41.67,-84.89
41.67,-84.85
41.67,-84.81
41.63,-87.53
41.63,-87.49
41.63,-87.45
41.63,-87.41
41.63,-87.37
41.63,-87.33
41.63,-87.29
41.63,-87.25
41.63,-87.21
41.63,-87.17
41.63,-87.13
41.63,-87.09
41.63,-87.05
41.63,-87.01
41.63,-86.97
41.63,-86.93
41.63,-86.89
41.63,-86.85
41.63,-86.81
41.63,-86.77
41.63,-86.73
41.63,-86.69
41.63,-86.65
41.63,-86.61
41.63,-86.57
41.63,-86.53
41.63,-86.49
41.63,-86.45
41.63,-86.41
41.63,-86.37
41.63,-86.33
41.63,-86.29
41.63,-86.25
41.63,-86.21
41.63,-86.17
41.63,-86.13
41.63,-86.09
41.63,-86.05
41.63,-86.01
41.63,-85.97
41.63,-85.93
41.63,-85.89
41.63,-85.85
41.63,-85.81
41.63,-85.77
41.63,-85.73
41.63,-85.69
41.63,-85.65
41.63,-85.61
41.63,-85.57
41.63,-85.53
41.63,-85.49
41.63,-85.45
41.63,-85.41
41.63,-85.37
41.63,-85.33
41.63,-85.29
41.63,-85.25
41.63,-85.21
41.63,-85.17
41.63,-85.13
41.63,-85.09
41.63,-85.05
41.63,-85.01
41.63,-84.97
41.63,-84.93
41.63,-84.89
41.63,-84.85
41.63,-84.81
41.59,-87.53
41.59,-87.49
41.59,-87.45
41.59,-87.41
41.59,-87.37
41.59,-87.33
41.59,-87.29
41.59,-87.25
41.59,-87.21
41.59,-87.17
41.59,-87.13
41.59,-87.09
41.59,-87.05
41.59,-87.01
41.59,-86.97
41.59,-86.93
41.59,-86.89
41.59,-86.85
41.59,-86.81
41.59,-86.77
41.59,-86.73
41.59,-86.69
41.59,-86.65
41.59,-86.61
41.59,-86.57
41.59,-86.53
41.59,-86.49
41.59,-86.45
41.59,-86.41
41.59,-86.37
41.59,-86.33
41.59,-86.29
41.59,-86.25
41.59,-86.21
41.59,-86.17
41.59,-86.13
41.59,-86.09
41.59,-86.05
41.59,-86.01
41.59,-85.97
41.59,-85.93
41.59,-85.89
41.59,-85.85
41.59,-85.81
41.59,-85.77
41.59,-85.73
41.59,-85.69
41.59,-85.65
41.59,-85.61
41.59,-85.57
41.59,-85.53
41.59,-85.49
41.59,-85.45
41.59,-85.41
41.59,-85.37
41.59,-85.33
41.59,-85.29
41.59,-85.25
41.59,-85.21
41.59,-85.17
41.59,-85.13
41.59,-85.09
41.59,-85.05
41.59,-85.01
41.59,-84.97
41.59,-84.93
41.59,-84.89
41.59,-84.85
41.59,-84.81
41.55,-87.53
41.55,-87.49
41.55,-87.45
41.55,-87.41
41.55,-87.37
41.55,-87.33
41.55,-87.29
41.55,-87.25
41.55,-87.21
41.55,-87.17
41.55,-87.13
41.55,-87.09
41.55,-87.05
41.55,-87.01
41.55,-86.97
41.55,-86.93
41.55,-86.89
41.55,-86.85
41.55,-86.81
41.55,-86.77
41.55,-86.73
41.55,-86.69
41.55,-86.65
41.55,-86.61
41.55,-86.57
41.55,-86.53
41.55,-86.49
41.55,-86.45
41.55,-86.41
41.55,-86.37
41.55,-86.33
41.55,-86.29
41.55,-86.25
41.55,-86.21
41.55,-86.17
41.55,-86.13
41.55,-86.09
41.55,-86.05
41.55,-86.01
41.55,-85.97
41.55,-85.93
41.55,-85.89
41.55,-85.85
41.55,-85.81
41.55,-85.77
41.55,-85.73
41.55,-85.69
41.55,-85.65
41.55,-85.61
41.55,-85.57
41.55,-85.53
41.55,-85.49
41.55,-85.45
41.55,-85.41
41.55,-85.37
41.55,-85.33
41.55,-85.29
41.55,-85.25
41.55,-85.21
41.55,-85.17
41.55,-85.13
41.55,-85.09
41.55,-85.05
41.55,-85.01
41.55,-84.97
41.55,-84.93
41.55,-84.89
41.55,-84.85
41.55,-84.81
41.51,-87.53
41.51,-87.49
41.51,-87.45
41.51,-87.41
41.51,-87.37
41.51,-87.33
41.51,-87.29
41.51,-87.25
41.51,-87.21
41.51,-87.17
41.51,-87.13
41.51,-87.09
41.51,-87.05
41.51,-87.01
41.51,-86.97
41.51,-86.93
41.51,-86.89
41.51,-86.85
41.51,-86.81
41.51,-86.77
41.51,-86.73
41.51,-86.69
41.51,-86.65
41.51,-86.61
41.51,-86.57
41.51,-86.53
41.51,-86.49
41.51,-86.45
41.51,-86.41
41.51,-86.37
41.51,-86.33
41.51,-86.29
41.51,-86.25
41.51,-86.21
41.51,-86.17
41.51,-86.13
41.51,-86.09
41.51,-86.05
41.51,-86.01
41.51,-85.97
41.51,-85.93
41.51,-85.89
41.51,-85.85
41.51,-85.81
41.51,-85.77
41.51,-85.73
41.51,-85.69
41.51,-85.65
41.51,-85.61
41.51,-85.57
41.51,-85.53
41.51,-85.49
41.51,-85.45
41.51,-85.41
41.51,-85.37
41.51,-85.33
41.51,-85.29
41.51,-85.25
41.51,-85.21
41.51,-85.17
41.51,-85.13
41.51,-85.09
41.51,-85.05
41.51,-85.01
41.51,-84.97
41.51,-84.93
41.51,-84.89
41.51,-84.85
41.51,-84.81
41.47,-87.53
41.47,-87.49
41.47,-87.45
41.47,-87.41
41.47,-87.37
41.47,-87.33
41.47,-87.29
41.47,-87.25
41.47,-87.21
41.47,-87.17
41.47,-87.13
41.47,-87.09
41.47,-87.05
41.47,-87.01
41.47,-86.97
41.47,-86.93
41.47,-86.89
41.47,-86.85
41.47,-86.81
41.47,-86.77
41.47,-86.73
41.47,-86.69
41.47,-86.65
41.47,-86.61
41.47,-86.57
41.47,-86.53
41.47,-86.49
41.47,-86.45
41.47,-86.41
41.47,-86.37
41.47,-86.33
41.47,-86.29
41.47,-86.25
41.47,-86.21
41.47,-86.17
41.47,-86.13
41.47,-86.09
41.47,-86.05
41.47,-86.01
41.47,-85.97
41.47,-85.93
41.47,-85.89
41.47,-85.85
41.47,-85.81
41.47,-85.77
41.47,-85.73
41.47,-85.69
41.47,-85.65
41.47,-85.61
41.47,-85.57
41.47,-85.53
41.47,-85.49
41.47,-85.45
41.47,-85.41
41.47,-85.37
41.47,-85.33
41.47,-85.29
41.47,-85.25
41.47,-85.21
41.47,-85.17
41.47,-85.13
41.47,-85.09
41.47,-85.05
41.47,-85.01
41.47,-84.97
41.47,-84.93
41.47,-84.89
41.47,-84.85
41.47,-84.81
41.43,-87.53
41.43,-87.49
41.43,-87.45
41.43,-87.41
41.43,-87.37
41.43,-87.33
41.43,-87.29
41.43,-87.25
41.43,-87.21
41.43,-87.17
41.43,-87.13
41.43,-87.09
41.43,-87.05
41.43,-87.01
41.43,-86.97
41.43,-86.93
41.43,-86.89
41.43,-86.85
41.43,-86.81
41.43,-86.77
41.43,-86.73
41.43,-86.69
41.43,-86.65
41.43,-86.61
41.43,-86.57
41.43,-86.53
41.43,-86.49
41.43,-86.45
41.43,-86.41
41.43,-86.37
41.43,-86.33
41.43,-86.29
41.43,-86.25
41.43,-86.21
41.43,-86.17
41.43,-86.13
41.43,-86.09
41.43,-86.05
41.43,-86.01
41.43,-85.97
41.43,-85.93
41.43,-85.89
41.43,-85.85
41.43,-85.81
41.43,-85.77
41.43,-85.73
41.43,-85.69
41.43,-85.65
41.43,-85.61
41.43,-85.57
41.43,-85.53
41.43,-85.49
41.43,-85.45
41.43,-85.41
41.43,-85.37
41.43,-85.33
41.43,-85.29
41.43,-85.25
41.43,-85.21
41.43,-85.17
41.43,-85.13
41.43,-85.09
41.43,-85.05
41.43,-85.01
41.43,-84.97
41.43,-84.93
41.43,-84.89
41.43,-84.85
41.43,-84.81
41.39,-87.53
41.39,-87.49
41.39,-87.45
41.39,-87.41
41.39,-87.37
41.39,-87.33
41.39,-87.29
41.39,-87.25
41.39,-87.21
41.39,-87.17
41.39,-87.13
41.39,-87.09
41.39,-87.05
41.39,-87.01
41.39,-86.97
41.39,-86.93
41.39,-86.89
41.39,-86.85
41.39,-86.81
41.39,-86.77
41.39,-86.73
41.39,-86.69
41.39,-86.65
41.39,-86.61
41.39,-86.57
41.39,-86.53
41.39,-86.49
41.39,-86.45
41.39,-86.41
41.39,-86.37
41.39,-86.33
41.39,-86.29
41.39,-86.25
41.39,-86.21
41.39,-86.17
41.39,-86.13
41.39,-86.09
41.39,-86.05
41.39,-86.01
41.39,-85.97
41.39,-85.93
41.39,-85.89
41.39,-85.85
41.39,-85.81
41.39,-85.77
41.39,-85.73
41.39,-85.69
41.39,-85.65
41.39,-85.61
41.39,-85.57
41.39,-85.53
41.39,-85.49
41.39,-85.45
41.39,-85.41
41.39,-85.37
41.39,-85.33
41.39,-85.29
41.39,-85.25
41.39,-85.21
41.39,-85.17
41.39,-85.13
41.39,-85.09
41.39,-85.05
41.39,-85.01
41.39,-84.97
41.39,-84.93
41.39,-84.89
41.39,-84.85
41.39,-84.81
41.35,-87.53
41.35,-87.49
41.35,-87.45
41.35,-87.41
41.35,-87.37
41.35,-87.33
