Lat,Lon
43.5,-96.59
43.5,-96.55
43.5,-96.51
43.5,-96.47
43.5,-96.43
43.5,-96.39
43.5,-96.35
43.5,-96.31
43.5,-96.27
43.5,-96.23
43.5,-96.19
43.5,-96.15
43.5,-96.11
43.5,-96.07
43.5,-96.03
43.5,-95.99
43.5,-95.95
43.5,-95.91
43.5,-95.87
43.5,-95.83
43.5,-95.79
43.5,-95.75
43.5,-95.71
43.5,-95.67
43.5,-95.63
43.5,-95.59
43.5,-95.55
43.5,-95.51
43.5,-95.47
43.5,-95.43
43.5,-95.39
43.5,-95.35
43.5,-95.31
43.5,-95.27
43.5,-95.23
43.5,-95.19
43.5,-95.15
43.5,-95.11
43.5,-95.07
43.5,-95.03
43.5,-94.99
43.5,-94.95
43.5,-94.91
43.5,-94.87
43.5,-94.83
43.5,-94.79
43.5,-94.75
43.5,-94.71
43.5,-94.67
43.5,-94.63
43.5,-94.59
43.5,-94.55
43.5,-94.51
43.5,-94.47
43.5,-94.43
43.5,-94.39
43.5,-94.35
43.5,-94.31
43.5,-94.27
43.5,-94.23
43.5,-94.19
43.5,-94.15
43.5,-94.11
43.5,-94.07
43.5,-94.03
43.5,-93.99
43.5,-93.95
43.5,-93.91
43.5,-93.87
43.5,-93.83
43.5,-93.79
43.5,-93.75
43.5,-93.71
43.5,-93.67
43.5,-93.63
43.5,-93.59
43.5,-93.55
43.5,-93.51
43.5,-93.47
43.5,-93.43
43.5,-93.39
43.5,-93.35
43.5,-93.31
43.5,-93.27
43.5,-93.23
43.5,-93.19
43.5,-93.15
43.5,-93.11
43.5,-93.07
43.5,-93.03
43.5,-92.99
43.5,-92.95
43.5,-92.91
43.5,-92.87
43.5,-92.83
43.5,-92.79
43.5,-92.75
43.5,-92.71
43.5,-92.67
43.5,-92.63
43.5,-92.59
43.5,-92.55
43.5,-92.51
43.5,-92.47
43.5,-92.43
43.5,-92.39
43.5,-92.35
43.5,-92.31
43.5,-92.27
43.5,-92.23
43.5,-92.19
43.5,-92.15
43.5,-92.11
43.5,-92.07
43.5,-92.03
43.5,-91.99
43.5,-91.95
43.5,-91.91
43.5,-91.87
43.5,-91.83
43.5,-91.79
43.5,-91.75
43.5,-91.71
43.5,-91.67
43.5,-91.63
43.5,-91.59
43.5,-91.55
43.5,-91.51
43.5,-91.47
43.5,-91.43
43.5,-91.39
43.5,-91.35
43.5,-91.31
43.5,-91.27
43.5,-91.23
43.46,-96.59
43.46,-96.55
43.46,-96.51
43.46,-96.47
43.46,-96.43
43.46,-96.39
43.46,-96.35
43.46,-96.31
43.46,-96.27
43.46,-96.23
43.46,-96.19
43.46,-96.15
43.46,-96.11
43.46,-96.07
43.46,-96.03
43.46,-95.99
43.46,-95.95
43.46,-95.91
43.46,-95.87
43.46,-95.83
43.46,-95.79
43.46,-95.75
43.46,-95.71
43.46,-95.67
43.46,-95.63
43.46,-95.59
43.46,-95.55
43.46,-95.51
43.46,-95.47
43.46,-95.43
43.46,-95.39
43.46,-95.35
43.46,-95.31
43.46,-95.27
43.46,-95.23
43.46,-95.19
43.46,-95.15
43.46,-95.11
43.46,-95.07
43.46,-95.03
43.46,-94.99
43.46,-94.95
43.46,-94.91
43.46,-94.87
43.46,-94.83
43.46,-94.79
43.46,-94.75
43.46,-94.71
43.46,-94.67
43.46,-94.63
43.46,-94.59
43.46,-94.55
43.46,-94.51
43.46,-94.47
43.46,-94.43
43.46,-94.39
43.46,-94.35
43.46,-94.31
43.46,-94.27
43.46,-94.23
43.46,-94.19
43.46,-94.15
43.46,-94.11
43.46,-94.07
43.46,-94.03
43.46,-93.99
43.46,-93.95
43.46,-93.91
43.46,-93.87
43.46,-93.83
43.46,-93.79
43.46,-93.75
43.46,-93.71
43.46,-93.67
43.46,-93.63
43.46,-93.59
43.46,-93.55
43.46,-93.51
43.46,-93.47
43.46,-93.43
43.46,-93.39
43.46,-93.35
43.46,-93.31
43.46,-93.27
43.46,-93.23
43.46,-93.19
43.46,-93.15
43.46,-93.11
43.46,-93.07
43.46,-93.03
43.46,-92.99
43.46,-92.95
43.46,-92.91
43.46,-92.87
43.46,-92.83
43.46,-92.79
43.46,-92.75
43.46,-92.71
43.46,-92.67
43.46,-92.63
43.46,-92.59
43.46,-92.55
43.46,-92.51
43.46,-92.47
43.46,-92.43
43.46,-92.39
43.46,-92.35
43.46,-92.31
43.46,-92.27
43.46,-92.23
43.46,-92.19
43.46,-92.15
43.46,-92.11
43.46,-92.07
43.46,-92.03
43.46,-91.99
43.46,-91.95
43.46,-91.91
43.46,-91.87
43.46,-91.83
43.46,-91.79
43.46,-91.75
43.46,-91.71
43.46,-91.67
43.46,-91.63
43.46,-91.59
43.46,-91.55
43.46,-91.51
43.46,-91.47
43.46,-91.43
43.46,-91.39
43.46,-91.35
43.46,-91.31
43.46,-91.27
43.46,-91.23
43.42,-96.59
43.42,-96.55
43.42,-96.51
43.42,-96.47
43.42,-96.43
43.42,-96.39
43.42,-96.35
43.42,-96.31
43.42,-96.27
43.42,-96.23
43.42,-96.19
43.42,-96.15
43.42,-96.11
43.42,-96.07
43.42,-96.03
43.42,-95.99
43.42,-95.95
43.42,-95.91
43.42,-95.87
43.42,-95.83
43.42,-95.79
43.42,-95.75
43.42,-95.71
43.42,-95.67
43.42,-95.63
43.42,-95.59
43.42,-95.55
43.42,-95.51
43.42,-95.47
43.42,-95.43
43.42,-95.39
43.42,-95.35
43.42,-95.31
43.42,-95.27
43.42,-95.23
43.42,-95.19
43.42,-95.15
43.42,-95.11
43.42,-95.07
43.42,-95.03
43.42,-94.99
43.42,-94.95
43.42,-94.91
43.42,-94.87
43.42,-94.83
43.42,-94.79
43.42,-94.75
43.42,-94.71
43.42,-94.67
43.42,-94.63
43.42,-94.59
43.42,-94.55
43.42,-94.51
43.42,-94.47
43.42,-94.43
43.42,-94.39
43.42,-94.35
43.42,-94.31
43.42,-94.27
43.42,-94.23
43.42,-94.19
43.42,-94.15
43.42,-94.11
43.42,-94.07
43.42,-94.03
43.42,-93.99
43.42,-93.95
43.42,-93.91
43.42,-93.87
43.42,-93.83
43.42,-93.79
43.42,-93.75
43.42,-93.71
43.42,-93.67
43.42,-93.63
43.42,-93.59
43.42,-93.55
43.42,-93.51
43.42,-93.47
43.42,-93.43
43.42,-93.39
43.42,-93.35
43.42,-93.31
43.42,-93.27
43.42,-93.23
43.42,-93.19
43.42,-93.15
43.42,-93.11
43.42,-93.07
43.42,-93.03
43.42,-92.99
43.42,-92.95
43.42,-92.91
43.42,-92.87
43.42,-92.83
43.42,-92.79
43.42,-92.75
43.42,-92.71
43.42,-92.67
43.42,-92.63
43.42,-92.59
43.42,-92.55
43.42,-92.51
43.42,-92.47
43.42,-92.43
43.42,-92.39
43.42,-92.35
43.42,-92.31
43.42,-92.27
43.42,-92.23
43.42,-92.19
43.42,-92.15
43.42,-92.11
43.42,-92.07
43.42,-92.03
43.42,-91.99
43.42,-91.95
43.42,-91.91
43.42,-91.87
43.42,-91.83
43.42,-91.79
43.42,-91.75
43.42,-91.71
43.42,-91.67
43.42,-91.63
43.42,-91.59
43.42,-91.55
43.42,-91.51
43.42,-91.47
43.42,-91.43
43.42,-91.39
43.42,-91.35
43.42,-91.31
43.42,-91.27
43.42,-91.23
43.42,-91.19
43.38,-96.55
43.38,-96.51
43.38,-96.47
43.38,-96.43
43.38,-96.39
43.38,-96.35
43.38,-96.31
43.38,-96.27
43.38,-96.23
43.38,-96.19
43.38,-96.15
43.38,-96.11
43.38,-96.07
43.38,-96.03
43.38,-95.99
43.38,-95.95
43.38,-95.91
43.38,-95.87
43.38,-95.83
43.38,-95.79
43.38,-95.75
43.38,-95.71
43.38,-95.67
43.38,-95.63
43.38,-95.59
43.38,-95.55
43.38,-95.51
43.38,-95.47
43.38,-95.43
43.38,-95.39
43.38,-95.35
43.38,-95.31
43.38,-95.27
43.38,-95.23
43.38,-95.19
43.38,-95.15
43.38,-95.11
43.38,-95.07
43.38,-95.03
43.38,-94.99
43.38,-94.95
43.38,-94.91
43.38,-94.87
43.38,-94.83
43.38,-94.79
43.38,-94.75
43.38,-94.71
43.38,-94.67
43.38,-94.63
43.38,-94.59
43.38,-94.55
43.38,-94.51
43.38,-94.47
43.38,-94.43
43.38,-94.39
43.38,-94.35
43.38,-94.31
43.38,-94.27
43.38,-94.23
43.38,-94.19
43.38,-94.15
43.38,-94.11
43.38,-94.07
43.38,-94.03
43.38,-93.99
43.38,-93.95
43.38,-93.91
43.38,-93.87
43.38,-93.83
43.38,-93.79
43.38,-93.75
43.38,-93.71
43.38,-93.67
43.38,-93.63
43.38,-93.59
43.38,-93.55
43.38,-93.51
43.38,-93.47
43.38,-93.43
43.38,-93.39
43.38,-93.35
43.38,-93.31
43.38,-93.27
43.38,-93.23
43.38,-93.19
43.38,-93.15
43.38,-93.11
43.38,-93.07
43.38,-93.03
43.38,-92.99
43.38,-92.95
43.38,-92.91
43.38,-92.87
43.38,-92.83
43.38,-92.79
43.38,-92.75
43.38,-92.71
43.38,-92.67
43.38,-92.63
43.38,-92.59
43.38,-92.55
43.38,-92.51
43.38,-92.47
43.38,-92.43
43.38,-92.39
43.38,-92.35
43.38,-92.31
43.38,-92.27
43.38,-92.23
43.38,-92.19
43.38,-92.15
43.38,-92.11
43.38,-92.07
43.38,-92.03
43.38,-91.99
43.38,-91.95
43.38,-91.91
43.38,-91.87
43.38,-91.83
43.38,-91.79
43.38,-91.75
43.38,-91.71
43.38,-91.67
43.38,-91.63
43.38,-91.59
43.38,-91.55
43.38,-91.51
43.38,-91.47
43.38,-91.43
43.38,-91.39
43.38,-91.35
43.38,-91.31
43.38,-91.27
43.38,-91.23
43.38,-91.19
43.34,-96.55
43.34,-96.51
43.34,-96.47
43.34,-96.43
43.34,-96.39
43.34,-96.35
43.34,-96.31
43.34,-96.27
43.34,-96.23
43.34,-96.19
43.34,-96.15
43.34,-96.11
43.34,-96.07
43.34,-96.03
43.34,-95.99
43.34,-95.95
43.34,-95.91
43.34,-95.87
43.34,-95.83
43.34,-95.79
43.34,-95.75
43.34,-95.71
43.34,-95.67
43.34,-95.63
43.34,-95.59
43.34,-95.55
43.34,-95.51
43.34,-95.47
43.34,-95.43
43.34,-95.39
43.34,-95.35
43.34,-95.31
43.34,-95.27
43.34,-95.23
43.34,-95.19
43.34,-95.15
43.34,-95.11
43.34,-95.07
43.34,-95.03
43.34,-94.99
43.34,-94.95
43.34,-94.91
43.34,-94.87
43.34,-94.83
43.34,-94.79
43.34,-94.75
43.34,-94.71
43.34,-94.67
43.34,-94.63
43.34,-94.59
43.34,-94.55
43.34,-94.51
43.34,-94.47
43.34,-94.43
43.34,-94.39
43.34,-94.35
43.34,-94.31
43.34,-94.27
43.34,-94.23
43.34,-94.19
43.34,-94.15
43.34,-94.11
43.34,-94.07
43.34,-94.03
43.34,-93.99
43.34,-93.95
