Lat,Lon
39.99,-102.02
39.99,-101.98
39.99,-101.94
39.99,-101.9
39.99,-101.86
39.99,-101.82
39.99,-101.78
39.99,-101.74
39.99,-101.7
39.99,-101.66
39.99,-101.62
39.99,-101.58
39.99,-101.54
39.99,-101.5
39.99,-101.46
39.99,-101.42
39.99,-101.38
39.99,-101.34
39.99,-101.3
39.99,-101.26
39.99,-101.22
39.99,-101.18
39.99,-101.14
39.99,-101.1
39.99,-101.06
39.99,-101.02
39.99,-100.98
39.99,-100.94
39.99,-100.9
39.99,-100.86
39.99,-100.82
39.99,-100.78
39.99,-100.74
39.99,-100.7
39.99,-100.66
39.99,-100.62
39.99,-100.58
39.99,-100.54
39.99,-100.5
39.99,-100.46
39.99,-100.42
39.99,-100.38
39.99,-100.34
39.99,-100.3
39.99,-100.26
39.99,-100.22
39.99,-100.18
39.99,-100.14
39.99,-100.1
39.99,-100.06
39.99,-100.02
39.99,-99.98
39.99,-99.94
39.99,-99.9
39.99,-99.86
39.99,-99.82
39.99,-99.78
39.99,-99.74
39.99,-99.7
39.99,-99.66
39.99,-99.62
39.99,-99.58
39.99,-99.54
39.99,-99.5
39.99,-99.46
39.99,-99.42
39.99,-99.38
39.99,-99.34
39.99,-99.3
39.99,-99.26
39.99,-99.22
39.99,-99.18
39.99,-99.14
39.99,-99.1
39.99,-99.06
39.99,-99.02
39.99,-98.98
39.99,-98.94
39.99,-98.9
39.99,-98.86
39.99,-98.82
39.99,-98.78
39.99,-98.74
39.99,-98.7
39.99,-98.66
39.99,-98.62
39.99,-98.58
39.99,-98.54
39.99,-98.5
39.99,-98.46
39.99,-98.42
39.99,-98.38
39.99,-98.34
39.99,-98.3
39.99,-98.26
39.99,-98.22
39.99,-98.18
39.99,-98.14
39.99,-98.1
39.99,-98.06
39.99,-98.02
39.99,-97.98
39.99,-97.94
39.99,-97.9
39.99,-97.86
39.99,-97.82
39.99,-97.78
39.99,-97.74
39.99,-97.7
39.99,-97.66
39.99,-97.62
39.99,-97.58
39.99,-97.54
39.99,-97.5
39.99,-97.46
39.99,-97.42
39.99,-97.38
39.99,-97.34
39.99,-97.3
39.99,-97.26
39.99,-97.22
39.99,-97.18
39.99,-97.14
39.99,-97.1
39.99,-97.06
39.99,-97.02
39.99,-96.98
39.99,-96.94
39.99,-96.9
39.99,-96.86
39.99,-96.82
39.99,-96.78
39.99,-96.74
39.99,-96.7
39.99,-96.66
39.99,-96.62
39.99,-96.58
39.99,-96.54
39.99,-96.5
39.99,-96.46
39.99,-96.42
39.99,-96.38
39.99,-96.34
39.99,-96.3
39.99,-96.26
39.99,-96.22
39.99,-96.18
39.99,-96.14
39.99,-96.1
39.99,-96.06
39.99,-96.02
39.99,-95.98
39.99,-95.94
39.99,-95.9
39.99,-95.86
39.99,-95.82
39.99,-95.78
39.99,-95.74
39.99,-95.7
39.99,-95.66
39.99,-95.62
39.99,-95.58
39.99,-95.54
39.99,-95.5
39.99,-95.46
39.99,-95.42
39.99,-95.38
39.99,-95.34
39.99,-95.3
39.99,-95.26
39.95,-102.02
39.95,-101.98
39.95,-101.94
39.95,-101.9
39.95,-101.86
39.95,-101.82
39.95,-101.78
39.95,-101.74
39.95,-101.7
39.95,-101.66
39.95,-101.62
39.95,-101.58
39.95,-101.54
39.95,-101.5
39.95,-101.46
39.95,-101.42
39.95,-101.38
39.95,-101.34
39.95,-101.3
39.95,-101.26
39.95,-101.22
39.95,-101.18
39.95,-101.14
39.95,-101.1
39.95,-101.06
39.95,-101.02
39.95,-100.98
39.95,-100.94
39.95,-100.9
39.95,-100.86
39.95,-100.82
39.95,-100.78
39.95,-100.74
