Lat,Lon
39.16,-84.78
39.16,-84.74
39.12,-84.82
39.12,-84.78
39.12,-84.74
39.12,-84.7
39.12,-84.5
39.12,-84.46
39.12,-84.42
39.08,-84.9
39.08,-84.86
39.08,-84.82
39.08,-84.78
39.08,-84.74
39.08,-84.7
39.08,-84.66
39.08,-84.62
39.08,-84.58
39.08,-84.54
39.08,-84.5
39.08,-84.46
39.08,-84.42
39.04,-84.9
39.04,-84.86
39.04,-84.82
39.04,-84.78
39.04,-84.74
39.04,-84.7
39.04,-84.66
39.04,-84.62
39.04,-84.58
39.04,-84.54
39.04,-84.5
39.04,-84.46
39.04,-84.42
39.04,-84.38
39.04,-84.34
39.0,-84.86
39.0,-84.82
39.0,-84.78
39.0,-84.74
39.0,-84.7
39.0,-84.66
39.0,-84.62
39.0,-84.58
39.0,-84.54
39.0,-84.5
39.0,-84.46
39.0,-84.42
39.0,-84.38
39.0,-84.34
39.0,-84.3
38.96,-84.86
38.96,-84.82
38.96,-84.78
38.96,-84.74
38.96,-84.7
38.96,-84.66
38.96,-84.62
38.96,-84.58
38.96,-84.54
38.96,-84.5
38.96,-84.46
38.96,-84.42
38.96,-84.38
38.96,-84.34
38.96,-84.3
38.96,-84.26
38.92,-84.9
38.92,-84.86
38.92,-84.82
38.92,-84.78
38.92,-84.74
38.92,-84.7
38.92,-84.66
38.92,-84.62
38.92,-84.58
38.92,-84.54
38.92,-84.5
38.92,-84.46
38.92,-84.42
38.92,-84.38
38.92,-84.34
38.92,-84.3
38.92,-84.26
38.88,-84.86
38.88,-84.82
38.88,-84.78
38.88,-84.74
38.88,-84.7
38.88,-84.66
38.88,-84.62
38.88,-84.58
38.88,-84.54
38.88,-84.5
38.88,-84.46
38.88,-84.42
38.88,-84.38
38.88,-84.34
38.88,-84.3
38.88,-84.26
38.88,-84.22
38.84,-84.82
38.84,-84.78
38.84,-84.74
38.84,-84.7
38.84,-84.66
38.84,-84.62
38.84,-84.58
38.84,-84.54
38.84,-84.5
38.84,-84.46
38.84,-84.42
38.84,-84.38
38.84,-84.34
38.84,-84.3
38.84,-84.26
38.84,-84.22
38.8,-84.94
38.8,-84.9
38.8,-84.86
38.8,-84.82
38.8,-84.78
38.8,-84.74
38.8,-84.7
38.8,-84.66
38.8,-84.62
38.8,-84.58
38.8,-84.54
38.8,-84.5
38.8,-84.46
38.8,-84.42
38.8,-84.38
38.8,-84.34
38.8,-84.3
38.8,-84.26
38.8,-84.22
38.8,-84.18
38.8,-84.14
38.8,-84.1
38.8,-84.02
38.8,-83.98
38.8,-83.94
38.76,-85.3
38.76,-85.26
38.76,-85.06
38.76,-85.02
38.76,-84.98
38.76,-84.94
38.76,-84.9
38.76,-84.86
38.76,-84.82
38.76,-84.78
38.76,-84.74
38.76,-84.7
38.76,-84.66
38.76,-84.62
38.76,-84.58
38.76,-84.54
38.76,-84.5
38.76,-84.46
38.76,-84.42
38.76,-84.38
38.76,-84.34
38.76,-84.3
38.76,-84.26
38.76,-84.22
38.76,-84.18
38.76,-84.14
38.76,-84.1
38.76,-84.06
38.76,-84.02
38.76,-83.98
38.76,-83.94
38.76,-83.9
38.76,-83.86
38.76,-82.94
38.76,-82.9
38.76,-82.86
38.72,-85.46
38.72,-85.42
38.72,-85.38
38.72,-85.34
38.72,-85.3
38.72,-85.26
38.72,-85.22
38.72,-85.14
38.72,-85.1
38.72,-85.06
38.72,-85.02
38.72,-84.98
38.72,-84.94
38.72,-84.9
38.72,-84.86
38.72,-84.82
38.72,-84.78
38.72,-84.74
38.72,-84.7
38.72,-84.66
38.72,-84.62
38.72,-84.58
38.72,-84.54
38.72,-84.5
38.72,-84.46
38.72,-84.42
38.72,-84.38
38.72,-84.34
38.72,-84.3
38.72,-84.26
38.72,-84.22
