Lat,Lon
33.03,-94.04
33.03,-94.0
33.03,-93.96
33.03,-93.92
33.03,-93.88
33.03,-93.84
33.03,-93.8
33.03,-93.76
33.03,-93.72
33.03,-93.68
33.03,-93.64
33.03,-93.6
33.03,-93.56
33.03,-93.52
33.03,-93.48
33.03,-93.44
33.03,-93.4
33.03,-93.36
33.03,-93.32
33.03,-93.28
33.03,-93.24
33.03,-93.2
33.03,-93.16
33.03,-93.12
33.03,-93.08
33.03,-93.04
33.03,-93.0
33.03,-92.96
33.03,-92.92
33.03,-92.88
33.03,-92.84
33.03,-92.8
33.03,-92.76
33.03,-92.72
33.03,-92.68
33.03,-92.64
33.03,-92.6
33.03,-92.56
33.03,-92.52
32.99,-94.04
32.99,-94.0
32.99,-93.96
32.99,-93.92
32.99,-93.88
32.99,-93.84
32.99,-93.8
32.99,-93.76
32.99,-93.72
32.99,-93.68
32.99,-93.64
32.99,-93.6
32.99,-93.56
32.99,-93.52
32.99,-93.48
32.99,-93.44
32.99,-93.4
32.99,-93.36
32.99,-93.32
32.99,-93.28
32.99,-93.24
32.99,-93.2
32.99,-93.16
32.99,-93.12
32.99,-93.08
32.99,-93.04
32.99,-93.0
32.99,-92.96
32.99,-92.92
32.99,-92.88
32.99,-92.84
32.99,-92.8
32.99,-92.76
32.99,-92.72
32.99,-92.68
32.99,-92.64
32.99,-92.6
32.99,-92.56
32.99,-92.52
32.99,-92.48
32.99,-92.44
32.99,-92.4
32.99,-92.36
32.99,-92.32
32.99,-92.28
32.99,-92.24
32.99,-92.2
32.99,-92.16
32.99,-92.12
32.99,-92.08
32.99,-92.04
32.99,-92.0
32.99,-91.96
32.99,-91.92
32.99,-91.88
32.99,-91.84
32.99,-91.8
32.99,-91.76
32.99,-91.72
32.99,-91.68
32.99,-91.64
32.99,-91.6
32.99,-91.56
32.99,-91.52
32.99,-91.48
32.99,-91.44
32.99,-91.4
32.99,-91.36
32.99,-91.32
32.99,-91.28
32.99,-91.24
32.99,-91.2
32.99,-91.16
32.99,-91.12
32.99,-91.08
32.95,-94.04
32.95,-94.0
32.95,-93.96
32.95,-93.92
32.95,-93.88
32.95,-93.84
32.95,-93.8
32.95,-93.76
32.95,-93.72
32.95,-93.68
32.95,-93.64
32.95,-93.6
32.95,-93.56
32.95,-93.52
32.95,-93.48
32.95,-93.44
32.95,-93.4
32.95,-93.36
32.95,-93.32
32.95,-93.28
32.95,-93.24
32.95,-93.2
32.95,-93.16
32.95,-93.12
32.95,-93.08
32.95,-93.04
32.95,-93.0
32.95,-92.96
32.95,-92.92
32.95,-92.88
32.95,-92.84
32.95,-92.8
32.95,-92.76
32.95,-92.72
32.95,-92.68
32.95,-92.64
32.95,-92.6
