Lat,Lon
47.48,-69.22
47.48,-69.18
47.44,-69.26
47.44,-69.22
47.44,-69.18
47.44,-69.14
47.44,-69.1
47.44,-69.06
47.44,-69.02
47.4,-69.3
47.4,-69.26
47.4,-69.22
47.4,-69.18
47.4,-69.14
47.4,-69.1
47.4,-69.06
47.4,-69.02
47.36,-69.34
47.36,-69.3
47.36,-69.26
47.36,-69.22
47.36,-69.18
47.36,-69.14
47.36,-69.1
47.36,-69.06
47.36,-68.38
47.36,-68.34
47.36,-68.3
47.36,-68.26
47.36,-68.22
47.36,-68.18
47.32,-69.38
47.32,-69.34
47.32,-69.3
47.32,-69.26
47.32,-69.22
47.32,-69.18
47.32,-69.14
47.32,-69.1
47.32,-69.06
47.32,-68.54
47.32,-68.5
47.32,-68.46
47.32,-68.38
47.32,-68.34
47.32,-68.3
47.32,-68.26
47.32,-68.22
47.32,-68.18
47.32,-68.14
47.28,-69.42
47.28,-69.38
47.28,-69.34
47.28,-69.3
47.28,-69.26
47.28,-69.22
47.28,-69.18
47.28,-69.14
47.28,-69.1
47.28,-69.06
47.28,-68.58
47.28,-68.54
47.28,-68.5
47.28,-68.46
47.28,-68.42
47.28,-68.38
47.28,-68.34
47.28,-68.3
47.28,-68.26
47.28,-68.22
47.28,-68.18
47.28,-68.14
47.28,-68.1
47.28,-68.06
47.24,-69.46
47.24,-69.42
47.24,-69.38
47.24,-69.34
47.24,-69.3
47.24,-69.26
47.24,-69.22
47.24,-69.18
47.24,-69.14
47.24,-69.1
47.24,-69.06
47.24,-69.02
47.24,-68.98
47.24,-68.82
47.24,-68.78
47.24,-68.74
47.24,-68.7
47.24,-68.66
47.24,-68.62
47.24,-68.58
47.24,-68.54
47.24,-68.5
47.24,-68.46
47.24,-68.42
47.24,-68.38
47.24,-68.34
47.24,-68.3
47.24,-68.26
47.24,-68.22
47.24,-68.18
47.24,-68.14
47.24,-68.1
47.24,-68.06
47.24,-68.02
47.24,-67.98
47.2,-69.5
47.2,-69.46
47.2,-69.42
47.2,-69.38
47.2,-69.34
47.2,-69.3
47.2,-69.26
47.2,-69.22
47.2,-69.18
47.2,-69.14
47.2,-69.1
47.2,-69.06
47.2,-69.02
47.2,-68.98
47.2,-68.94
47.2,-68.9
47.2,-68.86
47.2,-68.82
47.2,-68.78
47.2,-68.74
47.2,-68.7
47.2,-68.66
47.2,-68.62
47.2,-68.58
47.2,-68.54
47.2,-68.5
47.2,-68.46
47.2,-68.42
47.2,-68.38
47.2,-68.34
47.2,-68.3
47.2,-68.26
47.2,-68.22
47.2,-68.18
47.2,-68.14
47.2,-68.1
47.2,-68.06
47.2,-68.02
47.2,-67.98
47.2,-67.94
47.16,-69.54
47.16,-69.5
47.16,-69.46
47.16,-69.42
47.16,-69.38
47.16,-69.34
47.16,-69.3
47.16,-69.26
47.16,-69.22
47.16,-69.18
47.16,-69.14
47.16,-69.1
47.16,-69.06
47.16,-69.02
47.16,-68.98
47.16,-68.94
47.16,-68.9
47.16,-68.86
47.16,-68.82
47.16,-68.78
47.16,-68.74
47.16,-68.7
47.16,-68.66
47.16,-68.62
47.16,-68.58
47.16,-68.54
47.16,-68.5
47.16,-68.46
47.16,-68.42
47.16,-68.38
47.16,-68.34
47.16,-68.3
47.16,-68.26
47.16,-68.22
47.16,-68.18
47.16,-68.14
47.16,-68.1
47.16,-68.06
47.16,-68.02
47.16,-67.98
47.16,-67.94
47.16,-67.9
47.12,-69.58
47.12,-69.54
47.12,-69.5
47.12,-69.46
47.12,-69.42
47.12,-69.38
47.12,-69.34
47.12,-69.3
47.12,-69.26
47.12,-69.22
47.12,-69.18
47.12,-69.14
47.12,-69.1
47.12,-69.06
47.12,-69.02
47.12,-68.98
47.12,-68.94
47.12,-68.9
47.12,-68.86
47.12,-68.82
47.12,-68.78
47.12,-68.74
47.12,-68.7
47.12,-68.66
47.12,-68.62
47.12,-68.58
47.12,-68.54
47.12,-68.5
47.12,-68.46
47.12,-68.42
47.12,-68.38
47.12,-68.34
47.12,-68.3
47.12,-68.26
47.12,-68.22
47.12,-68.18
47.12,-68.14
47.12,-68.1
47.12,-68.06
47.12,-68.02
47.12,-67.98
47.12,-67.94
47.12,-67.9
47.12,-67.86
47.08,-69.62
47.08,-69.58
47.08,-69.54
47.08,-69.5
47.08,-69.46
47.08,-69.42
47.08,-69.38
47.08,-69.34
47.08,-69.3
47.08,-69.26
47.08,-69.22
47.08,-69.18
47.08,-69.14
47.08,-69.1
47.08,-69.06
47.08,-69.02
47.08,-68.98
47.08,-68.94
47.08,-68.9
47.08,-68.86
47.08,-68.82
47.08,-68.78
47.08,-68.74
47.08,-68.7
47.08,-68.66
47.08,-68.62
47.08,-68.58
47.08,-68.54
47.08,-68.5
47.08,-68.46
47.08,-68.42
47.08,-68.38
47.08,-68.34
47.08,-68.3
47.08,-68.26
47.08,-68.22
47.08,-68.18
47.08,-68.14
47.08,-68.1
47.08,-68.06
47.08,-68.02
47.08,-67.98
47.08,-67.94
47.08,-67.9
47.08,-67.86
47.08,-67.82
47.08,-67.78
47.04,-69.66
47.04,-69.62
47.04,-69.58
47.04,-69.54
47.04,-69.5
47.04,-69.46
47.04,-69.42
47.04,-69.38
47.04,-69.34
47.04,-69.3
47.04,-69.26
47.04,-69.22
47.04,-69.18
47.04,-69.14
47.04,-69.1
47.04,-69.06
47.04,-69.02
47.04,-68.98
47.04,-68.94
47.04,-68.9
47.04,-68.86
47.04,-68.82
47.04,-68.78
47.04,-68.74
47.04,-68.7
47.04,-68.66
47.04,-68.62
47.04,-68.58
47.04,-68.54
47.04,-68.5
47.04,-68.46
47.04,-68.42
47.04,-68.38
47.04,-68.34
47.04,-68.3
47.04,-68.26
47.04,-68.22
47.04,-68.18
47.04,-68.14
47.04,-68.1
47.04,-68.06
47.04,-68.02
47.04,-67.98
47.04,-67.94
47.04,-67.9
47.04,-67.86
47.04,-67.82
47.04,-67.78
47.0,-69.7
47.0,-69.66
47.0,-69.62
47.0,-69.58
47.0,-69.54
47.0,-69.5
