Lat,Lon
39.72,-79.46
39.72,-79.42
39.72,-79.38
39.72,-79.34
39.72,-79.3
39.72,-79.26
39.72,-79.22
39.72,-79.18
39.72,-79.14
39.72,-79.1
39.72,-79.06
39.72,-79.02
39.72,-78.98
39.72,-78.94
39.72,-78.9
39.72,-78.86
39.72,-78.82
39.72,-78.78
39.72,-78.74
39.72,-78.7
39.72,-78.66
39.72,-78.62
39.72,-78.58
39.72,-78.54
39.72,-78.5
39.72,-78.46
39.72,-78.42
39.72,-78.38
39.72,-78.34
39.72,-78.3
39.72,-78.26
39.72,-78.22
39.72,-78.18
39.72,-78.14
39.72,-78.1
39.72,-78.06
39.72,-78.02
39.72,-77.98
39.72,-77.94
39.72,-77.9
39.72,-77.86
39.72,-77.82
39.72,-77.78
39.72,-77.74
39.72,-77.7
39.72,-77.66
39.72,-77.62
39.72,-77.58
39.72,-77.54
39.72,-77.5
39.72,-77.46
39.72,-77.42
39.72,-77.38
39.72,-77.34
39.72,-77.3
39.72,-77.26
39.72,-77.22
39.72,-77.18
39.72,-77.14
39.72,-77.1
39.72,-77.06
39.72,-77.02
39.72,-76.98
39.72,-76.94
39.72,-76.9
39.72,-76.86
39.72,-76.82
39.72,-76.78
39.72,-76.74
39.72,-76.7
39.72,-76.66
39.72,-76.62
39.72,-76.58
39.72,-76.54
39.72,-76.5
39.72,-76.46
39.72,-76.42
39.72,-76.38
39.72,-76.34
39.72,-76.3
39.72,-76.26
39.72,-76.22
39.72,-76.18
39.72,-76.14
39.72,-76.1
39.72,-76.06
39.72,-76.02
39.72,-75.98
39.72,-75.94
39.72,-75.9
39.72,-75.86
39.72,-75.82
39.72,-75.78
39.68,-79.46
39.68,-79.42
39.68,-79.38
39.68,-79.34
39.68,-79.3
39.68,-79.26
39.68,-79.22
39.68,-79.18
39.68,-79.14
39.68,-79.1
39.68,-79.06
39.68,-79.02
39.68,-78.98
39.68,-78.94
39.68,-78.9
39.68,-78.86
39.68,-78.82
39.68,-78.78
39.68,-78.74
39.68,-78.7
39.68,-78.66
39.68,-78.62
39.68,-78.58
39.68,-78.54
39.68,-78.5
39.68,-78.46
39.68,-78.42
39.68,-78.38
39.68,-78.34
39.68,-78.3
39.68,-78.26
39.68,-78.22
39.68,-78.18
39.68,-78.14
39.68,-78.1
39.68,-78.06
39.68,-78.02
39.68,-77.98
39.68,-77.94
39.68,-77.9
39.68,-77.86
39.68,-77.82
39.68,-77.78
39.68,-77.74
39.68,-77.7
39.68,-77.66
39.68,-77.62
39.68,-77.58
39.68,-77.54
39.68,-77.5
39.68,-77.46
39.68,-77.42
39.68,-77.38
39.68,-77.34
39.68,-77.3
39.68,-77.26
39.68,-77.22
39.68,-77.18
39.68,-77.14
39.68,-77.1
39.68,-77.06
39.68,-77.02
39.68,-76.98
39.68,-76.94
39.68,-76.9
39.68,-76.86
39.68,-76.82
39.68,-76.78
39.68,-76.74
39.68,-76.7
39.68,-76.66
39.68,-76.62
39.68,-76.58
39.68,-76.54
39.68,-76.5
39.68,-76.46
39.68,-76.42
39.68,-76.38
39.68,-76.34
39.68,-76.3
39.68,-76.26
39.68,-76.22
39.68,-76.18
39.68,-76.14
39.68,-76.1
39.68,-76.06
39.68,-76.02
39.68,-75.98
39.68,-75.94
39.68,-75.9
39.68,-75.86
39.68,-75.82
39.68,-75.78
39.64,-79.46
39.64,-79.42
39.64,-79.38
39.64,-79.34
39.64,-79.3
39.64,-79.26
39.64,-79.22
39.64,-79.18
39.64,-79.14
39.64,-79.1
39.64,-79.06
39.64,-79.02
39.64,-78.98
39.64,-78.94
39.64,-78.9
39.64,-78.86
39.64,-78.82
39.64,-78.78
39.64,-78.74
39.64,-78.7
39.64,-78.66
39.64,-78.62
39.64,-78.58
39.64,-78.54
39.64,-78.5
39.64,-78.46
39.64,-78.42
39.64,-78.38
39.64,-78.34
39.64,-78.3
39.64,-78.26
39.64,-78.22
39.64,-78.06
39.64,-78.02
39.64,-77.98
39.64,-77.94
39.64,-77.9
39.64,-77.86
39.64,-77.82
39.64,-77.78
39.64,-77.74
39.64,-77.7
39.64,-77.66
39.64,-77.62
39.64,-77.58
39.64,-77.54
39.64,-77.5
39.64,-77.46
39.64,-77.42
39.64,-77.38
39.64,-77.34
39.64,-77.3
39.64,-77.26
39.64,-77.22
39.64,-77.18
39.64,-77.14
39.64,-77.1
39.64,-77.06
39.64,-77.02
39.64,-76.98
