Lat,Lon
42.89,-70.97
42.89,-70.93
42.89,-70.89
42.85,-71.05
42.85,-71.01
42.85,-70.97
42.85,-70.93
42.85,-70.89
42.85,-70.85
42.85,-70.81
42.81,-71.17
42.81,-71.13
42.81,-71.09
42.81,-71.05
42.81,-71.01
42.81,-70.97
42.81,-70.93
42.81,-70.89
42.81,-70.85
42.81,-70.81
42.77,-71.21
42.77,-71.17
42.77,-71.13
42.77,-71.09
42.77,-71.05
42.77,-71.01
42.77,-70.97
42.77,-70.93
42.77,-70.89
42.77,-70.85
42.77,-70.81
42.73,-73.29
42.73,-73.25
42.73,-73.21
42.73,-73.17
42.73,-73.13
42.73,-73.09
42.73,-73.05
42.73,-73.01
42.73,-72.97
42.73,-72.93
42.73,-72.89
42.73,-72.85
42.73,-72.81
42.73,-72.77
42.73,-72.73
42.73,-72.69
42.73,-72.65
42.73,-72.61
42.73,-72.57
42.73,-72.53
42.73,-72.49
42.73,-72.45
42.73,-72.41
42.73,-72.37
42.73,-72.33
42.73,-72.29
42.73,-72.25
42.73,-72.21
42.73,-72.17
42.73,-72.13
42.73,-72.09
42.73,-72.05
42.73,-71.29
42.73,-71.25
42.73,-71.21
42.73,-71.17
42.73,-71.13
42.73,-71.09
42.73,-71.05
42.73,-71.01
42.73,-70.97
42.73,-70.93
42.73,-70.89
42.73,-70.85
42.73,-70.81
42.73,-70.77
42.69,-73.29
42.69,-73.25
42.69,-73.21
42.69,-73.17
42.69,-73.13
42.69,-73.09
42.69,-73.05
42.69,-73.01
42.69,-72.97
42.69,-72.93
42.69,-72.89
42.69,-72.85
42.69,-72.81
42.69,-72.77
42.69,-72.73
42.69,-72.69
42.69,-72.65
42.69,-72.61
42.69,-72.57
42.69,-72.53
42.69,-72.49
42.69,-72.45
42.69,-72.41
42.69,-72.37
42.69,-72.33
42.69,-72.29
42.69,-72.25
42.69,-72.21
42.69,-72.17
42.69,-72.13
42.69,-72.09
42.69,-72.05
42.69,-72.01
42.69,-71.97
42.69,-71.93
42.69,-71.89
42.69,-71.85
42.69,-71.81
42.69,-71.77
42.69,-71.73
42.69,-71.69
42.69,-71.65
42.69,-71.61
42.69,-71.57
42.69,-71.53
42.69,-71.49
42.69,-71.45
42.69,-71.41
42.69,-71.37
42.69,-71.33
42.69,-71.29
42.69,-71.25
42.69,-71.21
42.69,-71.17
42.69,-71.13
42.69,-71.09
42.69,-71.05
42.69,-71.01
42.69,-70.97
42.69,-70.93
42.69,-70.89
42.69,-70.85
42.69,-70.81
42.69,-70.77
42.69,-70.73
42.69,-70.69
42.69,-70.65
42.69,-70.61
42.65,-73.33
42.65,-73.29
42.65,-73.25
42.65,-73.21
42.65,-73.17
42.65,-73.13
42.65,-73.09
42.65,-73.05
42.65,-73.01
42.65,-72.97
42.65,-72.93
42.65,-72.89
42.65,-72.85
42.65,-72.81
42.65,-72.77
42.65,-72.73
42.65,-72.69
42.65,-72.65
42.65,-72.61
42.65,-72.57
42.65,-72.53
42.65,-72.49
42.65,-72.45
42.65,-72.41
42.65,-72.37
42.65,-72.33
42.65,-72.29
42.65,-72.25
42.65,-72.21
42.65,-72.17
42.65,-72.13
42.65,-72.09
42.65,-72.05
42.65,-72.01
42.65,-71.97
42.65,-71.93
42.65,-71.89
42.65,-71.85
42.65,-71.81
42.65,-71.77
42.65,-71.73
42.65,-71.69
42.65,-71.65
42.65,-71.61
42.65,-71.57
42.65,-71.53
42.65,-71.49
42.65,-71.45
42.65,-71.41
42.65,-71.37
42.65,-71.33
42.65,-71.29
42.65,-71.25
42.65,-71.21
42.65,-71.17
42.65,-71.13
42.65,-71.09
42.65,-71.05
42.65,-71.01
42.65,-70.97
42.65,-70.93
42.65,-70.89
42.65,-70.85
42.65,-70.81
42.65,-70.77
42.65,-70.73
42.65,-70.69
42.65,-70.65
42.65,-70.61
42.61,-73.33
42.61,-73.29
42.61,-73.25
42.61,-73.21
42.61,-73.17
42.61,-73.13
42.61,-73.09
42.61,-73.05
42.61,-73.01
42.61,-72.97
42.61,-72.93
42.61,-72.89
42.61,-72.85
42.61,-72.81
42.61,-72.77
42.61,-72.73
42.61,-72.69
42.61,-72.65
42.61,-72.61
42.61,-72.57
42.61,-72.53
42.61,-72.49
42.61,-72.45
42.61,-72.41
42.61,-72.37
42.61,-72.33
42.61,-72.29
42.61,-72.25
42.61,-72.21
42.61,-72.17
42.61,-72.13
42.61,-72.09
42.61,-72.05
42.61,-72.01
42.61,-71.97
42.61,-71.93
42.61,-71.89
42.61,-71.85
42.61,-71.81
42.61,-71.77
42.61,-71.73
42.61,-71.69
42.61,-71.65
42.61,-71.61
42.61,-71.57
42.61,-71.53
42.61,-71.49
42.61,-71.45
42.61,-71.41
42.61,-71.37
42.61,-71.33
42.61,-71.29
42.61,-71.25
42.61,-71.21
42.61,-71.17
42.61,-71.13
42.61,-71.09
42.61,-71.05
42.61,-71.01
42.61,-70.97
42.61,-70.93
42.61,-70.89
42.61,-70.85
42.61,-70.81
42.61,-70.77
42.61,-70.73
42.61,-70.69
42.61,-70.65
42.61,-70.61
42.57,-73.33
42.57,-73.29
42.57,-73.25
42.57,-73.21
42.57,-73.17
42.57,-73.13
42.57,-73.09
42.57,-73.05
42.57,-73.01
42.57,-72.97
42.57,-72.93
42.57,-72.89
42.57,-72.85
42.57,-72.81
42.57,-72.77
42.57,-72.73
42.57,-72.69
42.57,-72.65
42.57,-72.61
42.57,-72.57
42.57,-72.53
42.57,-72.49
42.57,-72.45
42.57,-72.41
42.57,-72.37
42.57,-72.33
42.57,-72.29
42.57,-72.25
42.57,-72.21
42.57,-72.17
42.57,-72.13
42.57,-72.09
42.57,-72.05
42.57,-72.01
42.57,-71.97
42.57,-71.93
42.57,-71.89
42.57,-71.85
42.57,-71.81
42.57,-71.77
42.57,-71.73
42.57,-71.69
42.57,-71.65
42.57,-71.61
42.57,-71.57
42.57,-71.53
42.57,-71.49
42.57,-71.45
42.57,-71.41
42.57,-71.37
42.57,-71.33
42.57,-71.29
42.57,-71.25
42.57,-71.21
42.57,-71.17
42.57,-71.13
42.57,-71.09
42.57,-71.05
42.57,-71.01
42.57,-70.97
42.57,-70.93
42.57,-70.89
42.57,-70.85
42.57,-70.81
42.57,-70.77
42.57,-70.73
42.57,-70.69
42.57,-70.65
42.53,-73.37
42.53,-73.33
42.53,-73.29
42.53,-73.25
42.53,-73.21
42.53,-73.17
42.53,-73.13
42.53,-73.09
42.53,-73.05
42.53,-73.01
42.53,-72.97
42.53,-72.93
42.53,-72.89
42.53,-72.85
42.53,-72.81
42.53,-72.77
42.53,-72.73
42.53,-72.69
42.53,-72.65
42.53,-72.61
42.53,-72.57
42.53,-72.53
42.53,-72.49
42.53,-72.45
42.53,-72.41
42.53,-72.37
42.53,-72.33
42.53,-72.29
42.53,-72.25
42.53,-72.21
42.53,-72.17
42.53,-72.13
42.53,-72.09
42.53,-72.05
42.53,-72.01
42.53,-71.97
42.53,-71.93
42.53,-71.89
42.53,-71.85
42.53,-71.81
42.53,-71.77
42.53,-71.73
42.53,-71.69
42.53,-71.65
42.53,-71.61
42.53,-71.57
42.53,-71.53
42.53,-71.49
42.53,-71.45
42.53,-71.41
42.53,-71.37
42.53,-71.33
42.53,-71.29
42.53,-71.25
42.53,-71.21
42.53,-71.17
42.53,-71.13
42.53,-71.09
42.53,-71.05
42.53,-71.01
42.53,-70.97
42.53,-70.93
42.53,-70.89
42.53,-70.85
42.53,-70.81
42.49,-73.37
42.49,-73.33
42.49,-73.29
42.49,-73.25
42.49,-73.21
42.49,-73.17
42.49,-73.13
42.49,-73.09
42.49,-73.05
42.49,-73.01
42.49,-72.97
42.49,-72.93
42.49,-72.89
42.49,-72.85
42.49,-72.81
42.49,-72.77
42.49,-72.73
42.49,-72.69
42.49,-72.65
42.49,-72.61
42.49,-72.57
42.49,-72.53
42.49,-72.49
42.49,-72.45
42.49,-72.41
42.49,-72.37
42.49,-72.33
42.49,-72.29
42.49,-72.25
42.49,-72.21
42.49,-72.17
42.49,-72.13
42.49,-72.09
42.49,-72.05
42.49,-72.01
42.49,-71.97
42.49,-71.93
42.49,-71.89
42.49,-71.85
42.49,-71.81
42.49,-71.77
42.49,-71.73
42.49,-71.69
42.49,-71.65
42.49,-71.61
42.49,-71.57
42.49,-71.53
42.49,-71.49
42.49,-71.45
42.49,-71.41
42.49,-71.37
42.49,-71.33
42.49,-71.29
42.49,-71.25
42.49,-71.21
42.49,-71.17
42.49,-71.13
42.49,-71.09
42.49,-71.05
42.49,-71.01
42.49,-70.97
42.49,-70.93
42.49,-70.89
42.49,-70.85
42.45,-73.37
42.45,-73.33
42.45,-73.29
42.45,-73.25
42.45,-73.21
42.45,-73.17
42.45,-73.13
42.45,-73.09
42.45,-73.05
42.45,-73.01
42.45,-72.97
42.45,-72.93
42.45,-72.89
42.45,-72.85
42.45,-72.81
42.45,-72.77
42.45,-72.73
42.45,-72.69
42.45,-72.65
42.45,-72.61
42.45,-72.57
42.45,-72.53
42.45,-72.49
42.45,-72.45
42.45,-72.41
42.45,-72.37
42.45,-72.33
42.45,-72.29
42.45,-72.25
42.45,-72.21
42.45,-72.17
42.45,-72.13
42.45,-72.09
42.45,-72.05
42.45,-72.01
42.45,-71.97
42.45,-71.93
42.45,-71.89
42.45,-71.85
42.45,-71.81
42.45,-71.77
42.45,-71.73
42.45,-71.69
42.45,-71.65
42.45,-71.61
42.45,-71.57
42.45,-71.53
42.45,-71.49
42.45,-71.45
42.45,-71.41
42.45,-71.37
42.45,-71.33
42.45,-71.29
42.45,-71.25
42.45,-71.21
42.45,-71.17
42.45,-71.13
42.45,-71.09
42.45,-71.05
42.45,-71.01
42.45,-70.97
42.45,-70.93
42.45,-70.89
42.41,-73.41
42.41,-73.37
42.41,-73.33
42.41,-73.29
42.41,-73.25
42.41,-73.21
42.41,-73.17
42.41,-73.13
42.41,-73.09
42.41,-73.05
42.41,-73.01
42.41,-72.97
42.41,-72.93
42.41,-72.89
42.41,-72.85
42.41,-72.81
42.41,-72.77
42.41,-72.73
42.41,-72.69
42.41,-72.65
42.41,-72.61
42.41,-72.57
42.41,-72.53
42.41,-72.49
42.41,-72.45
42.41,-72.41
42.41,-72.37
42.41,-72.33
42.41,-72.29
42.41,-72.25
42.41,-72.21
42.41,-72.17
42.41,-72.13
42.41,-72.09
42.41,-72.05
42.41,-72.01
42.41,-71.97
42.41,-71.93
42.41,-71.89
42.41,-71.85
42.41,-71.81
42.41,-71.77
42.41,-71.73
42.41,-71.69
42.41,-71.65
42.41,-71.61
42.41,-71.57
42.41,-71.53
42.41,-71.49
42.41,-71.45
42.41,-71.41
42.41,-71.37
42.41,-71.33
42.41,-71.29
42.41,-71.25
42.41,-71.21
42.41,-71.17
42.41,-71.13
42.41,-71.09
42.41,-71.05
42.41,-71.01
42.41,-70.97
42.41,-70.93
42.41,-70.89
42.37,-73.41
42.37,-73.37
42.37,-73.33
42.37,-73.29
42.37,-73.25
42.37,-73.21
42.37,-73.17
