Lat,Lon
48.15,-88.66
48.15,-88.62
48.15,-88.58
48.15,-88.54
48.15,-88.5
48.15,-88.46
48.15,-88.42
48.11,-88.74
48.11,-88.7
48.11,-88.66
48.11,-88.62
48.11,-88.58
48.11,-88.54
48.11,-88.5
48.07,-88.86
48.07,-88.82
48.07,-88.78
48.07,-88.74
48.07,-88.7
48.07,-88.66
48.07,-88.62
48.07,-88.58
48.03,-88.94
48.03,-88.9
48.03,-88.86
48.03,-88.82
48.03,-88.78
48.03,-88.74
48.03,-88.7
48.03,-88.66
48.03,-88.62
48.03,-88.58
47.99,-89.06
47.99,-89.02
47.99,-88.98
47.99,-88.94
47.99,-88.9
47.99,-88.86
47.99,-88.82
47.99,-88.78
47.99,-88.74
47.99,-88.7
47.99,-88.66
47.95,-89.18
47.95,-89.14
47.95,-89.1
47.95,-89.06
47.95,-89.02
47.95,-88.98
47.95,-88.94
47.95,-88.9
47.95,-88.86
47.95,-88.82
47.91,-89.22
47.91,-89.18
47.91,-89.14
47.91,-89.1
47.91,-89.06
47.91,-89.02
47.91,-88.98
47.91,-88.94
47.91,-88.9
47.87,-89.26
47.87,-89.22
47.87,-89.18
47.87,-89.14
47.87,-89.1
47.87,-89.06
47.87,-89.02
47.87,-88.98
47.87,-88.94
47.87,-88.9
47.83,-89.22
47.83,-89.18
47.83,-89.14
47.83,-89.1
47.83,-89.06
47.47,-88.18
47.47,-88.14
47.47,-88.1
47.47,-88.06
47.47,-88.02
47.47,-87.98
47.47,-87.94
47.47,-87.9
47.47,-87.86
47.47,-87.82
47.47,-87.78
47.47,-87.74
47.43,-88.3
47.43,-88.26
47.43,-88.22
47.43,-88.18
47.43,-88.14
47.43,-88.1
47.43,-88.06
47.43,-88.02
47.43,-87.98
47.43,-87.94
47.43,-87.9
47.43,-87.86
47.43,-87.82
47.43,-87.78
47.43,-87.74
47.43,-87.7
47.43,-87.66
47.43,-87.62
47.43,-87.58
47.39,-88.42
47.39,-88.38
47.39,-88.34
47.39,-88.3
47.39,-88.26
47.39,-88.22
47.39,-88.18
47.39,-88.14
47.39,-88.1
47.39,-88.06
47.39,-88.02
47.39,-87.98
47.39,-87.94
47.39,-87.9
47.39,-87.86
47.39,-87.82
47.39,-87.78
47.39,-87.74
47.39,-87.7
47.39,-87.66
47.39,-87.62
47.39,-87.58
47.35,-88.46
47.35,-88.42
47.35,-88.38
47.35,-88.34
47.35,-88.3
47.35,-88.26
47.35,-88.22
47.35,-88.18
47.35,-88.14
47.35,-88.1
47.35,-88.06
47.35,-88.02
47.35,-87.98
47.35,-87.94
47.31,-88.5
47.31,-88.46
47.31,-88.42
47.31,-88.38
47.31,-88.34
47.31,-88.3
47.31,-88.26
47.31,-88.22
47.31,-88.18
47.31,-88.14
47.31,-88.1
47.31,-88.06
47.31,-88.02
47.31,-87.98
47.27,-88.58
47.27,-88.54
47.27,-88.5
47.27,-88.46
47.27,-88.42
47.27,-88.38
47.27,-88.34
47.27,-88.3
47.27,-88.26
47.27,-88.22
47.27,-88.18
47.27,-88.14
47.27,-88.1
47.27,-88.06
47.23,-88.7
47.23,-88.66
47.23,-88.62
47.23,-88.58
47.23,-88.54
47.23,-88.5
47.23,-88.46
47.23,-88.42
47.23,-88.38
47.23,-88.34
47.23,-88.3
47.23,-88.26
47.23,-88.22
47.23,-88.18
47.23,-88.14
47.23,-88.1
47.19,-88.74
47.19,-88.7
47.19,-88.66
47.19,-88.62
47.19,-88.58
47.19,-88.54
47.19,-88.5
47.19,-88.46
47.19,-88.42
47.19,-88.38
47.19,-88.34
47.19,-88.3
47.19,-88.26
47.19,-88.22
47.19,-88.18
47.15,-88.82
47.15,-88.78
47.15,-88.74
47.15,-88.7
47.15,-88.66
47.15,-88.62
47.15,-88.58
47.15,-88.54
47.15,-88.5
47.15,-88.46
47.15,-88.42
