Lat,Lon
49.38,-95.14
49.38,-95.1
49.38,-95.02
49.38,-94.98
49.38,-94.94
49.34,-95.14
49.34,-95.1
49.34,-95.06
49.34,-95.02
49.34,-94.98
49.34,-94.94
49.34,-94.9
49.34,-94.86
49.34,-94.82
49.3,-95.14
49.3,-95.1
49.3,-95.06
49.3,-95.02
49.3,-94.98
49.3,-94.94
49.3,-94.9
49.3,-94.86
49.3,-94.82
49.26,-95.14
49.26,-95.1
49.26,-95.06
49.26,-95.02
49.26,-94.98
49.26,-94.94
49.26,-94.9
49.26,-94.86
49.26,-94.82
49.22,-95.14
49.22,-95.1
49.22,-95.06
49.22,-95.02
49.22,-94.98
49.22,-94.94
49.22,-94.9
49.22,-94.86
49.22,-94.82
49.18,-95.14
49.18,-95.1
49.18,-95.06
49.18,-95.02
49.18,-94.98
49.18,-94.94
49.18,-94.9
49.18,-94.86
49.18,-94.82
49.18,-94.78
49.14,-95.14
49.14,-95.1
49.14,-95.06
49.14,-95.02
49.14,-94.98
49.14,-94.94
49.14,-94.9
49.14,-94.86
49.14,-94.82
49.14,-94.78
49.1,-95.14
49.1,-95.1
49.1,-95.06
49.1,-95.02
49.1,-94.98
49.1,-94.94
49.1,-94.9
49.1,-94.86
49.1,-94.82
49.1,-94.78
49.1,-94.74
49.06,-95.14
49.06,-95.1
49.06,-95.06
49.06,-95.02
49.06,-94.98
49.06,-94.94
49.06,-94.9
49.06,-94.86
49.06,-94.82
49.06,-94.78
49.06,-94.74
49.02,-95.14
49.02,-95.1
49.02,-95.06
49.02,-95.02
49.02,-94.98
49.02,-94.94
49.02,-94.9
49.02,-94.86
49.02,-94.82
49.02,-94.78
49.02,-94.74
48.98,-97.26
48.98,-97.22
48.98,-97.18
48.98,-97.14
48.98,-97.1
48.98,-97.06
48.98,-97.02
48.98,-96.98
48.98,-96.94
48.98,-96.9
48.98,-96.86
48.98,-96.82
48.98,-96.78
48.98,-96.74
48.98,-96.7
48.98,-96.66
48.98,-96.62
48.98,-96.58
48.98,-96.54
48.98,-96.5
48.98,-96.46
48.98,-96.42
48.98,-96.38
48.98,-96.34
48.98,-96.3
48.98,-96.26
48.98,-96.22
48.98,-96.18
48.98,-96.14
48.98,-96.1
48.98,-96.06
48.98,-96.02
48.98,-95.98
48.98,-95.94
48.98,-95.9
48.98,-95.86
48.98,-95.82
48.98,-95.78
48.98,-95.74
48.98,-95.7
48.98,-95.66
48.98,-95.62
48.98,-95.58
48.98,-95.54
48.98,-95.5
48.98,-95.46
48.98,-95.42
48.98,-95.38
48.98,-95.34
48.98,-95.3
48.98,-95.26
48.98,-95.22
48.98,-95.18
48.98,-95.14
48.98,-95.1
48.98,-95.06
48.98,-95.02
48.98,-94.98
48.98,-94.94
48.98,-94.9
48.98,-94.86
48.98,-94.82
48.98,-94.78
48.98,-94.74
48.98,-94.7
48.94,-97.22
48.94,-97.18
48.94,-97.14
48.94,-97.1
48.94,-97.06
48.94,-97.02
48.94,-96.98
48.94,-96.94
48.94,-96.9
48.94,-96.86
48.94,-96.82
48.94,-96.78
48.94,-96.74
48.94,-96.7
48.94,-96.66
48.94,-96.62
48.94,-96.58
48.94,-96.54
48.94,-96.5
48.94,-96.46
48.94,-96.42
48.94,-96.38
48.94,-96.34
48.94,-96.3
48.94,-96.26
48.94,-96.22
48.94,-96.18
48.94,-96.14
48.94,-96.1
48.94,-96.06
48.94,-96.02
48.94,-95.98
48.94,-95.94
48.94,-95.9
48.94,-95.86
48.94,-95.82
48.94,-95.78
48.94,-95.74
48.94,-95.7
48.94,-95.66
48.94,-95.62
48.94,-95.58
48.94,-95.54
48.94,-95.5
48.94,-95.46
48.94,-95.42
48.94,-95.38
48.94,-95.34
48.94,-95.3
48.94,-95.26
48.94,-95.22
48.94,-95.18
48.94,-95.14
48.94,-95.1
48.94,-95.06
48.94,-95.02
48.94,-94.98
48.94,-94.94
48.94,-94.9
48.94,-94.86
48.94,-94.82
48.94,-94.78
48.94,-94.74
48.94,-94.7
48.9,-97.22
48.9,-97.18
48.9,-97.14
48.9,-97.1
48.9,-97.06
48.9,-97.02
48.9,-96.98
48.9,-96.94
48.9,-96.9
48.9,-96.86
48.9,-96.82
48.9,-96.78
48.9,-96.74
48.9,-96.7
48.9,-96.66
48.9,-96.62
48.9,-96.58
48.9,-96.54
48.9,-96.5
48.9,-96.46
48.9,-96.42
48.9,-96.38
48.9,-96.34
48.9,-96.3
48.9,-96.26
48.9,-96.22
48.9,-96.18
48.9,-96.14
48.9,-96.1
48.9,-96.06
48.9,-96.02
48.9,-95.98
48.9,-95.94
48.9,-95.9
48.9,-95.86
48.9,-95.82
48.9,-95.78
48.9,-95.74
48.9,-95.7
48.9,-95.66
48.9,-95.62
48.9,-95.58
48.9,-95.54
48.9,-95.5
48.9,-95.46
48.9,-95.42
48.9,-95.38
48.9,-95.34
48.9,-95.3
48.9,-95.26
48.9,-95.22
48.9,-95.18
48.9,-95.14
48.9,-95.1
48.9,-95.06
48.9,-95.02
48.9,-94.98
48.9,-94.94
48.9,-94.9
48.9,-94.86
48.9,-94.82
48.9,-94.78
48.9,-94.74
48.9,-94.7
48.86,-97.22
48.86,-97.18
48.86,-97.14
48.86,-97.1
48.86,-97.06
48.86,-97.02
48.86,-96.98
48.86,-96.94
48.86,-96.9
48.86,-96.86
48.86,-96.82
48.86,-96.78
48.86,-96.74
48.86,-96.7
48.86,-96.66
48.86,-96.62
48.86,-96.58
48.86,-96.54
48.86,-96.5
48.86,-96.46
48.86,-96.42
48.86,-96.38
48.86,-96.34
48.86,-96.3
48.86,-96.26
48.86,-96.22
48.86,-96.18
48.86,-96.14
48.86,-96.1
48.86,-96.06
48.86,-96.02
48.86,-95.98
48.86,-95.94
48.86,-95.9
48.86,-95.86
48.86,-95.82
48.86,-95.78
48.86,-95.74
48.86,-95.7
48.86,-95.66
48.86,-95.62
48.86,-95.58
48.86,-95.54
48.86,-95.5
48.86,-95.46
48.86,-95.42
48.86,-95.38
48.86,-95.34
48.86,-95.3
48.86,-95.26
48.86,-95.22
48.86,-95.18
48.86,-95.14
48.86,-95.1
48.86,-95.06
48.86,-95.02
48.86,-94.98
48.86,-94.94
48.86,-94.9
48.86,-94.86
48.86,-94.82
48.86,-94.78
48.86,-94.74
48.86,-94.7
48.82,-97.18
48.82,-97.14
48.82,-97.1
48.82,-97.06
48.82,-97.02
48.82,-96.98
48.82,-96.94
48.82,-96.9
48.82,-96.86
48.82,-96.82
48.82,-96.78
48.82,-96.74
48.82,-96.7
48.82,-96.66
48.82,-96.62
48.82,-96.58
48.82,-96.54
48.82,-96.5
48.82,-96.46
48.82,-96.42
48.82,-96.38
48.82,-96.34
48.82,-96.3
48.82,-96.26
48.82,-96.22
48.82,-96.18
48.82,-96.14
48.82,-96.1
48.82,-96.06
48.82,-96.02
48.82,-95.98
48.82,-95.94
48.82,-95.9
48.82,-95.86
48.82,-95.82
48.82,-95.78
48.82,-95.74
48.82,-95.7
48.82,-95.66
48.82,-95.62
48.82,-95.58
48.82,-95.54
48.82,-95.5
48.82,-95.46
48.82,-95.42
48.82,-95.38
48.82,-95.34
48.82,-95.3
48.82,-95.26
48.82,-95.22
48.82,-95.18
48.82,-95.14
48.82,-95.1
48.82,-95.06
48.82,-95.02
48.82,-94.98
48.82,-94.94
48.82,-94.9
48.82,-94.86
48.82,-94.82
48.82,-94.78
48.82,-94.74
48.82,-94.7
48.78,-97.18
48.78,-97.14
48.78,-97.1
48.78,-97.06
48.78,-97.02
48.78,-96.98
48.78,-96.94
48.78,-96.9
48.78,-96.86
48.78,-96.82
48.78,-96.78
48.78,-96.74
48.78,-96.7
48.78,-96.66
48.78,-96.62
48.78,-96.58
48.78,-96.54
48.78,-96.5
48.78,-96.46
48.78,-96.42
48.78,-96.38
48.78,-96.34
48.78,-96.3
48.78,-96.26
48.78,-96.22
48.78,-96.18
48.78,-96.14
48.78,-96.1
48.78,-96.06
48.78,-96.02
48.78,-95.98
48.78,-95.94
48.78,-95.9
48.78,-95.86
48.78,-95.82
48.78,-95.78
48.78,-95.74
48.78,-95.7
48.78,-95.66
48.78,-95.62
48.78,-95.58
48.78,-95.54
48.78,-95.5
48.78,-95.46
48.78,-95.42
48.78,-95.38
48.78,-95.34
48.78,-95.3
48.78,-95.26
48.78,-95.22
48.78,-95.18
48.78,-95.14
48.78,-95.1
48.78,-95.06
48.78,-95.02
48.78,-94.98
48.78,-94.94
48.78,-94.9
48.78,-94.86
48.78,-94.82
48.78,-94.78
48.78,-94.74
48.78,-94.7
48.78,-94.66
48.74,-97.14
48.74,-97.1
48.74,-97.06
48.74,-97.02
48.74,-96.98
48.74,-96.94
48.74,-96.9
48.74,-96.86
48.74,-96.82
48.74,-96.78
48.74,-96.74
48.74,-96.7
48.74,-96.66
48.74,-96.62
48.74,-96.58
48.74,-96.54
48.74,-96.5
48.74,-96.46
48.74,-96.42
48.74,-96.38
48.74,-96.34
48.74,-96.3
48.74,-96.26
48.74,-96.22
48.74,-96.18
48.74,-96.14
48.74,-96.1
48.74,-96.06
48.74,-96.02
48.74,-95.98
48.74,-95.94
48.74,-95.9
48.74,-95.86
48.74,-95.82
48.74,-95.78
48.74,-95.74
48.74,-95.7
48.74,-95.66
48.74,-95.62
48.74,-95.58
48.74,-95.54
48.74,-95.5
48.74,-95.46
48.74,-95.42
48.74,-95.38
48.74,-95.34
48.74,-95.3
48.74,-95.26
48.74,-95.22
48.74,-95.18
48.74,-95.14
48.74,-95.1
48.74,-95.06
48.74,-95.02
48.74,-94.98
48.74,-94.94
48.74,-94.9
48.74,-94.86
48.74,-94.82
48.74,-94.78
48.74,-94.74
48.74,-94.7
