Lat,Lon
35.01,-90.3
35.01,-90.26
35.01,-90.22
35.01,-90.18
35.01,-90.14
35.01,-90.1
35.01,-90.06
35.01,-89.78
35.01,-89.74
35.01,-89.7
35.01,-89.66
35.01,-89.62
35.01,-89.58
35.01,-89.02
35.01,-88.94
35.01,-88.9
35.01,-88.86
35.01,-88.82
35.01,-88.78
35.01,-88.74
35.01,-88.7
35.01,-88.66
35.01,-88.62
35.01,-88.58
35.01,-88.54
35.01,-88.5
35.01,-88.46
35.01,-88.42
35.01,-88.38
35.01,-88.34
35.01,-88.3
35.01,-88.26
35.01,-88.22
34.97,-90.3
34.97,-90.26
34.97,-90.22
34.97,-90.18
34.97,-90.14
34.97,-90.1
34.97,-90.06
34.97,-90.02
34.97,-89.98
34.97,-89.94
34.97,-89.9
34.97,-89.86
34.97,-89.82
34.97,-89.78
34.97,-89.74
34.97,-89.7
34.97,-89.66
34.97,-89.62
34.97,-89.58
34.97,-89.54
34.97,-89.5
34.97,-89.46
34.97,-89.42
34.97,-89.38
34.97,-89.34
34.97,-89.3
34.97,-89.26
34.97,-89.22
34.97,-89.18
34.97,-89.14
34.97,-89.1
34.97,-89.06
34.97,-89.02
34.97,-88.98
34.97,-88.94
34.97,-88.9
34.97,-88.86
34.97,-88.82
34.97,-88.78
34.97,-88.74
34.97,-88.7
34.97,-88.66
34.97,-88.62
34.97,-88.58
34.97,-88.54
34.97,-88.5
34.97,-88.46
34.97,-88.42
34.97,-88.38
34.97,-88.34
34.97,-88.3
34.97,-88.26
34.97,-88.22
34.97,-88.18
34.93,-90.26
34.93,-90.22
34.93,-90.18
34.93,-90.14
34.93,-90.1
34.93,-90.06
34.93,-90.02
34.93,-89.98
34.93,-89.94
34.93,-89.9
34.93,-89.86
34.93,-89.82
34.93,-89.78
34.93,-89.74
34.93,-89.7
34.93,-89.66
34.93,-89.62
34.93,-89.58
34.93,-89.54
34.93,-89.5
34.93,-89.46
34.93,-89.42
34.93,-89.38
34.93,-89.34
34.93,-89.3
34.93,-89.26
34.93,-89.22
34.93,-89.18
34.93,-89.14
34.93,-89.1
34.93,-89.06
34.93,-89.02
34.93,-88.98
34.93,-88.94
34.93,-88.9
34.93,-88.86
34.93,-88.82
34.93,-88.78
34.93,-88.74
34.93,-88.7
34.93,-88.66
34.93,-88.62
34.93,-88.58
34.93,-88.54
34.93,-88.5
34.93,-88.46
34.93,-88.42
34.93,-88.38
34.93,-88.34
34.93,-88.3
34.93,-88.26
34.93,-88.22
34.93,-88.18
34.93,-88.14
34.89,-90.5
34.89,-90.46
34.89,-90.42
34.89,-90.3
34.89,-90.26
34.89,-90.22
34.89,-90.18
34.89,-90.14
34.89,-90.1
34.89,-90.06
34.89,-90.02
34.89,-89.98
34.89,-89.94
34.89,-89.9
34.89,-89.86
34.89,-89.82
34.89,-89.78
34.89,-89.74
34.89,-89.7
34.89,-89.66
34.89,-89.62
34.89,-89.58
34.89,-89.54
34.89,-89.5
34.89,-89.46
34.89,-89.42
34.89,-89.38
34.89,-89.34
34.89,-89.3
34.89,-89.26
34.89,-89.22
34.89,-89.18
34.89,-89.14
34.89,-89.1
34.89,-89.06
34.89,-89.02
34.89,-88.98
34.89,-88.94
34.89,-88.9
34.89,-88.86
34.89,-88.82
34.89,-88.78
34.89,-88.74
34.89,-88.7
34.89,-88.66
34.89,-88.62
34.89,-88.58
34.89,-88.54
34.89,-88.5
34.89,-88.46
34.89,-88.42
34.89,-88.38
34.89,-88.34
34.89,-88.3
34.89,-88.26
34.89,-88.22
34.89,-88.18
34.89,-88.14
34.89,-88.1
34.85,-90.5
34.85,-90.46
34.85,-90.42
34.85,-90.38
34.85,-90.34
34.85,-90.3
34.85,-90.26
34.85,-90.22
34.85,-90.18
34.85,-90.14
34.85,-90.1
34.85,-90.06
34.85,-90.02
34.85,-89.98
34.85,-89.94
34.85,-89.9
34.85,-89.86
34.85,-89.82
34.85,-89.78
34.85,-89.74
34.85,-89.7
34.85,-89.66
34.85,-89.62
34.85,-89.58
34.85,-89.54
34.85,-89.5
34.85,-89.46
34.85,-89.42
34.85,-89.38
34.85,-89.34
34.85,-89.3
34.85,-89.26
34.85,-89.22
34.85,-89.18
34.85,-89.14
34.85,-89.1
34.85,-89.06
34.85,-89.02
34.85,-88.98
34.85,-88.94
34.85,-88.9
34.85,-88.86
34.85,-88.82
34.85,-88.78
34.85,-88.74
34.85,-88.7
34.85,-88.66
34.85,-88.62
34.85,-88.58
34.85,-88.54
34.85,-88.5
34.85,-88.46
34.85,-88.42
34.85,-88.38
34.85,-88.34
34.85,-88.3
34.85,-88.26
34.85,-88.22
34.85,-88.18
34.85,-88.14
34.85,-88.1
34.81,-90.54
34.81,-90.5
34.81,-90.46
34.81,-90.42
34.81,-90.38
34.81,-90.34
34.81,-90.3
34.81,-90.26
34.81,-90.22
34.81,-90.18
34.81,-90.14
34.81,-90.1
34.81,-90.06
34.81,-90.02
34.81,-89.98
34.81,-89.94
34.81,-89.9
34.81,-89.86
34.81,-89.82
34.81,-89.78
34.81,-89.74
34.81,-89.7
34.81,-89.66
34.81,-89.62
34.81,-89.58
34.81,-89.54
34.81,-89.5
34.81,-89.46
34.81,-89.42
34.81,-89.38
34.81,-89.34
34.81,-89.3
34.81,-89.26
34.81,-89.22
34.81,-89.18
34.81,-89.14
34.81,-89.1
34.81,-89.06
34.81,-89.02
34.81,-88.98
34.81,-88.94
34.81,-88.9
34.81,-88.86
34.81,-88.82
34.81,-88.78
34.81,-88.74
34.81,-88.7
34.81,-88.66
34.81,-88.62
34.81,-88.58
34.81,-88.54
34.81,-88.5
34.81,-88.46
34.81,-88.42
34.81,-88.38
34.81,-88.34
34.81,-88.3
34.81,-88.26
34.81,-88.22
34.81,-88.18
34.81,-88.14
34.81,-88.1
34.77,-90.54
34.77,-90.5
34.77,-90.46
34.77,-90.42
34.77,-90.38
34.77,-90.34
34.77,-90.3
34.77,-90.26
34.77,-90.22
34.77,-90.18
34.77,-90.14
34.77,-90.1
34.77,-90.06
34.77,-90.02
34.77,-89.98
34.77,-89.94
34.77,-89.9
34.77,-89.86
34.77,-89.82
34.77,-89.78
34.77,-89.74
34.77,-89.7
34.77,-89.66
34.77,-89.62
34.77,-89.58
34.77,-89.54
34.77,-89.5
34.77,-89.46
34.77,-89.42
34.77,-89.38
34.77,-89.34
34.77,-89.3
34.77,-89.26
34.77,-89.22
34.77,-89.18
34.77,-89.14
34.77,-89.1
34.77,-89.06
34.77,-89.02
34.77,-88.98
34.77,-88.94
34.77,-88.9
34.77,-88.86
34.77,-88.82
34.77,-88.78
34.77,-88.74
34.77,-88.7
34.77,-88.66
34.77,-88.62
34.77,-88.58
34.77,-88.54
34.77,-88.5
34.77,-88.46
34.77,-88.42
34.77,-88.38
34.77,-88.34
34.77,-88.3
34.77,-88.26
34.77,-88.22
34.77,-88.18
34.77,-88.14
34.77,-88.1
34.73,-90.58
34.73,-90.54
34.73,-90.5
34.73,-90.46
34.73,-90.42
34.73,-90.38
34.73,-90.34
34.73,-90.3
34.73,-90.26
34.73,-90.22
34.73,-90.18
34.73,-90.14
34.73,-90.1
34.73,-90.06
34.73,-90.02
34.73,-89.98
34.73,-89.94
34.73,-89.9
34.73,-89.86
34.73,-89.82
34.73,-89.78
34.73,-89.74
34.73,-89.7
34.73,-89.66
34.73,-89.62
34.73,-89.58
34.73,-89.54
34.73,-89.5
34.73,-89.46
34.73,-89.42
34.73,-89.38
34.73,-89.34
34.73,-89.3
34.73,-89.26
34.73,-89.22
34.73,-89.18
34.73,-89.14
34.73,-89.1
34.73,-89.06
34.73,-89.02
34.73,-88.98
34.73,-88.94
34.73,-88.9
34.73,-88.86
34.73,-88.82
34.73,-88.78
34.73,-88.74
34.73,-88.7
34.73,-88.66
34.73,-88.62
34.73,-88.58
34.73,-88.54
34.73,-88.5
34.73,-88.46
34.73,-88.42
34.73,-88.38
34.73,-88.34
34.73,-88.3
34.73,-88.26
34.73,-88.22
34.73,-88.18
34.73,-88.14
34.73,-88.1
34.69,-90.58
34.69,-90.54
34.69,-90.5
34.69,-90.46
34.69,-90.42
34.69,-90.38
34.69,-90.34
34.69,-90.3
34.69,-90.26
34.69,-90.22
34.69,-90.18
34.69,-90.14
34.69,-90.1
34.69,-90.06
34.69,-90.02
34.69,-89.98
34.69,-89.94
34.69,-89.9
34.69,-89.86
34.69,-89.82
34.69,-89.78
34.69,-89.74
34.69,-89.7
34.69,-89.66
34.69,-89.62
34.69,-89.58
34.69,-89.54
34.69,-89.5
34.69,-89.46
34.69,-89.42
34.69,-89.38
34.69,-89.34
34.69,-89.3
34.69,-89.26
34.69,-89.22
34.69,-89.18
34.69,-89.14
34.69,-89.1
34.69,-89.06
34.69,-89.02
34.69,-88.98
34.69,-88.94
34.69,-88.9
34.69,-88.86
34.69,-88.82
34.69,-88.78
34.69,-88.74
34.69,-88.7
34.69,-88.66
34.69,-88.62
34.69,-88.58
34.69,-88.54
34.69,-88.5
34.69,-88.46
34.69,-88.42
34.69,-88.38
34.69,-88.34
34.69,-88.3
34.69,-88.26
34.69,-88.22
34.69,-88.18
34.69,-88.14
34.65,-90.58
34.65,-90.54
34.65,-90.5
34.65,-90.46
34.65,-90.42
34.65,-90.38
34.65,-90.34
34.65,-90.3
34.65,-90.26
34.65,-90.22
34.65,-90.18
34.65,-90.14
34.65,-90.1
34.65,-90.06
34.65,-90.02
34.65,-89.98
34.65,-89.94
34.65,-89.9
34.65,-89.86
34.65,-89.82
34.65,-89.78
34.65,-89.74
34.65,-89.7
34.65,-89.66
34.65,-89.62
34.65,-89.58
34.65,-89.54
34.65,-89.5
34.65,-89.46
34.65,-89.42
34.65,-89.38
34.65,-89.34
34.65,-89.3
34.65,-89.26
34.65,-89.22
34.65,-89.18
34.65,-89.14
34.65,-89.1
34.65,-89.06
34.65,-89.02
34.65,-88.98
34.65,-88.94
34.65,-88.9
34.65,-88.86
34.65,-88.82
34.65,-88.78
34.65,-88.74
34.65,-88.7
34.65,-88.66
34.65,-88.62
34.65,-88.58
34.65,-88.54
34.65,-88.5
34.65,-88.46
34.65,-88.42
34.65,-88.38
34.65,-88.34
34.65,-88.3
34.65,-88.26
34.65,-88.22
34.65,-88.18
34.65,-88.14
34.61,-90.58
34.61,-90.54
34.61,-90.5
34.61,-90.46
34.61,-90.42
34.61,-90.38
34.61,-90.34
34.61,-90.3
34.61,-90.26
34.61,-90.22
34.61,-90.18
34.61,-90.14
34.61,-90.1
34.61,-90.06
34.61,-90.02
34.61,-89.98
34.61,-89.94
34.61,-89.9
34.61,-89.86
34.61,-89.82
34.61,-89.78
34.61,-89.74
34.61,-89.7
34.61,-89.66
34.61,-89.62
34.61,-89.58
34.61,-89.54
34.61,-89.5
34.61,-89.46
34.61,-89.42
34.61,-89.38
34.61,-89.34
34.61,-89.3
34.61,-89.26
34.61,-89.22
34.61,-89.18
34.61,-89.14
34.61,-89.1
34.61,-89.06
34.61,-89.02
34.61,-88.98
34.61,-88.94
34.61,-88.9
34.61,-88.86
34.61,-88.82
34.61,-88.78
34.61,-88.74
34.61,-88.7
34.61,-88.66
34.61,-88.62
34.61,-88.58
34.61,-88.54
34.61,-88.5
34.61,-88.46
34.61,-88.42
34.61,-88.38
34.61,-88.34
34.61,-88.3
34.61,-88.26
34.61,-88.22
34.61,-88.18
34.61,-88.14
34.57,-90.58
34.57,-90.54
34.57,-90.5
34.57,-90.46
34.57,-90.42
34.57,-90.38
34.57,-90.34
34.57,-90.3
34.57,-90.26
34.57,-90.22
34.57,-90.18
34.57,-90.14
34.57,-90.1
34.57,-90.06
34.57,-90.02
34.57,-89.98
34.57,-89.94
34.57,-89.9
34.57,-89.86
34.57,-89.82
34.57,-89.78
34.57,-89.74
34.57,-89.7
34.57,-89.66
34.57,-89.62
34.57,-89.58
34.57,-89.54
34.57,-89.5
34.57,-89.46
34.57,-89.42
34.57,-89.38
34.57,-89.34
34.57,-89.3
34.57,-89.26
34.57,-89.22
34.57,-89.18
34.57,-89.14
34.57,-89.1
34.57,-89.06
34.57,-89.02
34.57,-88.98
34.57,-88.94
34.57,-88.9
34.57,-88.86
34.57,-88.82
34.57,-88.78
34.57,-88.74
34.57,-88.7
34.57,-88.66
34.57,-88.62
34.57,-88.58
34.57,-88.54
34.57,-88.5
34.57,-88.46
34.57,-88.42
34.57,-88.38
34.57,-88.34
34.57,-88.3
34.57,-88.26
34.57,-88.22
34.57,-88.18
34.57,-88.14
34.53,-90.58
34.53,-90.54
34.53,-90.5
34.53,-90.46
34.53,-90.42
34.53,-90.38
34.53,-90.34
34.53,-90.3
34.53,-90.26
34.53,-90.22
34.53,-90.18
34.53,-90.14
34.53,-90.1
34.53,-90.06
34.53,-90.02
34.53,-89.98
34.53,-89.94
34.53,-89.9
34.53,-89.86
34.53,-89.82
34.53,-89.78
34.53,-89.74
34.53,-89.7
34.53,-89.66
34.53,-89.62
34.53,-89.58
34.53,-89.54
34.53,-89.5
34.53,-89.46
34.53,-89.42
34.53,-89.38
34.53,-89.34
34.53,-89.3
34.53,-89.26
34.53,-89.22
34.53,-89.18
34.53,-89.14
34.53,-89.1
34.53,-89.06
34.53,-89.02
34.53,-88.98
34.53,-88.94
34.53,-88.9
34.53,-88.86
34.53,-88.82
34.53,-88.78
34.53,-88.74
34.53,-88.7
34.53,-88.66
34.53,-88.62
34.53,-88.58
34.53,-88.54
34.53,-88.5
34.53,-88.46
34.53,-88.42
34.53,-88.38
34.53,-88.34
34.53,-88.3
34.53,-88.26
34.53,-88.22
34.53,-88.18
34.53,-88.14
34.49,-90.58
34.49,-90.54
34.49,-90.5
34.49,-90.46
34.49,-90.42
34.49,-90.38
34.49,-90.34
34.49,-90.3
34.49,-90.26
34.49,-90.22
34.49,-90.18
34.49,-90.14
34.49,-90.1
34.49,-90.06
34.49,-90.02
34.49,-89.98
34.49,-89.94
34.49,-89.9
34.49,-89.86
34.49,-89.82
34.49,-89.78
34.49,-89.74
34.49,-89.7
34.49,-89.66
34.49,-89.62
34.49,-89.58
34.49,-89.54
34.49,-89.5
34.49,-89.46
34.49,-89.42
34.49,-89.38
34.49,-89.34
34.49,-89.3
34.49,-89.26
34.49,-89.22
34.49,-89.18
34.49,-89.14
34.49,-89.1
34.49,-89.06
34.49,-89.02
34.49,-88.98
34.49,-88.94
34.49,-88.9
34.49,-88.86
34.49,-88.82
34.49,-88.78
34.49,-88.74
34.49,-88.7
34.49,-88.66
34.49,-88.62
34.49,-88.58
34.49,-88.54
34.49,-88.5
34.49,-88.46
34.49,-88.42
34.49,-88.38
34.49,-88.34
34.49,-88.3
34.49,-88.26
34.49,-88.22
34.49,-88.18
34.49,-88.14
34.45,-90.58
34.45,-90.54
34.45,-90.5
34.45,-90.46
34.45,-90.42
34.45,-90.38
34.45,-90.34
34.45,-90.3
34.45,-90.26
34.45,-90.22
34.45,-90.18
34.45,-90.14
34.45,-90.1
34.45,-90.06
34.45,-90.02
34.45,-89.98
34.45,-89.94
34.45,-89.9
34.45,-89.86
34.45,-89.82
34.45,-89.78
34.45,-89.74
34.45,-89.7
34.45,-89.66
34.45,-89.62
34.45,-89.58
34.45,-89.54
34.45,-89.5
34.45,-89.46
34.45,-89.42
34.45,-89.38
34.45,-89.34
34.45,-89.3
34.45,-89.26
34.45,-89.22
34.45,-89.18
34.45,-89.14
34.45,-89.1
34.45,-89.06
34.45,-89.02
34.45,-88.98
34.45,-88.94
34.45,-88.9
34.45,-88.86
34.45,-88.82
34.45,-88.78
34.45,-88.74
34.45,-88.7
34.45,-88.66
34.45,-88.62
34.45,-88.58
34.45,-88.54
34.45,-88.5
34.45,-88.46
34.45,-88.42
34.45,-88.38
34.45,-88.34
34.45,-88.3
34.45,-88.26
34.45,-88.22
34.45,-88.18
34.45,-88.14
34.41,-90.62
34.41,-90.58
34.41,-90.54
34.41,-90.5
34.41,-90.46
34.41,-90.42
34.41,-90.38
34.41,-90.34
34.41,-90.3
34.41,-90.26
34.41,-90.22
34.41,-90.18
34.41,-90.14
34.41,-90.1
34.41,-90.06
34.41,-90.02
34.41,-89.98
34.41,-89.94
34.41,-89.9
34.41,-89.86
34.41,-89.82
34.41,-89.78
34.41,-89.74
34.41,-89.7
34.41,-89.66
34.41,-89.62
34.41,-89.58
34.41,-89.54
34.41,-89.5
34.41,-89.46
34.41,-89.42
34.41,-89.38
34.41,-89.34
34.41,-89.3
34.41,-89.26
34.41,-89.22
34.41,-89.18
34.41,-89.14
34.41,-89.1
34.41,-89.06
34.41,-89.02
34.41,-88.98
34.41,-88.94
34.41,-88.9
34.41,-88.86
34.41,-88.82
34.41,-88.78
34.41,-88.74
34.41,-88.7
34.41,-88.66
34.41,-88.62
34.41,-88.58
34.41,-88.54
34.41,-88.5
34.41,-88.46
34.41,-88.42
34.41,-88.38
34.41,-88.34
34.41,-88.3
34.41,-88.26
34.41,-88.22
34.41,-88.18
34.37,-90.78
34.37,-90.74
34.37,-90.7
34.37,-90.66
34.37,-90.62
34.37,-90.58
34.37,-90.54
34.37,-90.5
34.37,-90.46
34.37,-90.42
34.37,-90.38
34.37,-90.34
34.37,-90.3
34.37,-90.26
34.37,-90.22
34.37,-90.18
34.37,-90.14
34.37,-90.1
34.37,-90.06
34.37,-90.02
34.37,-89.98
34.37,-89.94
34.37,-89.9
34.37,-89.86
34.37,-89.82
34.37,-89.78
34.37,-89.74
34.37,-89.7
34.37,-89.66
34.37,-89.62
34.37,-89.58
34.37,-89.54
34.37,-89.5
34.37,-89.46
34.37,-89.42
34.37,-89.38
34.37,-89.34
34.37,-89.3
34.37,-89.26
34.37,-89.22
34.37,-89.18
34.37,-89.14
34.37,-89.1
34.37,-89.06
34.37,-89.02
34.37,-88.98
34.37,-88.94
34.37,-88.9
34.37,-88.86
34.37,-88.82
34.37,-88.78
34.37,-88.74
34.37,-88.7
34.37,-88.66
34.37,-88.62
34.37,-88.58
34.37,-88.54
34.37,-88.5
34.37,-88.46
34.37,-88.42
34.37,-88.38
34.37,-88.34
34.37,-88.3
34.37,-88.26
34.37,-88.22
34.37,-88.18
34.33,-90.78
34.33,-90.74
34.33,-90.7
34.33,-90.66
34.33,-90.62
34.33,-90.58
34.33,-90.54
34.33,-90.5
34.33,-90.46
34.33,-90.42
34.33,-90.38
34.33,-90.34
34.33,-90.3
34.33,-90.26
34.33,-90.22
34.33,-90.18
34.33,-90.14
34.33,-90.1
