Lat,Lon
40.62,-92.04
40.62,-92.0
40.62,-91.96
40.62,-91.92
40.62,-91.88
40.62,-91.84
40.62,-91.8
40.62,-91.76
40.62,-91.72
40.58,-95.76
40.58,-95.72
40.58,-95.68
40.58,-95.64
40.58,-95.6
40.58,-95.56
40.58,-95.52
40.58,-95.48
40.58,-95.44
40.58,-95.4
40.58,-95.36
40.58,-95.32
40.58,-95.28
40.58,-95.24
40.58,-95.2
40.58,-95.16
40.58,-95.12
40.58,-95.08
40.58,-95.04
40.58,-95.0
40.58,-94.96
40.58,-94.92
40.58,-94.88
40.58,-94.84
40.58,-94.8
40.58,-94.76
40.58,-94.72
40.58,-94.68
40.58,-94.64
40.58,-94.6
40.58,-94.56
40.58,-94.52
40.58,-94.48
40.58,-94.44
40.58,-94.4
40.58,-94.36
40.58,-94.32
40.58,-94.28
40.58,-94.24
40.58,-94.2
40.58,-94.16
40.58,-94.12
40.58,-94.08
40.58,-94.04
40.58,-94.0
40.58,-93.96
40.58,-93.92
40.58,-93.88
40.58,-93.84
40.58,-93.8
40.58,-93.76
40.58,-93.72
40.58,-93.68
40.58,-93.64
40.58,-93.6
40.58,-93.56
40.58,-93.52
40.58,-93.48
40.58,-93.44
40.58,-93.4
40.58,-93.36
40.58,-93.32
40.58,-93.28
40.58,-93.24
40.58,-93.2
40.58,-93.16
40.58,-93.12
40.58,-93.08
40.58,-93.04
40.58,-93.0
40.58,-92.96
40.58,-92.92
40.58,-92.88
40.58,-92.84
40.58,-92.8
40.58,-92.76
40.58,-92.72
40.58,-92.68
40.58,-92.64
40.58,-92.6
40.58,-92.56
40.58,-92.52
40.58,-92.48
40.58,-92.44
40.58,-92.4
40.58,-92.36
40.58,-92.32
40.58,-92.28
40.58,-92.24
40.58,-92.2
40.58,-92.16
40.58,-92.12
40.58,-92.08
40.58,-92.04
40.58,-92.0
40.58,-91.96
40.58,-91.92
40.58,-91.88
40.58,-91.84
40.58,-91.8
40.58,-91.76
40.58,-91.72
40.58,-91.68
40.54,-95.76
40.54,-95.72
40.54,-95.68
40.54,-95.64
40.54,-95.6
40.54,-95.56
40.54,-95.52
40.54,-95.48
40.54,-95.44
40.54,-95.4
40.54,-95.36
40.54,-95.32
40.54,-95.28
40.54,-95.24
40.54,-95.2
40.54,-95.16
40.54,-95.12
40.54,-95.08
40.54,-95.04
40.54,-95.0
40.54,-94.96
40.54,-94.92
40.54,-94.88
40.54,-94.84
40.54,-94.8
40.54,-94.76
40.54,-94.72
40.54,-94.68
40.54,-94.64
40.54,-94.6
40.54,-94.56
40.54,-94.52
40.54,-94.48
40.54,-94.44
40.54,-94.4
40.54,-94.36
40.54,-94.32
40.54,-94.28
40.54,-94.24
40.54,-94.2
40.54,-94.16
40.54,-94.12
40.54,-94.08
