Lat,Lon
48.98,-116.05
48.98,-116.01
48.98,-115.97
48.98,-115.93
48.98,-115.89
48.98,-115.85
48.98,-115.81
48.98,-115.77
48.98,-115.73
48.98,-115.69
48.98,-115.65
48.98,-115.61
48.98,-115.57
48.98,-115.53
48.98,-115.49
48.98,-115.45
48.98,-115.41
48.98,-115.37
48.98,-115.33
48.98,-115.29
48.98,-115.25
48.98,-115.21
48.98,-115.17
48.98,-115.13
48.98,-115.09
48.98,-115.05
48.98,-115.01
48.98,-114.97
48.98,-114.93
48.98,-114.89
48.98,-114.85
48.98,-114.81
48.98,-114.77
48.98,-114.73
48.98,-114.69
48.98,-114.65
48.98,-114.61
48.98,-114.57
48.98,-114.53
48.98,-114.49
48.98,-114.45
48.98,-114.41
48.98,-114.37
48.98,-114.33
48.98,-114.29
48.98,-114.25
48.98,-114.21
48.98,-114.17
48.98,-114.13
48.98,-114.09
48.98,-114.05
48.98,-114.01
48.98,-113.97
48.98,-113.93
48.98,-113.89
48.98,-113.85
48.98,-113.81
48.98,-113.77
48.98,-113.73
48.98,-113.69
48.98,-113.65
48.98,-113.61
48.98,-113.57
48.98,-113.53
48.98,-113.49
48.98,-113.45
48.98,-113.41
48.98,-113.37
48.98,-113.33
48.98,-113.29
48.98,-113.25
48.98,-113.21
48.98,-113.17
48.98,-113.13
48.98,-113.09
48.98,-113.05
48.98,-113.01
48.98,-112.97
48.98,-112.93
48.98,-112.89
48.98,-112.85
48.98,-112.81
48.98,-112.77
48.98,-112.73
48.98,-112.69
48.98,-112.65
48.98,-112.61
48.98,-112.57
48.98,-112.53
48.98,-112.49
48.98,-112.45
48.98,-112.41
48.98,-112.37
48.98,-112.33
48.98,-112.29
48.98,-112.25
48.98,-112.21
48.98,-112.17
48.98,-112.13
48.98,-112.09
48.98,-112.05
48.98,-112.01
48.98,-111.97
48.98,-111.93
48.98,-111.89
48.98,-111.85
48.98,-111.81
48.98,-111.77
48.98,-111.73
48.98,-111.69
48.98,-111.65
48.98,-111.61
48.98,-111.57
48.98,-111.53
48.98,-111.49
48.98,-111.45
48.98,-111.41
48.98,-111.37
48.98,-111.33
48.98,-111.29
48.98,-111.25
48.98,-111.21
48.98,-111.17
48.98,-111.13
48.98,-111.09
48.98,-111.05
48.98,-111.01
48.98,-110.97
48.98,-110.93
48.98,-110.89
48.98,-110.85
48.98,-110.81
48.98,-110.77
48.98,-110.73
48.98,-110.69
48.98,-110.65
48.98,-110.61
48.98,-110.57
48.98,-110.53
48.98,-110.49
48.98,-110.45
48.98,-110.41
48.98,-110.37
48.98,-110.33
48.98,-110.29
48.98,-110.25
48.98,-110.21
48.98,-110.17
48.98,-110.13
48.98,-110.09
48.98,-110.05
48.98,-110.01
48.98,-109.97
48.98,-109.93
48.98,-109.89
48.98,-109.85
48.98,-109.81
48.98,-109.77
48.98,-109.73
48.98,-109.69
48.98,-109.65
48.98,-109.61
48.98,-109.57
48.98,-109.53
48.98,-109.49
48.98,-109.45
48.98,-109.41
48.98,-109.37
48.98,-109.33
48.98,-109.29
48.98,-109.25
48.98,-109.21
48.98,-109.17
48.98,-109.13
48.98,-109.09
48.98,-109.05
48.98,-109.01
48.98,-108.97
48.98,-108.93
48.98,-108.89
48.98,-108.85
48.98,-108.81
48.98,-108.77
48.98,-108.73
48.98,-108.69
48.98,-108.65
48.98,-108.61
48.98,-108.57
48.98,-108.53
48.98,-108.49
48.98,-108.45
48.98,-108.41
48.98,-108.37
48.98,-108.33
48.98,-108.29
48.98,-108.25
48.98,-108.21
48.98,-108.17
48.98,-108.13
48.98,-108.09
48.98,-108.05
48.98,-108.01
48.98,-107.97
48.98,-107.93
48.98,-107.89
48.98,-107.85
48.98,-107.81
48.98,-107.77
48.98,-107.73
48.98,-107.69
48.98,-107.65
48.98,-107.61
48.98,-107.57
48.98,-107.53
48.98,-107.49
48.98,-107.45
48.98,-107.41
48.98,-107.37
48.98,-107.33
48.98,-107.29
48.98,-107.25
48.98,-107.21
48.98,-107.17
48.98,-107.13
48.98,-107.09
48.98,-107.05
48.98,-107.01
48.98,-106.97
48.98,-106.93
48.98,-106.89
48.98,-106.85
48.98,-106.81
48.98,-106.77
48.98,-106.73
48.98,-106.69
48.98,-106.65
48.98,-106.61
48.98,-106.57
