Lat,Lon
43.0,-104.04
43.0,-104.0
43.0,-103.96
43.0,-103.92
43.0,-103.88
43.0,-103.84
43.0,-103.8
43.0,-103.76
43.0,-103.72
43.0,-103.68
43.0,-103.64
43.0,-103.6
43.0,-103.56
43.0,-103.52
43.0,-103.48
43.0,-103.44
43.0,-103.4
43.0,-103.36
43.0,-103.32
43.0,-103.28
43.0,-103.24
43.0,-103.2
43.0,-103.16
43.0,-103.12
43.0,-103.08
43.0,-103.04
43.0,-103.0
43.0,-102.96
43.0,-102.92
43.0,-102.88
43.0,-102.84
43.0,-102.8
43.0,-102.76
43.0,-102.72
43.0,-102.68
43.0,-102.64
43.0,-102.6
43.0,-102.56
43.0,-102.52
43.0,-102.48
43.0,-102.44
43.0,-102.4
43.0,-102.36
43.0,-102.32
43.0,-102.28
43.0,-102.24
43.0,-102.2
43.0,-102.16
43.0,-102.12
43.0,-102.08
43.0,-102.04
43.0,-102.0
43.0,-101.96
43.0,-101.92
43.0,-101.88
43.0,-101.84
43.0,-101.8
43.0,-101.76
43.0,-101.72
43.0,-101.68
43.0,-101.64
43.0,-101.6
43.0,-101.56
43.0,-101.52
43.0,-101.48
43.0,-101.44
43.0,-101.4
43.0,-101.36
43.0,-101.32
43.0,-101.28
43.0,-101.24
43.0,-101.2
43.0,-101.16
43.0,-101.12
43.0,-101.08
43.0,-101.04
43.0,-101.0
43.0,-100.96
43.0,-100.92
43.0,-100.88
43.0,-100.84
43.0,-100.8
43.0,-100.76
43.0,-100.72
43.0,-100.68
43.0,-100.64
43.0,-100.6
43.0,-100.56
43.0,-100.52
43.0,-100.48
43.0,-100.44
43.0,-100.4
43.0,-100.36
43.0,-100.32
43.0,-100.28
43.0,-100.24
43.0,-100.2
43.0,-100.16
43.0,-100.12
43.0,-100.08
43.0,-100.04
43.0,-100.0
43.0,-99.96
43.0,-99.92
43.0,-99.88
43.0,-99.84
43.0,-99.8
43.0,-99.76
43.0,-99.72
43.0,-99.68
43.0,-99.64
43.0,-99.6
43.0,-99.56
43.0,-99.52
43.0,-99.48
43.0,-99.44
43.0,-99.4
43.0,-99.36
43.0,-99.32
43.0,-99.28
43.0,-99.24
43.0,-99.2
43.0,-99.16
43.0,-99.12
43.0,-99.08
43.0,-99.04
43.0,-99.0
43.0,-98.96
43.0,-98.92
43.0,-98.88
43.0,-98.84
43.0,-98.8
43.0,-98.76
43.0,-98.72
43.0,-98.68
43.0,-98.64
43.0,-98.6
43.0,-98.56
43.0,-98.52
43.0,-98.48
42.96,-104.04
42.96,-104.0
42.96,-103.96
42.96,-103.92
42.96,-103.88
42.96,-103.84
42.96,-103.8
42.96,-103.76
42.96,-103.72
42.96,-103.68
42.96,-103.64
42.96,-103.6
42.96,-103.56
42.96,-103.52
42.96,-103.48
42.96,-103.44
42.96,-103.4
42.96,-103.36
42.96,-103.32
42.96,-103.28
42.96,-103.24
42.96,-103.2
42.96,-103.16
42.96,-103.12
42.96,-103.08
42.96,-103.04
42.96,-103.0
42.96,-102.96
42.96,-102.92
42.96,-102.88
42.96,-102.84
42.96,-102.8
42.96,-102.76
42.96,-102.72
42.96,-102.68
42.96,-102.64
42.96,-102.6
42.96,-102.56
42.96,-102.52
42.96,-102.48
42.96,-102.44
42.96,-102.4
42.96,-102.36
42.96,-102.32
42.96,-102.28
42.96,-102.24
42.96,-102.2
42.96,-102.16
42.96,-102.12
42.96,-102.08
42.96,-102.04
42.96,-102.0
42.96,-101.96
42.96,-101.92
42.96,-101.88
42.96,-101.84
42.96,-101.8
42.96,-101.76
42.96,-101.72
42.96,-101.68
42.96,-101.64
42.96,-101.6
42.96,-101.56
42.96,-101.52
42.96,-101.48
42.96,-101.44
42.96,-101.4
42.96,-101.36
42.96,-101.32
42.96,-101.28
42.96,-101.24
42.96,-101.2
42.96,-101.16
42.96,-101.12
42.96,-101.08
42.96,-101.04
42.96,-101.0
42.96,-100.96
42.96,-100.92
42.96,-100.88
42.96,-100.84
42.96,-100.8
42.96,-100.76
42.96,-100.72
42.96,-100.68
42.96,-100.64
42.96,-100.6
42.96,-100.56
42.96,-100.52
42.96,-100.48
42.96,-100.44
42.96,-100.4
42.96,-100.36
42.96,-100.32
42.96,-100.28
42.96,-100.24
42.96,-100.2
42.96,-100.16
42.96,-100.12
42.96,-100.08
42.96,-100.04
42.96,-100.0
42.96,-99.96
42.96,-99.92
42.96,-99.88
42.96,-99.84
42.96,-99.8
42.96,-99.76
42.96,-99.72
42.96,-99.68
42.96,-99.64
42.96,-99.6
42.96,-99.56
42.96,-99.52
42.96,-99.48
42.96,-99.44
42.96,-99.4
42.96,-99.36
42.96,-99.32
42.96,-99.28
42.96,-99.24
42.96,-99.2
42.96,-99.16
42.96,-99.12
42.96,-99.08
42.96,-99.04
42.96,-99.0
42.96,-98.96
42.96,-98.92
42.96,-98.88
42.96,-98.84
42.96,-98.8
42.96,-98.76
42.96,-98.72
42.96,-98.68
42.96,-98.64
42.96,-98.6
42.96,-98.56
42.96,-98.52
42.96,-98.48
42.92,-104.04
42.92,-104.0
42.92,-103.96
42.92,-103.92
42.92,-103.88
42.92,-103.84
42.92,-103.8
42.92,-103.76
42.92,-103.72
42.92,-103.68
42.92,-103.64
42.92,-103.6
42.92,-103.56
42.92,-103.52
42.92,-103.48
42.92,-103.44
42.92,-103.4
42.92,-103.36
42.92,-103.32
42.92,-103.28
42.92,-103.24
42.92,-103.2
42.92,-103.16
42.92,-103.12
42.92,-103.08
42.92,-103.04
42.92,-103.0
42.92,-102.96
42.92,-102.92
42.92,-102.88
42.92,-102.84
42.92,-102.8
42.92,-102.76
42.92,-102.72
42.92,-102.68
42.92,-102.64
42.92,-102.6
42.92,-102.56
42.92,-102.52
42.92,-102.48
42.92,-102.44
42.92,-102.4
42.92,-102.36
42.92,-102.32
42.92,-102.28
42.92,-102.24
42.92,-102.2
42.92,-102.16
42.92,-102.12
42.92,-102.08
42.92,-102.04
42.92,-102.0
42.92,-101.96
42.92,-101.92
42.92,-101.88
42.92,-101.84
42.92,-101.8
42.92,-101.76
42.92,-101.72
42.92,-101.68
42.92,-101.64
42.92,-101.6
42.92,-101.56
42.92,-101.52
42.92,-101.48
42.92,-101.44
42.92,-101.4
42.92,-101.36
42.92,-101.32
42.92,-101.28
42.92,-101.24
42.92,-101.2
42.92,-101.16
42.92,-101.12
42.92,-101.08
42.92,-101.04
42.92,-101.0
42.92,-100.96
42.92,-100.92
42.92,-100.88
42.92,-100.84
42.92,-100.8
42.92,-100.76
42.92,-100.72
42.92,-100.68
42.92,-100.64
42.92,-100.6
42.92,-100.56
42.92,-100.52
42.92,-100.48
42.92,-100.44
42.92,-100.4
42.92,-100.36
42.92,-100.32
42.92,-100.28
42.92,-100.24
42.92,-100.2
42.92,-100.16
42.92,-100.12
42.92,-100.08
42.92,-100.04
42.92,-100.0
42.92,-99.96
42.92,-99.92
42.92,-99.88
42.92,-99.84
42.92,-99.8
42.92,-99.76
42.92,-99.72
42.92,-99.68
42.92,-99.64
42.92,-99.6
42.92,-99.56
42.92,-99.52
42.92,-99.48
42.92,-99.44
42.92,-99.4
42.92,-99.36
42.92,-99.32
42.92,-99.28
42.92,-99.24
42.92,-99.2
42.92,-99.16
42.92,-99.12
42.92,-99.08
42.92,-99.04
42.92,-99.0
42.92,-98.96
42.92,-98.92
42.92,-98.88
42.92,-98.84
42.92,-98.8
42.92,-98.76
42.92,-98.72
42.92,-98.68
42.92,-98.64
42.92,-98.6
42.92,-98.56
42.92,-98.52
42.92,-98.48
42.92,-98.44
42.92,-98.4
