Lat,Lon
42.01,-119.98
42.01,-119.94
42.01,-119.9
42.01,-119.86
42.01,-119.82
42.01,-119.78
42.01,-119.74
42.01,-119.7
42.01,-119.66
42.01,-119.62
42.01,-119.58
42.01,-119.54
42.01,-119.5
42.01,-119.46
42.01,-119.42
42.01,-119.38
42.01,-119.34
42.01,-119.3
42.01,-119.26
42.01,-119.22
42.01,-119.18
42.01,-119.14
42.01,-119.1
42.01,-119.06
42.01,-119.02
42.01,-118.98
42.01,-118.94
42.01,-118.9
42.01,-118.86
42.01,-118.82
42.01,-118.78
42.01,-118.74
42.01,-118.7
42.01,-118.66
42.01,-118.62
42.01,-118.58
42.01,-118.54
42.01,-118.5
42.01,-118.46
42.01,-118.42
42.01,-118.38
42.01,-118.34
42.01,-118.3
42.01,-118.26
42.01,-118.22
42.01,-118.18
42.01,-118.14
42.01,-118.1
42.01,-118.06
42.01,-118.02
42.01,-117.98
42.01,-117.94
42.01,-117.9
42.01,-117.86
42.01,-117.82
42.01,-117.78
42.01,-117.74
42.01,-117.7
42.01,-117.66
42.01,-117.62
42.01,-117.58
42.01,-117.54
42.01,-117.5
42.01,-117.46
42.01,-117.42
42.01,-117.38
42.01,-117.34
42.01,-117.3
42.01,-117.26
42.01,-117.22
42.01,-117.18
42.01,-117.14
42.01,-117.1
42.01,-117.06
42.01,-117.02
42.01,-116.98
42.01,-116.94
42.01,-116.9
42.01,-116.86
42.01,-116.82
42.01,-116.78
42.01,-116.74
42.01,-116.7
42.01,-116.66
42.01,-116.62
42.01,-116.58
42.01,-116.54
42.01,-116.5
42.01,-116.46
42.01,-116.42
42.01,-116.38
42.01,-116.34
42.01,-116.3
42.01,-116.26
42.01,-116.22
42.01,-116.18
42.01,-116.14
42.01,-116.1
42.01,-116.06
42.01,-116.02
42.01,-115.98
42.01,-115.94
42.01,-115.9
42.01,-115.86
42.01,-115.82
42.01,-115.78
42.01,-115.74
42.01,-115.7
42.01,-115.66
42.01,-115.62
42.01,-115.58
42.01,-115.54
42.01,-115.5
42.01,-115.46
42.01,-115.42
42.01,-115.38
42.01,-115.34
42.01,-115.3
42.01,-115.26
42.01,-115.22
42.01,-115.18
42.01,-115.14
42.01,-115.1
42.01,-115.06
42.01,-115.02
42.01,-114.98
42.01,-114.94
42.01,-114.9
42.01,-114.86
42.01,-114.82
42.01,-114.78
42.01,-114.74
42.01,-114.7
42.01,-114.66
42.01,-114.62
42.01,-114.58
42.01,-114.54
42.01,-114.5
42.01,-114.46
42.01,-114.42
42.01,-114.38
42.01,-114.34
42.01,-114.3
42.01,-114.26
42.01,-114.22
42.01,-114.18
42.01,-114.14
42.01,-114.1
42.01,-114.06
42.01,-114.02
41.97,-119.98
41.97,-119.94
41.97,-119.9
41.97,-119.86
41.97,-119.82
41.97,-119.78
41.97,-119.74
41.97,-119.7
41.97,-119.66
41.97,-119.62
41.97,-119.58
41.97,-119.54
41.97,-119.5
41.97,-119.46
41.97,-119.42
41.97,-119.38
41.97,-119.34
41.97,-119.3
41.97,-119.26
41.97,-119.22
41.97,-119.18
41.97,-119.14
41.97,-119.1
41.97,-119.06
41.97,-119.02
41.97,-118.98
41.97,-118.94
41.97,-118.9
41.97,-118.86
41.97,-118.82
41.97,-118.78
41.97,-118.74
41.97,-118.7
41.97,-118.66
41.97,-118.62
41.97,-118.58
41.97,-118.54
41.97,-118.5
41.97,-118.46
41.97,-118.42
41.97,-118.38
41.97,-118.34
41.97,-118.3
41.97,-118.26
41.97,-118.22
41.97,-118.18
41.97,-118.14
41.97,-118.1
41.97,-118.06
41.97,-118.02
41.97,-117.98
41.97,-117.94
41.97,-117.9
41.97,-117.86
41.97,-117.82
41.97,-117.78
41.97,-117.74
41.97,-117.7
41.97,-117.66
41.97,-117.62
41.97,-117.58
41.97,-117.54
41.97,-117.5
41.97,-117.46
41.97,-117.42
41.97,-117.38
41.97,-117.34
41.97,-117.3
41.97,-117.26
41.97,-117.22
41.97,-117.18
41.97,-117.14
41.97,-117.1
41.97,-117.06
41.97,-117.02
41.97,-116.98
41.97,-116.94
41.97,-116.9
41.97,-116.86
41.97,-116.82
41.97,-116.78
41.97,-116.74
41.97,-116.7
41.97,-116.66
41.97,-116.62
41.97,-116.58
41.97,-116.54
41.97,-116.5
41.97,-116.46
