Lat,Lon
45.31,-71.33
45.31,-71.29
45.31,-71.25
45.31,-71.09
45.27,-71.37
45.27,-71.33
45.27,-71.29
45.27,-71.25
45.27,-71.21
45.27,-71.17
45.27,-71.13
45.27,-71.09
45.23,-71.45
45.23,-71.41
45.23,-71.37
45.23,-71.33
45.23,-71.29
45.23,-71.25
45.23,-71.21
45.23,-71.17
45.23,-71.13
45.23,-71.09
45.19,-71.41
45.19,-71.37
45.19,-71.33
45.19,-71.29
45.19,-71.25
45.19,-71.21
45.19,-71.17
45.19,-71.13
45.19,-71.09
45.19,-71.05
45.15,-71.45
45.15,-71.41
45.15,-71.37
45.15,-71.33
45.15,-71.29
45.15,-71.25
45.15,-71.21
45.15,-71.17
45.15,-71.13
45.15,-71.09
45.15,-71.05
45.11,-71.45
45.11,-71.41
45.11,-71.37
45.11,-71.33
45.11,-71.29
45.11,-71.25
45.11,-71.21
45.11,-71.17
45.11,-71.13
45.11,-71.09
45.11,-71.05
45.07,-71.49
45.07,-71.45
45.07,-71.41
45.07,-71.37
45.07,-71.33
45.07,-71.29
45.07,-71.25
45.07,-71.21
45.07,-71.17
45.07,-71.13
45.07,-71.09
45.07,-71.05
45.03,-71.49
45.03,-71.45
45.03,-71.41
45.03,-71.37
45.03,-71.33
45.03,-71.29
45.03,-71.25
45.03,-71.21
45.03,-71.17
45.03,-71.13
45.03,-71.09
45.03,-71.05
44.99,-71.53
44.99,-71.49
44.99,-71.45
44.99,-71.41
44.99,-71.37
44.99,-71.33
44.99,-71.29
44.99,-71.25
44.99,-71.21
44.99,-71.17
44.99,-71.13
44.99,-71.09
44.99,-71.05
44.95,-71.53
44.95,-71.49
44.95,-71.45
44.95,-71.41
44.95,-71.37
44.95,-71.33
44.95,-71.29
44.95,-71.25
44.95,-71.21
44.95,-71.17
44.95,-71.13
44.95,-71.09
44.95,-71.05
44.91,-71.53
44.91,-71.49
44.91,-71.45
44.91,-71.41
44.91,-71.37
44.91,-71.33
44.91,-71.29
44.91,-71.25
44.91,-71.21
44.91,-71.17
44.91,-71.13
44.91,-71.09
44.91,-71.05
44.87,-71.57
44.87,-71.53
44.87,-71.49
44.87,-71.45
44.87,-71.41
44.87,-71.37
44.87,-71.33
44.87,-71.29
44.87,-71.25
44.87,-71.21
44.87,-71.17
44.87,-71.13
44.87,-71.09
44.87,-71.05
44.83,-71.57
44.83,-71.53
44.83,-71.49
44.83,-71.45
44.83,-71.41
44.83,-71.37
44.83,-71.33
44.83,-71.29
44.83,-71.25
44.83,-71.21
44.83,-71.17
44.83,-71.13
44.83,-71.09
44.83,-71.05
44.79,-71.61
44.79,-71.57
44.79,-71.53
44.79,-71.49
44.79,-71.45
44.79,-71.41
44.79,-71.37
44.79,-71.33
44.79,-71.29
44.79,-71.25
44.79,-71.21
44.79,-71.17
44.79,-71.13
44.79,-71.09
44.79,-71.05
44.75,-71.61
44.75,-71.57
44.75,-71.53
44.75,-71.49
44.75,-71.45
44.75,-71.41
44.75,-71.37
44.75,-71.33
44.75,-71.29
44.75,-71.25
44.75,-71.21
44.75,-71.17
44.75,-71.13
44.75,-71.09
44.75,-71.05
44.71,-71.61
44.71,-71.57
44.71,-71.53
44.71,-71.49
44.71,-71.45
44.71,-71.41
44.71,-71.37
44.71,-71.33
44.71,-71.29
44.71,-71.25
44.71,-71.21
44.71,-71.17
44.71,-71.13
44.71,-71.09
44.71,-71.05
44.67,-71.61
44.67,-71.57
44.67,-71.53
44.67,-71.49
44.67,-71.45
44.67,-71.41
44.67,-71.37
44.67,-71.33
44.67,-71.29
44.67,-71.25
44.67,-71.21
44.67,-71.17
44.67,-71.13
44.67,-71.09
44.67,-71.05
44.67,-71.01
44.63,-71.57
44.63,-71.53
44.63,-71.49
44.63,-71.45
44.63,-71.41
44.63,-71.37
44.63,-71.33
44.63,-71.29
44.63,-71.25
44.63,-71.21
44.63,-71.17
44.63,-71.13
44.63,-71.09
44.63,-71.05
44.63,-71.01
44.59,-71.57
44.59,-71.53
44.59,-71.49
44.59,-71.45
44.59,-71.41
44.59,-71.37
44.59,-71.33
44.59,-71.29
44.59,-71.25
44.59,-71.21
44.59,-71.17
44.59,-71.13
44.59,-71.09
44.59,-71.05
44.59,-71.01
44.55,-71.61
44.55,-71.57
44.55,-71.53
44.55,-71.49
44.55,-71.45
44.55,-71.41
44.55,-71.37
44.55,-71.33
44.55,-71.29
44.55,-71.25
44.55,-71.21
44.55,-71.17
44.55,-71.13
44.55,-71.09
44.55,-71.05
44.55,-71.01
44.51,-71.61
44.51,-71.57
44.51,-71.53
44.51,-71.49
44.51,-71.45
44.51,-71.41
44.51,-71.37
44.51,-71.33
44.51,-71.29
44.51,-71.25
44.51,-71.21
44.51,-71.17
44.51,-71.13
44.51,-71.09
44.51,-71.05
44.51,-71.01
44.47,-71.65
44.47,-71.61
44.47,-71.57
44.47,-71.53
44.47,-71.49
44.47,-71.45
44.47,-71.41
44.47,-71.37
44.47,-71.33
44.47,-71.29
44.47,-71.25
44.47,-71.21
44.47,-71.17
44.47,-71.13
44.47,-71.09
44.47,-71.05
44.47,-71.01
44.43,-71.77
44.43,-71.73
44.43,-71.69
44.43,-71.65
44.43,-71.61
44.43,-71.57
44.43,-71.53
44.43,-71.49
44.43,-71.45
44.43,-71.41
44.43,-71.37
44.43,-71.33
44.43,-71.29
44.43,-71.25
44.43,-71.21
44.43,-71.17
44.43,-71.13
44.43,-71.09
44.43,-71.05
44.43,-71.01
44.39,-71.81
44.39,-71.77
44.39,-71.73
44.39,-71.69
44.39,-71.65
44.39,-71.61
44.39,-71.57
44.39,-71.53
44.39,-71.49
44.39,-71.45
44.39,-71.41
44.39,-71.37
44.39,-71.33
44.39,-71.29
44.39,-71.25
44.39,-71.21
44.39,-71.17
44.39,-71.13
44.39,-71.09
44.39,-71.05
44.39,-71.01
44.35,-72.01
44.35,-71.97
44.35,-71.93
44.35,-71.89
44.35,-71.85
44.35,-71.81
44.35,-71.77
44.35,-71.73
44.35,-71.69
44.35,-71.65
44.35,-71.61
44.35,-71.57
44.35,-71.53
44.35,-71.49
44.35,-71.45
44.35,-71.41
44.35,-71.37
44.35,-71.33
44.35,-71.29
44.35,-71.25
44.35,-71.21
44.35,-71.17
44.35,-71.13
44.35,-71.09
44.35,-71.05
44.35,-71.01
44.31,-72.05
44.31,-72.01
44.31,-71.97
44.31,-71.93
44.31,-71.89
44.31,-71.85
44.31,-71.81
44.31,-71.77
44.31,-71.73
44.31,-71.69
44.31,-71.65
44.31,-71.61
44.31,-71.57
44.31,-71.53
44.31,-71.49
44.31,-71.45
44.31,-71.41
44.31,-71.37
44.31,-71.33
44.31,-71.29
44.31,-71.25
44.31,-71.21
44.31,-71.17
44.31,-71.13
44.31,-71.09
44.31,-71.05
44.31,-71.01
44.27,-72.05
44.27,-72.01
44.27,-71.97
44.27,-71.93
44.27,-71.89
44.27,-71.85
44.27,-71.81
44.27,-71.77
44.27,-71.73
44.27,-71.69
44.27,-71.65
44.27,-71.61
44.27,-71.57
44.27,-71.53
44.27,-71.49
44.27,-71.45
44.27,-71.41
44.27,-71.37
44.27,-71.33
44.27,-71.29
44.27,-71.25
44.27,-71.21
44.27,-71.17
44.27,-71.13
44.27,-71.09
44.27,-71.05
44.27,-71.01
44.23,-72.05
44.23,-72.01
44.23,-71.97
44.23,-71.93
44.23,-71.89
44.23,-71.85
44.23,-71.81
44.23,-71.77
44.23,-71.73
44.23,-71.69
44.23,-71.65
44.23,-71.61
44.23,-71.57
44.23,-71.53
44.23,-71.49
44.23,-71.45
44.23,-71.41
44.23,-71.37
44.23,-71.33
44.23,-71.29
44.23,-71.25
44.23,-71.21
44.23,-71.17
44.23,-71.13
44.23,-71.09
44.23,-71.05
44.23,-71.01
44.19,-72.05
44.19,-72.01
44.19,-71.97
44.19,-71.93
44.19,-71.89
44.19,-71.85
44.19,-71.81
44.19,-71.77
44.19,-71.73
44.19,-71.69
44.19,-71.65
44.19,-71.61
44.19,-71.57
44.19,-71.53
44.19,-71.49
44.19,-71.45
44.19,-71.41
44.19,-71.37
44.19,-71.33
44.19,-71.29
44.19,-71.25
44.19,-71.21
44.19,-71.17
44.19,-71.13
44.19,-71.09
44.19,-71.05
44.19,-71.01
44.15,-72.05
44.15,-72.01
44.15,-71.97
44.15,-71.93
44.15,-71.89
44.15,-71.85
44.15,-71.81
44.15,-71.77
44.15,-71.73
44.15,-71.69
44.15,-71.65
44.15,-71.61
44.15,-71.57
44.15,-71.53
44.15,-71.49
44.15,-71.45
44.15,-71.41
44.15,-71.37
44.15,-71.33
44.15,-71.29
44.15,-71.25
44.15,-71.21
44.15,-71.17
44.15,-71.13
44.15,-71.09
44.15,-71.05
44.15,-71.01
44.11,-72.05
44.11,-72.01
44.11,-71.97
44.11,-71.93
44.11,-71.89
44.11,-71.85
44.11,-71.81
44.11,-71.77
44.11,-71.73
44.11,-71.69
44.11,-71.65
44.11,-71.61
44.11,-71.57
44.11,-71.53
44.11,-71.49
44.11,-71.45
44.11,-71.41
44.11,-71.37
44.11,-71.33
44.11,-71.29
44.11,-71.25
44.11,-71.21
44.11,-71.17
44.11,-71.13
44.11,-71.09
44.11,-71.05
44.11,-71.01
44.07,-72.09
44.07,-72.05
44.07,-72.01
44.07,-71.97
44.07,-71.93
44.07,-71.89
44.07,-71.85
44.07,-71.81
44.07,-71.77
44.07,-71.73
44.07,-71.69
44.07,-71.65
44.07,-71.61
44.07,-71.57
44.07,-71.53
44.07,-71.49
44.07,-71.45
44.07,-71.41
44.07,-71.37
44.07,-71.33
44.07,-71.29
44.07,-71.25
44.07,-71.21
44.07,-71.17
44.07,-71.13
44.07,-71.09
44.07,-71.05
44.07,-71.01
44.03,-72.09
44.03,-72.05
44.03,-72.01
44.03,-71.97
44.03,-71.93
44.03,-71.89
44.03,-71.85
44.03,-71.81
44.03,-71.77
44.03,-71.73
44.03,-71.69
44.03,-71.65
44.03,-71.61
44.03,-71.57
44.03,-71.53
44.03,-71.49
44.03,-71.45
44.03,-71.41
44.03,-71.37
44.03,-71.33
44.03,-71.29
44.03,-71.25
44.03,-71.21
44.03,-71.17
44.03,-71.13
44.03,-71.09
44.03,-71.05
44.03,-71.01
43.99,-72.13
43.99,-72.09
43.99,-72.05
43.99,-72.01
43.99,-71.97
43.99,-71.93
43.99,-71.89
43.99,-71.85
43.99,-71.81
43.99,-71.77
43.99,-71.73
43.99,-71.69
43.99,-71.65
43.99,-71.61
43.99,-71.57
43.99,-71.53
43.99,-71.49
43.99,-71.45
43.99,-71.41
43.99,-71.37
43.99,-71.33
43.99,-71.29
43.99,-71.25
43.99,-71.21
43.99,-71.17
43.99,-71.13
43.99,-71.09
43.99,-71.05
43.99,-71.01
43.95,-72.13
43.95,-72.09
43.95,-72.05
43.95,-72.01
43.95,-71.97
43.95,-71.93
43.95,-71.89
43.95,-71.85
43.95,-71.81
43.95,-71.77
43.95,-71.73
43.95,-71.69
43.95,-71.65
43.95,-71.61
43.95,-71.57
43.95,-71.53
43.95,-71.49
43.95,-71.45
43.95,-71.41
43.95,-71.37
43.95,-71.33
43.95,-71.29
43.95,-71.25
43.95,-71.21
43.95,-71.17
43.95,-71.13
43.95,-71.09
43.95,-71.05
43.95,-71.01
43.91,-72.17
43.91,-72.13
43.91,-72.09
43.91,-72.05
43.91,-72.01
43.91,-71.97
43.91,-71.93
43.91,-71.89
43.91,-71.85
43.91,-71.81
43.91,-71.77
43.91,-71.73
43.91,-71.69
43.91,-71.65
43.91,-71.61
43.91,-71.57
43.91,-71.53
43.91,-71.49
43.91,-71.45
43.91,-71.41
43.91,-71.37
43.91,-71.33
43.91,-71.29
43.91,-71.25
43.91,-71.21
43.91,-71.17
43.91,-71.13
43.91,-71.09
43.91,-71.05
43.91,-71.01
43.91,-70.97
43.87,-72.17
43.87,-72.13
43.87,-72.09
