Lat,Lon
41.35,-74.78
41.35,-74.74
41.35,-74.7
41.35,-74.66
41.35,-74.62
41.31,-74.82
41.31,-74.78
41.31,-74.74
41.31,-74.7
41.31,-74.66
41.31,-74.62
41.31,-74.58
41.31,-74.54
41.27,-74.86
41.27,-74.82
41.27,-74.78
41.27,-74.74
41.27,-74.7
41.27,-74.66
41.27,-74.62
41.27,-74.58
41.27,-74.54
41.27,-74.5
41.27,-74.46
41.23,-74.86
41.23,-74.82
41.23,-74.78
41.23,-74.74
41.23,-74.7
41.23,-74.66
41.23,-74.62
41.23,-74.58
41.23,-74.54
41.23,-74.5
41.23,-74.46
41.23,-74.42
41.23,-74.38
41.19,-74.9
41.19,-74.86
41.19,-74.82
41.19,-74.78
41.19,-74.74
41.19,-74.7
41.19,-74.66
41.19,-74.62
41.19,-74.58
41.19,-74.54
41.19,-74.5
41.19,-74.46
41.19,-74.42
41.19,-74.38
41.19,-74.34
41.19,-74.3
41.15,-74.94
41.15,-74.9
41.15,-74.86
41.15,-74.82
41.15,-74.78
41.15,-74.74
41.15,-74.7
41.15,-74.66
41.15,-74.62
41.15,-74.58
41.15,-74.54
41.15,-74.5
41.15,-74.46
41.15,-74.42
41.15,-74.38
41.15,-74.34
41.15,-74.3
41.15,-74.26
41.15,-74.22
41.11,-74.98
41.11,-74.94
41.11,-74.9
41.11,-74.86
41.11,-74.82
41.11,-74.78
41.11,-74.74
41.11,-74.7
41.11,-74.66
41.11,-74.62
41.11,-74.58
41.11,-74.54
41.11,-74.5
41.11,-74.46
41.11,-74.42
41.11,-74.38
41.11,-74.34
41.11,-74.3
41.11,-74.26
41.11,-74.22
41.11,-74.18
41.11,-74.14
41.11,-74.1
41.07,-75.02
41.07,-74.98
41.07,-74.94
41.07,-74.9
41.07,-74.86
41.07,-74.82
41.07,-74.78
41.07,-74.74
41.07,-74.7
41.07,-74.66
41.07,-74.62
41.07,-74.58
41.07,-74.54
41.07,-74.5
41.07,-74.46
41.07,-74.42
41.07,-74.38
41.07,-74.34
41.07,-74.3
41.07,-74.26
41.07,-74.22
41.07,-74.18
41.07,-74.14
41.07,-74.1
41.07,-74.06
41.07,-74.02
41.03,-75.1
41.03,-75.06
41.03,-75.02
41.03,-74.98
41.03,-74.94
41.03,-74.9
41.03,-74.86
41.03,-74.82
41.03,-74.78
41.03,-74.74
41.03,-74.7
41.03,-74.66
41.03,-74.62
41.03,-74.58
41.03,-74.54
41.03,-74.5
41.03,-74.46
41.03,-74.42
41.03,-74.38
