Lat,Lon
36.99,-109.03
36.99,-108.99
36.99,-108.95
36.99,-108.91
36.99,-108.87
36.99,-108.83
36.99,-108.79
36.99,-108.75
36.99,-108.71
36.99,-108.67
36.99,-108.63
36.99,-108.59
36.99,-108.55
36.99,-108.51
36.99,-108.47
36.99,-108.43
36.99,-108.39
36.99,-108.35
36.99,-108.31
36.99,-108.27
36.99,-108.23
36.99,-108.19
36.99,-108.15
36.99,-108.11
36.99,-108.07
36.99,-108.03
36.99,-107.99
36.99,-107.95
36.99,-107.91
36.99,-107.87
36.99,-107.83
36.99,-107.79
36.99,-107.75
36.99,-107.71
36.99,-107.67
36.99,-107.63
36.99,-107.59
36.99,-107.55
36.99,-107.51
36.99,-107.47
36.99,-107.43
36.99,-107.39
36.99,-107.35
36.99,-107.31
36.99,-107.27
36.99,-107.23
36.99,-107.19
36.99,-107.15
36.99,-107.11
36.99,-107.07
36.99,-107.03
36.99,-106.99
36.99,-106.95
36.99,-106.91
36.99,-106.87
36.99,-106.83
36.99,-106.79
36.99,-106.75
36.99,-106.71
36.99,-106.67
36.99,-106.63
36.99,-106.59
36.99,-106.55
36.99,-106.51
36.99,-106.47
36.99,-106.43
36.99,-106.39
36.99,-106.35
36.99,-106.31
36.99,-106.27
36.99,-106.23
36.99,-106.19
36.99,-106.15
36.99,-106.11
36.99,-106.07
36.99,-106.03
36.99,-105.99
36.99,-105.95
36.99,-105.91
36.99,-105.87
36.99,-105.83
36.99,-105.79
36.99,-105.75
36.99,-105.71
36.99,-105.67
36.99,-105.63
36.99,-105.59
36.99,-105.55
36.99,-105.51
36.99,-105.47
36.99,-105.43
36.99,-105.39
36.99,-105.35
36.99,-105.31
36.99,-105.27
36.99,-105.23
36.99,-105.19
36.99,-105.15
36.99,-105.11
36.99,-105.07
36.99,-105.03
36.99,-104.99
36.99,-104.95
36.99,-104.91
36.99,-104.87
36.99,-104.83
36.99,-104.79
36.99,-104.75
36.99,-104.71
36.99,-104.67
36.99,-104.63
36.99,-104.59
36.99,-104.55
36.99,-104.51
36.99,-104.47
36.99,-104.43
36.99,-104.39
36.99,-104.35
36.99,-104.31
36.99,-104.27
36.99,-104.23
36.99,-104.19
36.99,-104.15
36.99,-104.11
36.99,-104.07
36.99,-104.03
36.99,-103.99
36.99,-103.95
36.99,-103.91
36.99,-103.87
36.99,-103.83
36.99,-103.79
36.99,-103.75
36.99,-103.71
36.99,-103.67
36.99,-103.63
36.99,-103.59
36.99,-103.55
36.99,-103.51
36.99,-103.47
36.99,-103.43
36.99,-103.39
36.99,-103.35
36.99,-103.31
36.99,-103.27
36.99,-103.23
36.99,-103.19
36.99,-103.15
36.99,-103.11
36.99,-103.07
36.99,-103.03
36.99,-102.99
36.95,-109.03
36.95,-108.99
36.95,-108.95
36.95,-108.91
36.95,-108.87
36.95,-108.83
36.95,-108.79
36.95,-108.75
36.95,-108.71
36.95,-108.67
36.95,-108.63
36.95,-108.59
36.95,-108.55
36.95,-108.51
36.95,-108.47
36.95,-108.43
36.95,-108.39
36.95,-108.35
36.95,-108.31
36.95,-108.27
36.95,-108.23
36.95,-108.19
36.95,-108.15
36.95,-108.11
36.95,-108.07
36.95,-108.03
36.95,-107.99
36.95,-107.95
36.95,-107.91
36.95,-107.87
36.95,-107.83
36.95,-107.79
36.95,-107.75
36.95,-107.71
36.95,-107.67
36.95,-107.63
36.95,-107.59
36.95,-107.55
36.95,-107.51
36.95,-107.47
36.95,-107.43
36.95,-107.39
36.95,-107.35
36.95,-107.31
36.95,-107.27
36.95,-107.23
36.95,-107.19
36.95,-107.15
36.95,-107.11
36.95,-107.07
36.95,-107.03
36.95,-106.99
36.95,-106.95
36.95,-106.91
36.95,-106.87
36.95,-106.83
36.95,-106.79
36.95,-106.75
36.95,-106.71
36.95,-106.67
36.95,-106.63
36.95,-106.59
36.95,-106.55
36.95,-106.51
36.95,-106.47
36.95,-106.43
36.95,-106.39
36.95,-106.35
36.95,-106.31
36.95,-106.27
36.95,-106.23
36.95,-106.19
36.95,-106.15
36.95,-106.11
36.95,-106.07
36.95,-106.03
36.95,-105.99
36.95,-105.95
36.95,-105.91
36.95,-105.87
36.95,-105.83
36.95,-105.79
36.95,-105.75
36.95,-105.71
36.95,-105.67
36.95,-105.63
36.95,-105.59
36.95,-105.55
36.95,-105.51
36.95,-105.47
36.95,-105.43
36.95,-105.39
36.95,-105.35
36.95,-105.31
36.95,-105.27
36.95,-105.23
36.95,-105.19
36.95,-105.15
36.95,-105.11
36.95,-105.07
36.95,-105.03
36.95,-104.99
36.95,-104.95
36.95,-104.91
36.95,-104.87
36.95,-104.83
36.95,-104.79
36.95,-104.75
36.95,-104.71
36.95,-104.67
36.95,-104.63
36.95,-104.59
36.95,-104.55
36.95,-104.51
36.95,-104.47
36.95,-104.43
36.95,-104.39
36.95,-104.35
36.95,-104.31
36.95,-104.27
36.95,-104.23
36.95,-104.19
36.95,-104.15
36.95,-104.11
36.95,-104.07
36.95,-104.03
36.95,-103.99
36.95,-103.95
36.95,-103.91
36.95,-103.87
36.95,-103.83
36.95,-103.79
36.95,-103.75
36.95,-103.71
36.95,-103.67
36.95,-103.63
36.95,-103.59
36.95,-103.55
36.95,-103.51
36.95,-103.47
36.95,-103.43
36.95,-103.39
36.95,-103.35
36.95,-103.31
36.95,-103.27
36.95,-103.23
36.95,-103.19
36.95,-103.15
36.95,-103.11
36.95,-103.07
36.95,-103.03
36.95,-102.99
36.91,-109.03
36.91,-108.99
36.91,-108.95
36.91,-108.91
36.91,-108.87
36.91,-108.83
36.91,-108.79
36.91,-108.75
36.91,-108.71
36.91,-108.67
36.91,-108.63
36.91,-108.59
36.91,-108.55
36.91,-108.51
36.91,-108.47
36.91,-108.43
36.91,-108.39
36.91,-108.35
36.91,-108.31
36.91,-108.27
36.91,-108.23
36.91,-108.19
36.91,-108.15
36.91,-108.11
36.91,-108.07
36.91,-108.03
36.91,-107.99
36.91,-107.95
36.91,-107.91
36.91,-107.87
36.91,-107.83
36.91,-107.79
36.91,-107.75
36.91,-107.71
36.91,-107.67
36.91,-107.63
36.91,-107.59
36.91,-107.55
36.91,-107.51
36.91,-107.47
36.91,-107.43
36.91,-107.39
36.91,-107.35
36.91,-107.31
36.91,-107.27
36.91,-107.23
36.91,-107.19
36.91,-107.15
36.91,-107.11
36.91,-107.07
36.91,-107.03
36.91,-106.99
36.91,-106.95
36.91,-106.91
36.91,-106.87
36.91,-106.83
36.91,-106.79
36.91,-106.75
36.91,-106.71
36.91,-106.67
36.91,-106.63
36.91,-106.59
36.91,-106.55
36.91,-106.51
36.91,-106.47
36.91,-106.43
36.91,-106.39
36.91,-106.35
36.91,-106.31
36.91,-106.27
36.91,-106.23
36.91,-106.19
36.91,-106.15
36.91,-106.11
36.91,-106.07
36.91,-106.03
36.91,-105.99
36.91,-105.95
36.91,-105.91
36.91,-105.87
36.91,-105.83
36.91,-105.79
36.91,-105.75
36.91,-105.71
36.91,-105.67
36.91,-105.63
36.91,-105.59
36.91,-105.55
36.91,-105.51
36.91,-105.47
36.91,-105.43
36.91,-105.39
36.91,-105.35
36.91,-105.31
36.91,-105.27
36.91,-105.23
36.91,-105.19
36.91,-105.15
36.91,-105.11
36.91,-105.07
36.91,-105.03
36.91,-104.99
36.91,-104.95
36.91,-104.91
36.91,-104.87
36.91,-104.83
36.91,-104.79
36.91,-104.75
36.91,-104.71
36.91,-104.67
36.91,-104.63
36.91,-104.59
36.91,-104.55
36.91,-104.51
36.91,-104.47
36.91,-104.43
36.91,-104.39
36.91,-104.35
36.91,-104.31
36.91,-104.27
36.91,-104.23
36.91,-104.19
36.91,-104.15
36.91,-104.11
36.91,-104.07
36.91,-104.03
36.91,-103.99
36.91,-103.95
36.91,-103.91
36.91,-103.87
36.91,-103.83
36.91,-103.79
36.91,-103.75
36.91,-103.71
36.91,-103.67
36.91,-103.63
36.91,-103.59
36.91,-103.55
36.91,-103.51
36.91,-103.47
36.91,-103.43
36.91,-103.39
36.91,-103.35
36.91,-103.31
36.91,-103.27
36.91,-103.23
36.91,-103.19
36.91,-103.15
36.91,-103.11
36.91,-103.07
36.91,-103.03
36.91,-102.99
36.87,-109.03
36.87,-108.99
36.87,-108.95
36.87,-108.91
36.87,-108.87
36.87,-108.83
36.87,-108.79
36.87,-108.75
36.87,-108.71
36.87,-108.67
36.87,-108.63
36.87,-108.59
36.87,-108.55
36.87,-108.51
36.87,-108.47
36.87,-108.43
36.87,-108.39
36.87,-108.35
36.87,-108.31
36.87,-108.27
36.87,-108.23
36.87,-108.19
36.87,-108.15
36.87,-108.11
36.87,-108.07
36.87,-108.03
36.87,-107.99
36.87,-107.95
36.87,-107.91
36.87,-107.87
36.87,-107.83
