Lat,Lon
45.0,-74.94
45.0,-74.9
45.0,-74.86
45.0,-74.82
45.0,-74.78
45.0,-74.74
45.0,-74.7
45.0,-74.66
45.0,-74.62
45.0,-74.58
45.0,-74.54
45.0,-74.5
45.0,-74.46
45.0,-74.42
45.0,-74.38
45.0,-74.34
45.0,-74.3
45.0,-74.26
45.0,-74.22
45.0,-74.18
45.0,-74.14
45.0,-74.1
45.0,-74.06
45.0,-74.02
45.0,-73.98
45.0,-73.94
45.0,-73.9
45.0,-73.86
45.0,-73.82
45.0,-73.78
45.0,-73.74
45.0,-73.7
45.0,-73.66
45.0,-73.62
45.0,-73.58
45.0,-73.54
45.0,-73.5
45.0,-73.46
45.0,-73.42
45.0,-73.38
45.0,-73.34
44.96,-75.02
44.96,-74.98
44.96,-74.94
44.96,-74.9
44.96,-74.86
44.96,-74.82
44.96,-74.78
44.96,-74.74
44.96,-74.7
44.96,-74.66
44.96,-74.62
44.96,-74.58
44.96,-74.54
44.96,-74.5
44.96,-74.46
44.96,-74.42
44.96,-74.38
44.96,-74.34
44.96,-74.3
44.96,-74.26
44.96,-74.22
44.96,-74.18
44.96,-74.14
44.96,-74.1
44.96,-74.06
44.96,-74.02
44.96,-73.98
44.96,-73.94
44.96,-73.9
44.96,-73.86
44.96,-73.82
44.96,-73.78
44.96,-73.74
44.96,-73.7
44.96,-73.66
44.96,-73.62
44.96,-73.58
44.96,-73.54
44.96,-73.5
44.96,-73.46
44.96,-73.42
44.96,-73.38
44.96,-73.34
44.92,-75.14
44.92,-75.1
44.92,-75.06
44.92,-75.02
44.92,-74.98
44.92,-74.94
44.92,-74.9
44.92,-74.86
44.92,-74.82
44.92,-74.78
44.92,-74.74
44.92,-74.7
44.92,-74.66
44.92,-74.62
44.92,-74.58
44.92,-74.54
44.92,-74.5
44.92,-74.46
44.92,-74.42
44.92,-74.38
44.92,-74.34
44.92,-74.3
44.92,-74.26
44.92,-74.22
44.92,-74.18
44.92,-74.14
44.92,-74.1
44.92,-74.06
44.92,-74.02
44.92,-73.98
44.92,-73.94
44.92,-73.9
44.92,-73.86
44.92,-73.82
44.92,-73.78
44.92,-73.74
44.92,-73.7
44.92,-73.66
44.92,-73.62
44.92,-73.58
44.92,-73.54
44.92,-73.5
44.92,-73.46
44.92,-73.42
44.92,-73.38
44.92,-73.34
44.88,-75.26
44.88,-75.22
44.88,-75.18
44.88,-75.14
44.88,-75.1
44.88,-75.06
44.88,-75.02
44.88,-74.98
44.88,-74.94
44.88,-74.9
44.88,-74.86
44.88,-74.82
44.88,-74.78
44.88,-74.74
44.88,-74.7
44.88,-74.66
44.88,-74.62
44.88,-74.58
44.88,-74.54
44.88,-74.5
44.88,-74.46
44.88,-74.42
44.88,-74.38
44.88,-74.34
44.88,-74.3
44.88,-74.26
44.88,-74.22
44.88,-74.18
44.88,-74.14
44.88,-74.1
44.88,-74.06
44.88,-74.02
44.88,-73.98
44.88,-73.94
44.88,-73.9
44.88,-73.86
44.88,-73.82
44.88,-73.78
44.88,-73.74
44.88,-73.7
44.88,-73.66
44.88,-73.62
44.88,-73.58
44.88,-73.54
44.88,-73.5
44.88,-73.46
44.88,-73.42
44.88,-73.38
44.88,-73.34
44.84,-75.3
44.84,-75.26
44.84,-75.22
44.84,-75.18
44.84,-75.14
44.84,-75.1
44.84,-75.06
44.84,-75.02
44.84,-74.98
44.84,-74.94
44.84,-74.9
44.84,-74.86
44.84,-74.82
44.84,-74.78
44.84,-74.74
44.84,-74.7
44.84,-74.66
44.84,-74.62
44.84,-74.58
44.84,-74.54
44.84,-74.5
44.84,-74.46
44.84,-74.42
44.84,-74.38
44.84,-74.34
44.84,-74.3
44.84,-74.26
44.84,-74.22
44.84,-74.18
44.84,-74.14
44.84,-74.1
44.84,-74.06
44.84,-74.02
44.84,-73.98
44.84,-73.94
44.84,-73.9
44.84,-73.86
44.84,-73.82
44.84,-73.78
44.84,-73.74
44.84,-73.7
44.84,-73.66
44.84,-73.62
44.84,-73.58
44.84,-73.54
44.84,-73.5
44.84,-73.46
44.84,-73.42
44.84,-73.38
44.84,-73.34
44.8,-75.38
44.8,-75.34
44.8,-75.3
44.8,-75.26
44.8,-75.22
44.8,-75.18
44.8,-75.14
44.8,-75.1
44.8,-75.06
44.8,-75.02
44.8,-74.98
44.8,-74.94
44.8,-74.9
44.8,-74.86
44.8,-74.82
44.8,-74.78
44.8,-74.74
44.8,-74.7
44.8,-74.66
44.8,-74.62
44.8,-74.58
44.8,-74.54
44.8,-74.5
44.8,-74.46
44.8,-74.42
44.8,-74.38
44.8,-74.34
44.8,-74.3
44.8,-74.26
44.8,-74.22
44.8,-74.18
44.8,-74.14
44.8,-74.1
44.8,-74.06
44.8,-74.02
44.8,-73.98
44.8,-73.94
44.8,-73.9
44.8,-73.86
44.8,-73.82
44.8,-73.78
44.8,-73.74
44.8,-73.7
44.8,-73.66
44.8,-73.62
44.8,-73.58
44.8,-73.54
44.8,-73.5
44.8,-73.46
44.8,-73.42
44.8,-73.38
44.8,-73.34
44.76,-75.42
44.76,-75.38
44.76,-75.34
44.76,-75.3
44.76,-75.26
44.76,-75.22
44.76,-75.18
44.76,-75.14
44.76,-75.1
44.76,-75.06
44.76,-75.02
44.76,-74.98
44.76,-74.94
44.76,-74.9
44.76,-74.86
44.76,-74.82
44.76,-74.78
44.76,-74.74
44.76,-74.7
44.76,-74.66
44.76,-74.62
44.76,-74.58
44.76,-74.54
44.76,-74.5
44.76,-74.46
44.76,-74.42
44.76,-74.38
44.76,-74.34
44.76,-74.3
44.76,-74.26
44.76,-74.22
44.76,-74.18
44.76,-74.14
44.76,-74.1
44.76,-74.06
44.76,-74.02
44.76,-73.98
44.76,-73.94
44.76,-73.9
44.76,-73.86
44.76,-73.82
44.76,-73.78
44.76,-73.74
44.76,-73.7
44.76,-73.66
44.76,-73.62
44.76,-73.58
44.76,-73.54
44.76,-73.5
44.76,-73.46
44.76,-73.42
44.76,-73.38
44.76,-73.34
44.72,-75.5
44.72,-75.46
44.72,-75.42
44.72,-75.38
44.72,-75.34
44.72,-75.3
44.72,-75.26
44.72,-75.22
44.72,-75.18
44.72,-75.14
44.72,-75.1
44.72,-75.06
44.72,-75.02
44.72,-74.98
44.72,-74.94
44.72,-74.9
44.72,-74.86
44.72,-74.82
44.72,-74.78
44.72,-74.74
44.72,-74.7
44.72,-74.66
44.72,-74.62
44.72,-74.58
44.72,-74.54
44.72,-74.5
44.72,-74.46
44.72,-74.42
44.72,-74.38
44.72,-74.34
44.72,-74.3
44.72,-74.26
44.72,-74.22
44.72,-74.18
44.72,-74.14
44.72,-74.1
44.72,-74.06
44.72,-74.02
44.72,-73.98
44.72,-73.94
44.72,-73.9
44.72,-73.86
44.72,-73.82
44.72,-73.78
44.72,-73.74
44.72,-73.7
44.72,-73.66
44.72,-73.62
44.72,-73.58
44.72,-73.54
44.72,-73.5
44.72,-73.46
44.72,-73.42
44.72,-73.38
44.72,-73.34
44.68,-75.54
44.68,-75.5
44.68,-75.46
44.68,-75.42
44.68,-75.38
44.68,-75.34
44.68,-75.3
44.68,-75.26
44.68,-75.22
44.68,-75.18
44.68,-75.14
44.68,-75.1
44.68,-75.06
44.68,-75.02
44.68,-74.98
44.68,-74.94
44.68,-74.9
44.68,-74.86
44.68,-74.82
44.68,-74.78
44.68,-74.74
44.68,-74.7
44.68,-74.66
44.68,-74.62
44.68,-74.58
44.68,-74.54
44.68,-74.5
44.68,-74.46
44.68,-74.42
44.68,-74.38
44.68,-74.34
44.68,-74.3
44.68,-74.26
44.68,-74.22
44.68,-74.18
44.68,-74.14
44.68,-74.1
44.68,-74.06
44.68,-74.02
44.68,-73.98
44.68,-73.94
44.68,-73.9
44.68,-73.86
44.68,-73.82
44.68,-73.78
44.68,-73.74
44.68,-73.7
44.68,-73.66
44.68,-73.62
44.68,-73.58
44.68,-73.54
44.68,-73.5
44.68,-73.46
44.68,-73.42
44.68,-73.38
44.68,-73.34
44.64,-75.62
44.64,-75.58
44.64,-75.54
44.64,-75.5
44.64,-75.46
44.64,-75.42
44.64,-75.38
44.64,-75.34
44.64,-75.3
44.64,-75.26
44.64,-75.22
44.64,-75.18
44.64,-75.14
44.64,-75.1
44.64,-75.06
44.64,-75.02
44.64,-74.98
44.64,-74.94
44.64,-74.9
44.64,-74.86
44.64,-74.82
44.64,-74.78
44.64,-74.74
44.64,-74.7
44.64,-74.66
44.64,-74.62
44.64,-74.58
44.64,-74.54
44.64,-74.5
44.64,-74.46
44.64,-74.42
44.64,-74.38
44.64,-74.34
44.64,-74.3
44.64,-74.26
44.64,-74.22
44.64,-74.18
44.64,-74.14
44.64,-74.1
44.64,-74.06
44.64,-74.02
44.64,-73.98
44.64,-73.94
44.64,-73.9
44.64,-73.86
44.64,-73.82
44.64,-73.78
44.64,-73.74
44.64,-73.7
44.64,-73.66
44.64,-73.62
44.64,-73.58
44.64,-73.54
44.64,-73.5
44.64,-73.46
44.64,-73.42
44.64,-73.38
44.6,-75.66
44.6,-75.62
44.6,-75.58
44.6,-75.54
44.6,-75.5
44.6,-75.46
44.6,-75.42
44.6,-75.38
44.6,-75.34
44.6,-75.3
44.6,-75.26
44.6,-75.22
44.6,-75.18
44.6,-75.14
44.6,-75.1
44.6,-75.06
44.6,-75.02
44.6,-74.98
44.6,-74.94
44.6,-74.9
44.6,-74.86
44.6,-74.82
44.6,-74.78
44.6,-74.74
44.6,-74.7
44.6,-74.66
44.6,-74.62
44.6,-74.58
44.6,-74.54
44.6,-74.5
44.6,-74.46
44.6,-74.42
44.6,-74.38
44.6,-74.34
44.6,-74.3
44.6,-74.26
44.6,-74.22
