Lat,Lon
36.58,-81.68
36.58,-81.64
36.58,-81.6
36.58,-81.56
36.58,-81.52
36.58,-81.48
36.58,-81.44
36.58,-81.4
36.58,-81.36
36.58,-81.32
36.58,-81.28
36.58,-81.24
36.58,-81.2
36.58,-81.16
36.58,-81.12
36.58,-81.08
36.58,-81.04
36.58,-81.0
36.58,-80.96
36.58,-80.92
36.58,-80.88
36.58,-80.84
36.58,-80.8
36.58,-80.76
36.58,-80.72
36.58,-80.68
36.58,-80.64
36.58,-80.6
36.54,-81.72
36.54,-81.68
36.54,-81.64
36.54,-81.6
36.54,-81.56
36.54,-81.52
36.54,-81.48
36.54,-81.44
36.54,-81.4
36.54,-81.36
36.54,-81.32
36.54,-81.28
36.54,-81.24
36.54,-81.2
36.54,-81.16
36.54,-81.12
36.54,-81.08
36.54,-81.04
36.54,-81.0
36.54,-80.96
36.54,-80.92
36.54,-80.88
36.54,-80.84
36.54,-80.8
36.54,-80.76
36.54,-80.72
36.54,-80.68
36.54,-80.64
36.54,-80.6
36.54,-80.56
36.54,-80.52
36.54,-80.48
36.54,-80.44
36.54,-80.4
36.54,-80.36
36.54,-80.32
36.54,-80.28
36.54,-80.24
36.54,-80.2
36.54,-80.16
36.54,-80.12
36.54,-80.08
36.54,-80.04
36.54,-80.0
36.54,-79.96
36.54,-79.92
36.54,-79.88
36.54,-79.84
36.54,-79.8
36.54,-79.76
36.54,-79.72
36.54,-79.68
36.54,-79.64
36.54,-79.6
36.54,-79.56
36.54,-79.52
36.54,-79.48
36.54,-79.44
36.54,-79.4
36.54,-79.36
36.54,-79.32
36.54,-79.28
36.54,-79.24
36.54,-79.2
36.54,-79.16
36.54,-79.12
36.54,-79.08
36.54,-79.04
36.54,-79.0
36.54,-78.96
36.54,-78.92
36.54,-78.88
36.54,-78.84
36.54,-78.8
36.54,-78.76
36.54,-78.72
36.54,-78.68
36.54,-78.64
36.54,-78.6
36.54,-78.56
36.54,-78.52
36.54,-78.48
36.54,-78.44
36.54,-78.4
36.54,-78.36
36.54,-78.32
36.54,-78.28
36.54,-78.24
36.54,-78.2
36.54,-78.16
36.54,-78.12
36.54,-78.08
36.54,-78.04
36.54,-78.0
36.54,-77.96
36.54,-77.92
36.54,-77.88
36.54,-77.84
36.54,-77.8
36.54,-77.76
36.54,-77.72
36.54,-77.68
36.54,-77.64
36.54,-77.6
36.54,-77.56
36.54,-77.52
36.54,-77.48
36.54,-77.44
36.54,-77.4
36.54,-77.36
36.54,-77.32
36.54,-77.28
36.54,-77.24
36.54,-77.2
36.54,-77.16
36.54,-77.12
36.54,-77.08
36.54,-77.04
36.54,-77.0
36.54,-76.96
36.54,-76.92
36.54,-76.88
36.54,-76.84
36.54,-76.8
36.54,-76.76
36.54,-76.72
36.54,-76.68
36.54,-76.64
36.54,-76.6
36.54,-76.56
36.54,-76.52
36.54,-76.48
36.54,-76.44
36.54,-76.4
36.54,-76.36
36.54,-76.32
36.54,-76.28
36.54,-76.24
36.54,-76.2
36.54,-76.16
36.54,-76.12
36.54,-76.08
36.54,-76.04
36.54,-76.0
36.54,-75.96
36.54,-75.92
36.54,-75.88
36.54,-75.84
36.5,-81.68
36.5,-81.64
36.5,-81.6
36.5,-81.56
36.5,-81.52
36.5,-81.48
36.5,-81.44
36.5,-81.4
36.5,-81.36
36.5,-81.32
36.5,-81.28
36.5,-81.24
36.5,-81.2
36.5,-81.16
36.5,-81.12
36.5,-81.08
36.5,-81.04
36.5,-81.0
36.5,-80.96
36.5,-80.92
36.5,-80.88
36.5,-80.84
36.5,-80.8
36.5,-80.76
36.5,-80.72
36.5,-80.68
36.5,-80.64
36.5,-80.6
36.5,-80.56
36.5,-80.52
36.5,-80.48
36.5,-80.44
36.5,-80.4
36.5,-80.36
36.5,-80.32
36.5,-80.28
36.5,-80.24
36.5,-80.2
36.5,-80.16
36.5,-80.12
36.5,-80.08
36.5,-80.04
36.5,-80.0
36.5,-79.96
36.5,-79.92
36.5,-79.88
36.5,-79.84
36.5,-79.8
36.5,-79.76
36.5,-79.72
36.5,-79.68
36.5,-79.64
36.5,-79.6
36.5,-79.56
36.5,-79.52
36.5,-79.48
36.5,-79.44
36.5,-79.4
36.5,-79.36
36.5,-79.32
36.5,-79.28
36.5,-79.24
36.5,-79.2
36.5,-79.16
36.5,-79.12
36.5,-79.08
36.5,-79.04
36.5,-79.0
36.5,-78.96
36.5,-78.92
36.5,-78.88
36.5,-78.84
36.5,-78.8
36.5,-78.76
36.5,-78.72
36.5,-78.68
36.5,-78.64
36.5,-78.6
36.5,-78.56
36.5,-78.52
36.5,-78.48
36.5,-78.44
36.5,-78.4
36.5,-78.36
36.5,-78.32
36.5,-78.28
36.5,-78.24
36.5,-78.2
36.5,-78.16
36.5,-78.12
36.5,-78.08
36.5,-78.04
36.5,-78.0
36.5,-77.96
36.5,-77.92
36.5,-77.88
36.5,-77.84
36.5,-77.8
36.5,-77.76
36.5,-77.72
36.5,-77.68
36.5,-77.64
36.5,-77.6
36.5,-77.56
36.5,-77.52
36.5,-77.48
36.5,-77.44
36.5,-77.4
36.5,-77.36
36.5,-77.32
36.5,-77.28
36.5,-77.24
36.5,-77.2
36.5,-77.16
36.5,-77.12
36.5,-77.08
36.5,-77.04
36.5,-77.0
36.5,-76.96
36.5,-76.92
36.5,-76.88
36.5,-76.84
36.5,-76.8
36.5,-76.76
36.5,-76.72
36.5,-76.68
36.5,-76.64
36.5,-76.6
36.5,-76.56
36.5,-76.52
36.5,-76.48
36.5,-76.44
36.5,-76.4
36.5,-76.36
36.5,-76.32
36.5,-76.28
36.5,-76.24
36.5,-76.2
36.5,-76.16
36.5,-76.12
36.5,-76.08
36.5,-76.04
36.5,-76.0
36.5,-75.96
36.5,-75.92
36.5,-75.88
36.5,-75.84
36.46,-81.72
36.46,-81.68
36.46,-81.64
36.46,-81.6
36.46,-81.56
36.46,-81.52
36.46,-81.48
36.46,-81.44
36.46,-81.4
36.46,-81.36
36.46,-81.32
36.46,-81.28
36.46,-81.24
36.46,-81.2
36.46,-81.16
36.46,-81.12
36.46,-81.08
36.46,-81.04
36.46,-81.0
36.46,-80.96
36.46,-80.92
36.46,-80.88
36.46,-80.84
36.46,-80.8
36.46,-80.76
36.46,-80.72
36.46,-80.68
36.46,-80.64
36.46,-80.6
36.46,-80.56
36.46,-80.52
36.46,-80.48
36.46,-80.44
36.46,-80.4
36.46,-80.36
36.46,-80.32
36.46,-80.28
36.46,-80.24
36.46,-80.2
36.46,-80.16
36.46,-80.12
36.46,-80.08
36.46,-80.04
36.46,-80.0
36.46,-79.96
36.46,-79.92
36.46,-79.88
36.46,-79.84
36.46,-79.8
36.46,-79.76
36.46,-79.72
36.46,-79.68
36.46,-79.64
36.46,-79.6
36.46,-79.56
36.46,-79.52
36.46,-79.48
36.46,-79.44
36.46,-79.4
36.46,-79.36
36.46,-79.32
36.46,-79.28
36.46,-79.24
36.46,-79.2
36.46,-79.16
36.46,-79.12
36.46,-79.08
36.46,-79.04
36.46,-79.0
36.46,-78.96
36.46,-78.92
36.46,-78.88
36.46,-78.84
36.46,-78.8
36.46,-78.76
36.46,-78.72
36.46,-78.68
36.46,-78.64
36.46,-78.6
36.46,-78.56
36.46,-78.52
36.46,-78.48
36.46,-78.44
36.46,-78.4
36.46,-78.36
36.46,-78.32
36.46,-78.28
36.46,-78.24
36.46,-78.2
36.46,-78.16
36.46,-78.12
36.46,-78.08
36.46,-78.04
36.46,-78.0
36.46,-77.96
36.46,-77.92
36.46,-77.88
36.46,-77.84
36.46,-77.8
36.46,-77.76
36.46,-77.72
36.46,-77.68
36.46,-77.64
36.46,-77.6
36.46,-77.56
36.46,-77.52
36.46,-77.48
36.46,-77.44
36.46,-77.4
36.46,-77.36
36.46,-77.32
36.46,-77.28
36.46,-77.24
36.46,-77.2
36.46,-77.16
36.46,-77.12
36.46,-77.08
36.46,-77.04
36.46,-77.0
36.46,-76.96
36.46,-76.92
36.46,-76.88
36.46,-76.84
36.46,-76.8
36.46,-76.76
36.46,-76.72
36.46,-76.68
36.46,-76.64
36.46,-76.6
36.46,-76.56
36.46,-76.52
36.46,-76.48
36.46,-76.44
36.46,-76.4
36.46,-76.36
36.46,-76.32
36.46,-76.28
36.46,-76.24
36.46,-76.2
36.46,-76.16
36.46,-76.12
36.46,-76.08
36.46,-76.04
36.46,-76.0
36.46,-75.88
36.46,-75.84
36.42,-81.72
36.42,-81.68
36.42,-81.64
36.42,-81.6
36.42,-81.56
36.42,-81.52
36.42,-81.48
36.42,-81.44
36.42,-81.4
36.42,-81.36
36.42,-81.32
36.42,-81.28
36.42,-81.24
36.42,-81.2
36.42,-81.16
36.42,-81.12
36.42,-81.08
36.42,-81.04
36.42,-81.0
36.42,-80.96
36.42,-80.92
36.42,-80.88
36.42,-80.84
36.42,-80.8
36.42,-80.76
36.42,-80.72
36.42,-80.68
36.42,-80.64
36.42,-80.6
36.42,-80.56
36.42,-80.52
36.42,-80.48
36.42,-80.44
36.42,-80.4
36.42,-80.36
36.42,-80.32
36.42,-80.28
36.42,-80.24
36.42,-80.2
36.42,-80.16
36.42,-80.12
36.42,-80.08
36.42,-80.04
36.42,-80.0
36.42,-79.96
36.42,-79.92
36.42,-79.88
36.42,-79.84
36.42,-79.8
36.42,-79.76
36.42,-79.72
36.42,-79.68
36.42,-79.64
36.42,-79.6
36.42,-79.56
36.42,-79.52
36.42,-79.48
36.42,-79.44
36.42,-79.4
36.42,-79.36
36.42,-79.32
36.42,-79.28
36.42,-79.24
36.42,-79.2
36.42,-79.16
36.42,-79.12
36.42,-79.08
36.42,-79.04
36.42,-79.0
36.42,-78.96
36.42,-78.92
36.42,-78.88
36.42,-78.84
36.42,-78.8
36.42,-78.76
36.42,-78.72
36.42,-78.68
36.42,-78.64
36.42,-78.6
36.42,-78.56
36.42,-78.52
36.42,-78.48
36.42,-78.44
36.42,-78.4
36.42,-78.36
36.42,-78.32
36.42,-78.28
36.42,-78.24
36.42,-78.2
36.42,-78.16
36.42,-78.12
36.42,-78.08
36.42,-78.04
36.42,-78.0
36.42,-77.96
36.42,-77.92
36.42,-77.88
36.42,-77.84
36.42,-77.8
36.42,-77.76
36.42,-77.72
36.42,-77.68
36.42,-77.64
36.42,-77.6
36.42,-77.56
36.42,-77.52
36.42,-77.48
36.42,-77.44
36.42,-77.4
36.42,-77.36
36.42,-77.32
36.42,-77.28
36.42,-77.24
36.42,-77.2
36.42,-77.16
36.42,-77.12
36.42,-77.08
36.42,-77.04
36.42,-77.0
36.42,-76.96
36.42,-76.92
36.42,-76.88
36.42,-76.84
36.42,-76.8
36.42,-76.76
36.42,-76.72
36.42,-76.68
36.42,-76.64
36.42,-76.6
36.42,-76.56
36.42,-76.52
36.42,-76.48
36.42,-76.44
36.42,-76.4
36.42,-76.36
36.42,-76.32
36.42,-76.28
36.42,-76.24
36.42,-76.2
36.42,-76.16
36.42,-76.12
36.42,-76.08
36.42,-76.04
36.42,-76.0
36.42,-75.96
36.42,-75.92
36.42,-75.88
36.42,-75.84
36.38,-81.8
36.38,-81.72
36.38,-81.68
36.38,-81.64
36.38,-81.6
36.38,-81.56
36.38,-81.52
36.38,-81.48
36.38,-81.44
36.38,-81.4
36.38,-81.36
36.38,-81.32
36.38,-81.28
36.38,-81.24
36.38,-81.2
36.38,-81.16
36.38,-81.12
36.38,-81.08
36.38,-81.04
36.38,-81.0
36.38,-80.96
36.38,-80.92
36.38,-80.88
36.38,-80.84
36.38,-80.8
36.38,-80.76
