Lat,Lon
48.99,-104.04
48.99,-104.0
48.99,-103.96
48.99,-103.92
48.99,-103.88
48.99,-103.84
48.99,-103.8
48.99,-103.76
48.99,-103.72
48.99,-103.68
48.99,-103.64
48.99,-103.6
48.99,-103.56
48.99,-103.52
48.99,-103.48
48.99,-103.44
48.99,-103.4
48.99,-103.36
48.99,-103.32
48.99,-103.28
48.99,-103.24
48.99,-103.2
48.99,-103.16
48.99,-103.12
48.99,-103.08
48.99,-103.04
48.99,-103.0
48.99,-102.96
48.99,-102.92
48.99,-102.88
48.99,-102.84
48.99,-102.8
48.99,-102.76
48.99,-102.72
48.99,-102.68
48.99,-102.64
48.99,-102.6
48.99,-102.56
48.99,-102.52
48.99,-102.48
48.99,-102.44
48.99,-102.4
48.99,-102.36
48.99,-102.32
48.99,-102.28
48.99,-102.24
48.99,-102.2
48.99,-102.16
48.99,-102.12
48.99,-102.08
48.99,-102.04
48.99,-102.0
48.99,-101.96
48.99,-101.92
48.99,-101.88
48.99,-101.84
48.99,-101.8
48.99,-101.76
48.99,-101.72
48.99,-101.68
48.99,-101.64
48.99,-101.6
48.99,-101.56
48.99,-101.52
48.99,-101.48
48.99,-101.44
48.99,-101.4
48.99,-101.36
48.99,-101.32
48.99,-101.28
48.99,-101.24
48.99,-101.2
48.99,-101.16
48.99,-101.12
48.99,-101.08
48.99,-101.04
48.99,-101.0
48.99,-100.96
48.99,-100.92
48.99,-100.88
48.99,-100.84
48.99,-100.8
48.99,-100.76
48.99,-100.72
48.99,-100.68
48.99,-100.64
48.99,-100.6
48.99,-100.56
48.99,-100.52
48.99,-100.48
48.99,-100.44
48.99,-100.4
48.99,-100.36
48.99,-100.32
48.99,-100.28
48.99,-100.24
48.99,-100.2
48.99,-100.16
48.99,-100.12
48.99,-100.08
48.99,-100.04
48.99,-100.0
48.99,-99.96
48.99,-99.92
48.99,-99.88
48.99,-99.84
48.99,-99.8
48.99,-99.76
48.99,-99.72
48.99,-99.68
48.99,-99.64
48.99,-99.6
48.99,-99.56
48.99,-99.52
48.99,-99.48
48.99,-99.44
48.99,-99.4
48.99,-99.36
48.99,-99.32
48.99,-99.28
48.99,-99.24
48.99,-99.2
48.99,-99.16
48.99,-99.12
48.99,-99.08
48.99,-99.04
48.99,-99.0
48.99,-98.96
48.99,-98.92
48.99,-98.88
48.99,-98.84
48.99,-98.8
48.99,-98.76
48.99,-98.72
48.99,-98.68
48.99,-98.64
48.99,-98.6
48.99,-98.56
48.99,-98.52
48.99,-98.48
48.99,-98.44
48.99,-98.4
48.99,-98.36
48.99,-98.32
48.99,-98.28
48.99,-98.24
48.99,-98.2
48.99,-98.16
48.99,-98.12
48.99,-98.08
48.99,-98.04
48.99,-98.0
48.99,-97.96
48.99,-97.92
48.99,-97.88
48.99,-97.84
48.99,-97.8
48.99,-97.76
48.99,-97.72
48.99,-97.68
48.99,-97.64
48.99,-97.6
48.99,-97.56
48.99,-97.52
48.99,-97.48
48.99,-97.44
48.99,-97.4
48.99,-97.36
48.99,-97.32
48.99,-97.28
48.99,-97.24
48.95,-104.04
48.95,-104.0
48.95,-103.96
48.95,-103.92
48.95,-103.88
48.95,-103.84
48.95,-103.8
48.95,-103.76
48.95,-103.72
48.95,-103.68
48.95,-103.64
48.95,-103.6
48.95,-103.56
48.95,-103.52
48.95,-103.48
48.95,-103.44
48.95,-103.4
48.95,-103.36
48.95,-103.32
48.95,-103.28
48.95,-103.24
48.95,-103.2
48.95,-103.16
48.95,-103.12
48.95,-103.08
48.95,-103.04
48.95,-103.0
48.95,-102.96
48.95,-102.92
48.95,-102.88
48.95,-102.84
48.95,-102.8
48.95,-102.76
48.95,-102.72
48.95,-102.68
48.95,-102.64
48.95,-102.6
48.95,-102.56
48.95,-102.52
48.95,-102.48
48.95,-102.44
48.95,-102.4
48.95,-102.36
48.95,-102.32
48.95,-102.28
48.95,-102.24
48.95,-102.2
48.95,-102.16
48.95,-102.12
48.95,-102.08
48.95,-102.04
48.95,-102.0
48.95,-101.96
48.95,-101.92
48.95,-101.88
48.95,-101.84
48.95,-101.8
48.95,-101.76
48.95,-101.72
48.95,-101.68
48.95,-101.64
48.95,-101.6
48.95,-101.56
48.95,-101.52
48.95,-101.48
48.95,-101.44
48.95,-101.4
48.95,-101.36
48.95,-101.32
48.95,-101.28
48.95,-101.24
48.95,-101.2
48.95,-101.16
48.95,-101.12
48.95,-101.08
48.95,-101.04
48.95,-101.0
48.95,-100.96
48.95,-100.92
48.95,-100.88
48.95,-100.84
48.95,-100.8
48.95,-100.76
48.95,-100.72
48.95,-100.68
48.95,-100.64
48.95,-100.6
48.95,-100.56
48.95,-100.52
48.95,-100.48
48.95,-100.44
48.95,-100.4
48.95,-100.36
48.95,-100.32
48.95,-100.28
48.95,-100.24
48.95,-100.2
48.95,-100.16
48.95,-100.12
48.95,-100.08
48.95,-100.04
48.95,-100.0
48.95,-99.96
48.95,-99.92
48.95,-99.88
48.95,-99.84
48.95,-99.8
48.95,-99.76
48.95,-99.72
48.95,-99.68
48.95,-99.64
48.95,-99.6
48.95,-99.56
48.95,-99.52
48.95,-99.48
48.95,-99.44
48.95,-99.4
48.95,-99.36
48.95,-99.32
48.95,-99.28
48.95,-99.24
48.95,-99.2
48.95,-99.16
48.95,-99.12
48.95,-99.08
48.95,-99.04
48.95,-99.0
48.95,-98.96
48.95,-98.92
48.95,-98.88
48.95,-98.84
48.95,-98.8
48.95,-98.76
48.95,-98.72
48.95,-98.68
48.95,-98.64
48.95,-98.6
48.95,-98.56
48.95,-98.52
48.95,-98.48
48.95,-98.44
48.95,-98.4
48.95,-98.36
48.95,-98.32
48.95,-98.28
48.95,-98.24
48.95,-98.2
48.95,-98.16
48.95,-98.12
48.95,-98.08
48.95,-98.04
48.95,-98.0
48.95,-97.96
48.95,-97.92
48.95,-97.88
48.95,-97.84
48.95,-97.8
48.95,-97.76
48.95,-97.72
48.95,-97.68
48.95,-97.64
48.95,-97.6
48.95,-97.56
48.95,-97.52
48.95,-97.48
48.95,-97.44
48.95,-97.4
48.95,-97.36
48.95,-97.32
48.95,-97.28
48.95,-97.24
48.95,-97.2
48.91,-104.04
48.91,-104.0
48.91,-103.96
48.91,-103.92
48.91,-103.88
48.91,-103.84
48.91,-103.8
48.91,-103.76
48.91,-103.72
48.91,-103.68
48.91,-103.64
48.91,-103.6
48.91,-103.56
48.91,-103.52
48.91,-103.48
48.91,-103.44
48.91,-103.4
48.91,-103.36
48.91,-103.32
48.91,-103.28
48.91,-103.24
48.91,-103.2
48.91,-103.16
48.91,-103.12
48.91,-103.08
48.91,-103.04
48.91,-103.0
48.91,-102.96
48.91,-102.92
48.91,-102.88
48.91,-102.84
48.91,-102.8
48.91,-102.76
48.91,-102.72
48.91,-102.68
48.91,-102.64
48.91,-102.6
48.91,-102.56
48.91,-102.52
48.91,-102.48
48.91,-102.44
48.91,-102.4
48.91,-102.36
48.91,-102.32
48.91,-102.28
48.91,-102.24
48.91,-102.2
48.91,-102.16
48.91,-102.12
48.91,-102.08
48.91,-102.04
48.91,-102.0
48.91,-101.96
48.91,-101.92
48.91,-101.88
48.91,-101.84
48.91,-101.8
48.91,-101.76
48.91,-101.72
48.91,-101.68
48.91,-101.64
48.91,-101.6
48.91,-101.56
48.91,-101.52
48.91,-101.48
48.91,-101.44
48.91,-101.4
48.91,-101.36
48.91,-101.32
48.91,-101.28
48.91,-101.24
48.91,-101.2
48.91,-101.16
48.91,-101.12
48.91,-101.08
48.91,-101.04
48.91,-101.0
48.91,-100.96
48.91,-100.92
48.91,-100.88
48.91,-100.84
48.91,-100.8
48.91,-100.76
48.91,-100.72
48.91,-100.68
48.91,-100.64
48.91,-100.6
48.91,-100.56
48.91,-100.52
48.91,-100.48
48.91,-100.44
48.91,-100.4
48.91,-100.36
48.91,-100.32
48.91,-100.28
48.91,-100.24
48.91,-100.2
48.91,-100.16
48.91,-100.12
48.91,-100.08
48.91,-100.04
48.91,-100.0
48.91,-99.96
48.91,-99.92
48.91,-99.88
48.91,-99.84
48.91,-99.8
48.91,-99.76
48.91,-99.72
48.91,-99.68
48.91,-99.64
48.91,-99.6
48.91,-99.56
48.91,-99.52
48.91,-99.48
48.91,-99.44
48.91,-99.4
48.91,-99.36
48.91,-99.32
48.91,-99.28
48.91,-99.24
48.91,-99.2
48.91,-99.16
48.91,-99.12
48.91,-99.08
48.91,-99.04
48.91,-99.0
48.91,-98.96
48.91,-98.92
48.91,-98.88
48.91,-98.84
48.91,-98.8
48.91,-98.76
48.91,-98.72
48.91,-98.68
48.91,-98.64
48.91,-98.6
48.91,-98.56
48.91,-98.52
48.91,-98.48
48.91,-98.44
48.91,-98.4
48.91,-98.36
48.91,-98.32
48.91,-98.28
48.91,-98.24
48.91,-98.2
48.91,-98.16
48.91,-98.12
48.91,-98.08
48.91,-98.04
48.91,-98.0
48.91,-97.96
48.91,-97.92
48.91,-97.88
48.91,-97.84
48.91,-97.8
48.91,-97.76
48.91,-97.72
48.91,-97.68
48.91,-97.64
48.91,-97.6
48.91,-97.56
48.91,-97.52
48.91,-97.48
48.91,-97.44
48.91,-97.4
48.91,-97.36
48.91,-97.32
48.91,-97.28
48.91,-97.24
48.91,-97.2
48.87,-104.04
48.87,-104.0
48.87,-103.96
48.87,-103.92
48.87,-103.88
48.87,-103.84
48.87,-103.8
48.87,-103.76
48.87,-103.72
48.87,-103.68
48.87,-103.64
48.87,-103.6
48.87,-103.56
48.87,-103.52
48.87,-103.48
48.87,-103.44
48.87,-103.4
48.87,-103.36
48.87,-103.32
48.87,-103.28
48.87,-103.24
48.87,-103.2
48.87,-103.16
48.87,-103.12
48.87,-103.08
48.87,-103.04
48.87,-103.0
48.87,-102.96
48.87,-102.92
48.87,-102.88
48.87,-102.84
48.87,-102.8
48.87,-102.76
48.87,-102.72
48.87,-102.68
48.87,-102.64
48.87,-102.6
48.87,-102.56
48.87,-102.52
48.87,-102.48
48.87,-102.44
48.87,-102.4
48.87,-102.36
48.87,-102.32
48.87,-102.28
48.87,-102.24
48.87,-102.2
48.87,-102.16
48.87,-102.12
48.87,-102.08
48.87,-102.04
48.87,-102.0
48.87,-101.96
48.87,-101.92
48.87,-101.88
48.87,-101.84
48.87,-101.8
48.87,-101.76
48.87,-101.72
48.87,-101.68
48.87,-101.64
48.87,-101.6
48.87,-101.56
48.87,-101.52
48.87,-101.48
48.87,-101.44
48.87,-101.4
48.87,-101.36
48.87,-101.32
48.87,-101.28
48.87,-101.24
48.87,-101.2
48.87,-101.16
48.87,-101.12
48.87,-101.08
48.87,-101.04
48.87,-101.0
48.87,-100.96
48.87,-100.92
48.87,-100.88
48.87,-100.84
48.87,-100.8
48.87,-100.76
48.87,-100.72
48.87,-100.68
48.87,-100.64
48.87,-100.6
48.87,-100.56
48.87,-100.52
48.87,-100.48
48.87,-100.44
48.87,-100.4
48.87,-100.36
48.87,-100.32
48.87,-100.28
48.87,-100.24
48.87,-100.2
48.87,-100.16
48.87,-100.12
48.87,-100.08
48.87,-100.04
48.87,-100.0
48.87,-99.96
48.87,-99.92
48.87,-99.88
48.87,-99.84
48.87,-99.8
48.87,-99.76
48.87,-99.72
48.87,-99.68
48.87,-99.64
48.87,-99.6
48.87,-99.56
48.87,-99.52
48.87,-99.48
48.87,-99.44
48.87,-99.4
48.87,-99.36
48.87,-99.32
48.87,-99.28
48.87,-99.24
48.87,-99.2
48.87,-99.16
48.87,-99.12
48.87,-99.08
48.87,-99.04
48.87,-99.0
48.87,-98.96
48.87,-98.92
48.87,-98.88
48.87,-98.84
48.87,-98.8
48.87,-98.76
48.87,-98.72
48.87,-98.68
48.87,-98.64
48.87,-98.6
48.87,-98.56
48.87,-98.52
48.87,-98.48
48.87,-98.44
48.87,-98.4
48.87,-98.36
48.87,-98.32
48.87,-98.28
48.87,-98.24
48.87,-98.2
48.87,-98.16
48.87,-98.12
48.87,-98.08
48.87,-98.04
48.87,-98.0
48.87,-97.96
48.87,-97.92
48.87,-97.88
48.87,-97.84
48.87,-97.8
48.87,-97.76
48.87,-97.72
48.87,-97.68
48.87,-97.64
48.87,-97.6
48.87,-97.56
48.87,-97.52
48.87,-97.48
48.87,-97.44
48.87,-97.4
48.87,-97.36
48.87,-97.32
48.87,-97.28
48.87,-97.24
48.87,-97.2
48.87,-97.16
48.83,-104.04
48.83,-104.0
48.83,-103.96
48.83,-103.92
48.83,-103.88
48.83,-103.84
48.83,-103.8
48.83,-103.76
48.83,-103.72
48.83,-103.68
48.83,-103.64
48.83,-103.6
48.83,-103.56
48.83,-103.52
48.83,-103.48
48.83,-103.44
48.83,-103.4
48.83,-103.36
48.83,-103.32
48.83,-103.28
48.83,-103.24
48.83,-103.2
48.83,-103.16
48.83,-103.12
48.83,-103.08
48.83,-103.04
48.83,-103.0
48.83,-102.96
48.83,-102.92
48.83,-102.88
48.83,-102.84
48.83,-102.8
48.83,-102.76
48.83,-102.72
48.83,-102.68
48.83,-102.64
48.83,-102.6
48.83,-102.56
48.83,-102.52
48.83,-102.48
48.83,-102.44
48.83,-102.4
48.83,-102.36
48.83,-102.32
48.83,-102.28
48.83,-102.24
48.83,-102.2
48.83,-102.16
48.83,-102.12
48.83,-102.08
48.83,-102.04
48.83,-102.0
48.83,-101.96
48.83,-101.92
48.83,-101.88
48.83,-101.84
48.83,-101.8
48.83,-101.76
48.83,-101.72
48.83,-101.68
48.83,-101.64
48.83,-101.6
48.83,-101.56
48.83,-101.52
48.83,-101.48
48.83,-101.44
48.83,-101.4
48.83,-101.36
48.83,-101.32
48.83,-101.28
48.83,-101.24
48.83,-101.2
48.83,-101.16
48.83,-101.12
48.83,-101.08
48.83,-101.04
48.83,-101.0
48.83,-100.96
48.83,-100.92
48.83,-100.88
48.83,-100.84
48.83,-100.8
48.83,-100.76
48.83,-100.72
