Lat,Lon
41.99,-80.55
41.99,-80.51
41.95,-80.67
41.95,-80.63
41.95,-80.59
41.95,-80.55
41.95,-80.51
41.91,-80.83
41.91,-80.79
41.91,-80.75
41.91,-80.71
41.91,-80.67
41.91,-80.63
41.91,-80.59
41.91,-80.55
41.91,-80.51
41.87,-81.03
41.87,-80.99
41.87,-80.95
41.87,-80.91
41.87,-80.87
41.87,-80.83
41.87,-80.79
41.87,-80.75
41.87,-80.71
41.87,-80.67
41.87,-80.63
41.87,-80.59
41.87,-80.55
41.87,-80.51
41.83,-81.11
41.83,-81.07
41.83,-81.03
41.83,-80.99
41.83,-80.95
41.83,-80.91
41.83,-80.87
41.83,-80.83
41.83,-80.79
41.83,-80.75
41.83,-80.71
41.83,-80.67
41.83,-80.63
41.83,-80.59
41.83,-80.55
41.83,-80.51
41.79,-81.23
41.79,-81.19
41.79,-81.15
41.79,-81.11
41.79,-81.07
41.79,-81.03
41.79,-80.99
41.79,-80.95
41.79,-80.91
41.79,-80.87
41.79,-80.83
41.79,-80.79
41.79,-80.75
41.79,-80.71
41.79,-80.67
41.79,-80.63
41.79,-80.59
41.79,-80.55
41.79,-80.51
41.75,-83.51
41.75,-83.47
41.75,-81.35
41.75,-81.31
41.75,-81.27
41.75,-81.23
41.75,-81.19
41.75,-81.15
41.75,-81.11
41.75,-81.07
41.75,-81.03
41.75,-80.99
41.75,-80.95
41.75,-80.91
41.75,-80.87
41.75,-80.83
41.75,-80.79
41.75,-80.75
41.75,-80.71
41.75,-80.67
41.75,-80.63
41.75,-80.59
41.75,-80.55
41.75,-80.51
41.71,-84.79
41.71,-84.75
41.71,-84.71
41.71,-84.67
41.71,-84.63
41.71,-84.59
41.71,-84.55
41.71,-84.51
41.71,-84.47
41.71,-84.43
41.71,-84.39
41.71,-84.35
41.71,-84.31
41.71,-84.27
41.71,-84.23
41.71,-84.19
41.71,-84.15
41.71,-84.11
41.71,-84.07
41.71,-84.03
41.71,-83.99
41.71,-83.95
41.71,-83.91
41.71,-83.87
41.71,-83.83
41.71,-83.79
41.71,-83.75
41.71,-83.71
41.71,-83.67
41.71,-83.63
41.71,-83.59
41.71,-83.55
41.71,-83.51
41.71,-83.47
41.71,-83.43
41.71,-83.39
41.71,-83.35
41.71,-83.31
41.71,-82.83
41.71,-82.79
41.71,-81.43
41.71,-81.39
41.71,-81.35
