Lat,Lon
36.99,-102.99
36.99,-102.95
36.99,-102.91
36.99,-102.87
36.99,-102.83
36.99,-102.79
36.99,-102.75
36.99,-102.71
36.99,-102.67
36.99,-102.63
36.99,-102.59
36.99,-102.55
36.99,-102.51
36.99,-102.47
36.99,-102.43
36.99,-102.39
36.99,-102.35
36.99,-102.31
36.99,-102.27
36.99,-102.23
36.99,-102.19
36.99,-102.15
36.99,-102.11
36.99,-102.07
36.99,-102.03
36.99,-101.99
36.99,-101.95
36.99,-101.91
36.99,-101.87
36.99,-101.83
36.99,-101.79
36.99,-101.75
36.99,-101.71
36.99,-101.67
36.99,-101.63
36.99,-101.59
36.99,-101.55
36.99,-101.51
36.99,-101.47
36.99,-101.43
36.99,-101.39
36.99,-101.35
36.99,-101.31
36.99,-101.27
36.99,-101.23
36.99,-101.19
36.99,-101.15
36.99,-101.11
36.99,-101.07
36.99,-101.03
36.99,-100.99
36.99,-100.95
36.99,-100.91
36.99,-100.87
36.99,-100.83
36.99,-100.79
36.99,-100.75
36.99,-100.71
36.99,-100.67
36.99,-100.63
36.99,-100.59
36.99,-100.55
36.99,-100.51
36.99,-100.47
36.99,-100.43
36.99,-100.39
36.99,-100.35
36.99,-100.31
36.99,-100.27
36.99,-100.23
36.99,-100.19
36.99,-100.15
36.99,-100.11
36.99,-100.07
36.99,-100.03
36.99,-99.99
36.99,-99.95
36.99,-99.91
36.99,-99.87
36.99,-99.83
36.99,-99.79
36.99,-99.75
36.99,-99.71
36.99,-99.67
36.99,-99.63
36.99,-99.59
36.99,-99.55
36.99,-99.51
36.99,-99.47
36.99,-99.43
36.99,-99.39
36.99,-99.35
36.99,-99.31
36.99,-99.27
36.99,-99.23
36.99,-99.19
36.99,-99.15
36.99,-99.11
36.99,-99.07
36.99,-99.03
36.99,-98.99
36.99,-98.95
36.99,-98.91
36.99,-98.87
36.99,-98.83
36.99,-98.79
36.99,-98.75
36.99,-98.71
36.99,-98.67
36.99,-98.63
36.99,-98.59
36.99,-98.55
36.99,-98.51
36.99,-98.47
36.99,-98.43
36.99,-98.39
36.99,-98.35
