Lat,Lon
46.25,-124.03
46.25,-123.99
46.25,-123.59
46.25,-123.55
46.25,-123.51
46.25,-123.47
46.25,-123.43
46.21,-124.03
46.21,-123.99
46.21,-123.95
46.21,-123.83
46.21,-123.79
46.21,-123.75
46.21,-123.71
46.21,-123.67
46.21,-123.63
46.21,-123.59
46.21,-123.55
46.21,-123.51
46.21,-123.47
46.21,-123.43
46.17,-123.99
46.17,-123.95
46.17,-123.91
46.17,-123.87
46.17,-123.83
46.17,-123.79
46.17,-123.75
46.17,-123.71
46.17,-123.67
46.17,-123.63
46.17,-123.59
46.17,-123.55
46.17,-123.51
46.17,-123.47
46.17,-123.43
46.17,-123.39
46.17,-123.27
46.17,-123.23
46.17,-123.19
46.17,-123.15
46.17,-123.11
46.17,-123.07
46.13,-123.95
46.13,-123.91
46.13,-123.87
46.13,-123.83
46.13,-123.79
46.13,-123.75
46.13,-123.71
46.13,-123.67
46.13,-123.63
46.13,-123.59
46.13,-123.55
46.13,-123.51
46.13,-123.47
46.13,-123.43
46.13,-123.39
46.13,-123.35
46.13,-123.31
46.13,-123.27
46.13,-123.23
46.13,-123.19
46.13,-123.15
46.13,-123.11
46.13,-123.07
46.13,-123.03
46.13,-122.99
46.09,-123.95
46.09,-123.91
46.09,-123.87
46.09,-123.83
46.09,-123.79
46.09,-123.75
46.09,-123.71
46.09,-123.67
46.09,-123.63
46.09,-123.59
46.09,-123.55
46.09,-123.51
46.09,-123.47
46.09,-123.43
46.09,-123.39
46.09,-123.35
46.09,-123.31
46.09,-123.27
46.09,-123.23
46.09,-123.19
46.09,-123.15
46.09,-123.11
46.09,-123.07
46.09,-123.03
46.09,-122.99
46.09,-122.95
46.09,-122.91
46.05,-123.95
46.05,-123.91
46.05,-123.87
46.05,-123.83
46.05,-123.79
46.05,-123.75
46.05,-123.71
46.05,-123.67
46.05,-123.63
46.05,-123.59
46.05,-123.55
46.05,-123.51
46.05,-123.47
46.05,-123.43
46.05,-123.39
46.05,-123.35
46.05,-123.31
46.05,-123.27
46.05,-123.23
46.05,-123.19
46.05,-123.15
46.05,-123.11
46.05,-123.07
46.05,-123.03
46.05,-122.99
46.05,-122.95
46.05,-122.91
46.05,-122.87
46.01,-123.95
46.01,-123.91
46.01,-123.87
46.01,-123.83
46.01,-123.79
46.01,-123.75
46.01,-123.71
46.01,-123.67
46.01,-123.63
46.01,-123.59
46.01,-123.55
46.01,-123.51
46.01,-123.47
46.01,-123.43
46.01,-123.39
46.01,-123.35
46.01,-123.31
46.01,-123.27
46.01,-123.23
46.01,-123.19
46.01,-123.15
46.01,-123.11
46.01,-123.07
46.01,-123.03
46.01,-122.99
46.01,-122.95
46.01,-122.91
46.01,-122.87
46.01,-122.83
46.01,-118.99
46.01,-118.95
46.01,-118.91
46.01,-118.87
46.01,-118.83
46.01,-118.79
46.01,-118.75
46.01,-118.71
46.01,-118.67
46.01,-118.63
46.01,-118.59
46.01,-118.55
46.01,-118.51
46.01,-118.47
46.01,-118.43
46.01,-118.39
46.01,-118.35
46.01,-118.31
46.01,-118.27
46.01,-118.23
46.01,-118.19
46.01,-118.15
46.01,-118.11
46.01,-118.07
46.01,-118.03
46.01,-117.99
46.01,-117.95
46.01,-117.91
46.01,-117.87
46.01,-117.83
46.01,-117.79
46.01,-117.75
46.01,-117.71
46.01,-117.67
46.01,-117.63
46.01,-117.59
46.01,-117.55
46.01,-117.51
46.01,-117.47
46.01,-117.43
46.01,-117.39
46.01,-117.35
46.01,-117.31
46.01,-117.27
46.01,-117.23
46.01,-117.19
46.01,-117.15
46.01,-117.11
46.01,-117.07
46.01,-117.03
46.01,-116.99
46.01,-116.95
46.01,-116.91
45.97,-123.99
45.97,-123.95
45.97,-123.91
45.97,-123.87
45.97,-123.83
45.97,-123.79
45.97,-123.75
45.97,-123.71
45.97,-123.67
45.97,-123.63
45.97,-123.59
45.97,-123.55
45.97,-123.51
45.97,-123.47
45.97,-123.43
45.97,-123.39
45.97,-123.35
45.97,-123.31
45.97,-123.27
45.97,-123.23
45.97,-123.19
45.97,-123.15
45.97,-123.11
45.97,-123.07
45.97,-123.03
45.97,-122.99
45.97,-122.95
45.97,-122.91
45.97,-122.87
45.97,-122.83
45.97,-119.07
45.97,-119.03
45.97,-118.99
