Lat,Lon
42.28,-79.77
42.24,-79.89
42.24,-79.85
42.24,-79.81
42.24,-79.77
42.2,-79.97
42.2,-79.93
42.2,-79.89
42.2,-79.85
42.2,-79.81
42.2,-79.77
42.16,-80.13
42.16,-80.09
42.16,-80.05
42.16,-80.01
42.16,-79.97
42.16,-79.93
42.16,-79.89
42.16,-79.85
42.16,-79.81
42.16,-79.77
42.12,-80.17
42.12,-80.13
42.12,-80.09
42.12,-80.05
42.12,-80.01
42.12,-79.97
42.12,-79.93
42.12,-79.89
42.12,-79.85
42.12,-79.81
42.12,-79.77
42.08,-80.25
42.08,-80.21
42.08,-80.17
42.08,-80.13
42.08,-80.09
42.08,-80.05
42.08,-80.01
42.08,-79.97
42.08,-79.93
42.08,-79.89
42.08,-79.85
42.08,-79.81
42.08,-79.77
42.04,-80.37
42.04,-80.33
42.04,-80.29
42.04,-80.25
42.04,-80.21
42.04,-80.17
42.04,-80.13
42.04,-80.09
42.04,-80.05
42.04,-80.01
42.04,-79.97
42.04,-79.93
42.04,-79.89
42.04,-79.85
42.04,-79.81
42.04,-79.77
42.0,-80.49
42.0,-80.45
42.0,-80.41
42.0,-80.37
42.0,-80.33
42.0,-80.29
42.0,-80.25
42.0,-80.21
42.0,-80.17
42.0,-80.13
42.0,-80.09
42.0,-80.05
42.0,-80.01
42.0,-79.97
42.0,-79.93
42.0,-79.89
42.0,-79.85
42.0,-79.81
42.0,-79.77
42.0,-79.73
42.0,-79.69
42.0,-79.65
42.0,-79.61
42.0,-79.57
42.0,-79.53
42.0,-79.49
42.0,-79.45
42.0,-79.41
42.0,-79.37
42.0,-79.33
42.0,-79.29
42.0,-79.25
42.0,-79.21
42.0,-79.17
42.0,-79.13
42.0,-79.09
42.0,-79.05
42.0,-79.01
42.0,-78.97
42.0,-78.93
42.0,-78.89
42.0,-78.85
42.0,-78.81
42.0,-78.77
42.0,-78.73
42.0,-78.69
42.0,-78.65
42.0,-78.61
42.0,-78.57
42.0,-78.53
42.0,-78.49
42.0,-78.45
42.0,-78.41
42.0,-78.37
42.0,-78.33
42.0,-78.29
42.0,-78.25
42.0,-78.21
42.0,-78.17
42.0,-78.13
42.0,-78.09
42.0,-78.05
42.0,-78.01
42.0,-77.97
42.0,-77.93
42.0,-77.89
42.0,-77.85
42.0,-77.81
42.0,-77.77
42.0,-77.73
42.0,-77.69
42.0,-77.65
42.0,-77.61
42.0,-77.57
42.0,-77.53
42.0,-77.49
42.0,-77.45
42.0,-77.41
42.0,-77.37
42.0,-77.33
42.0,-77.29
42.0,-77.25
42.0,-77.21
42.0,-77.17
42.0,-77.13
42.0,-77.09
42.0,-77.05
42.0,-77.01
42.0,-76.97
42.0,-76.93
42.0,-76.89
42.0,-76.85
