Lat,Lon
42.0,-71.8
42.0,-71.76
42.0,-71.72
42.0,-71.68
42.0,-71.64
42.0,-71.6
42.0,-71.56
42.0,-71.52
42.0,-71.48
42.0,-71.44
42.0,-71.4
41.96,-71.8
41.96,-71.76
41.96,-71.72
41.96,-71.68
41.96,-71.64
41.96,-71.6
41.96,-71.56
41.96,-71.52
41.96,-71.48
41.96,-71.44
41.96,-71.4
41.92,-71.8
41.92,-71.76
41.92,-71.72
41.92,-71.68
41.92,-71.64
41.92,-71.6
41.92,-71.56
41.92,-71.52
41.92,-71.48
41.92,-71.44
41.92,-71.4
41.88,-71.8
41.88,-71.76
41.88,-71.72
41.88,-71.68
41.88,-71.64
41.88,-71.6
41.88,-71.56
41.88,-71.52
41.88,-71.48
41.88,-71.44
41.88,-71.4
41.88,-71.36
41.88,-71.32
41.84,-71.8
41.84,-71.76
41.84,-71.72
41.84,-71.68
41.84,-71.64
41.84,-71.6
41.84,-71.56
41.84,-71.52
41.84,-71.48
41.84,-71.44
41.84,-71.4
41.84,-71.36
41.84,-71.32
41.8,-71.8
41.8,-71.76
41.8,-71.72
41.8,-71.68
41.8,-71.64
41.8,-71.6
41.8,-71.56
41.8,-71.52
41.8,-71.48
41.8,-71.44
41.8,-71.4
41.8,-71.36
41.8,-71.32
41.76,-71.8
41.76,-71.76
41.76,-71.72
41.76,-71.68
41.76,-71.64
41.76,-71.6
41.76,-71.56
41.76,-71.52
41.76,-71.48
41.76,-71.44
41.76,-71.4
41.76,-71.36
41.76,-71.32
41.76,-71.28
41.76,-71.24
41.72,-71.8
41.72,-71.76
41.72,-71.72
41.72,-71.68
41.72,-71.64
41.72,-71.6
41.72,-71.56
41.72,-71.52
41.72,-71.48
41.72,-71.44
41.72,-71.4
41.72,-71.36
41.72,-71.32
41.72,-71.28
41.72,-71.24
41.68,-71.8
41.68,-71.76
41.68,-71.72
41.68,-71.68
41.68,-71.64
41.68,-71.6
41.68,-71.56
41.68,-71.52
41.68,-71.48
41.68,-71.44
41.68,-71.4
41.68,-71.36
41.68,-71.32
41.68,-71.28
41.68,-71.24
41.68,-71.2
41.68,-71.16
41.64,-71.8
41.64,-71.76
41.64,-71.72
41.64,-71.68
41.64,-71.64
41.64,-71.6
41.64,-71.56
41.64,-71.52
41.64,-71.48
41.64,-71.44
41.64,-71.4
41.64,-71.36
41.64,-71.32
41.64,-71.28
41.64,-71.24
41.64,-71.2
41.64,-71.16
41.64,-71.12
41.6,-71.8
41.6,-71.76
41.6,-71.72
41.6,-71.68
41.6,-71.64
41.6,-71.6
41.6,-71.56
41.6,-71.52
41.6,-71.48
41.6,-71.44
41.6,-71.4
41.6,-71.36
41.6,-71.32
41.6,-71.28
41.6,-71.24
41.6,-71.2
41.6,-71.16
41.6,-71.12
41.56,-71.8
41.56,-71.76
41.56,-71.72
41.56,-71.68
41.56,-71.64
41.56,-71.6
41.56,-71.56
41.56,-71.52
41.56,-71.48
41.56,-71.44
41.56,-71.4
41.56,-71.36
41.56,-71.32
41.56,-71.28
41.56,-71.24
41.56,-71.2
41.56,-71.16
41.56,-71.12
41.52,-71.8
41.52,-71.76
41.52,-71.72
41.52,-71.68
41.52,-71.64
41.52,-71.6
41.52,-71.56
41.52,-71.52
41.52,-71.48
41.52,-71.44
41.52,-71.4
41.52,-71.36
41.52,-71.32
41.52,-71.28
41.52,-71.24
41.52,-71.2
41.52,-71.16
41.52,-71.12
41.48,-71.8
41.48,-71.76
41.48,-71.72
41.48,-71.68
41.48,-71.64
41.48,-71.6
41.48,-71.56
41.48,-71.52
41.48,-71.48
41.48,-71.44
41.48,-71.4
41.48,-71.36
41.48,-71.32
41.48,-71.28
41.48,-71.24
41.48,-71.2
41.48,-71.16
41.48,-71.12
41.44,-71.8
41.44,-71.76
41.44,-71.72
41.44,-71.68
41.44,-71.64
41.44,-71.6
41.44,-71.56
41.44,-71.52
41.44,-71.48
41.44,-71.44
41.44,-71.4
41.44,-71.36
41.44,-71.32
41.44,-71.2
41.4,-71.84
41.4,-71.8
41.4,-71.76
41.4,-71.72
41.4,-71.68
41.4,-71.64
41.4,-71.6
41.4,-71.56
41.4,-71.52
41.4,-71.48
41.36,-71.84
41.36,-71.8
41.36,-71.76
41.36,-71.72
41.36,-71.68
41.36,-71.64
41.36,-71.6
41.36,-71.56
41.36,-71.52
41.36,-71.48
41.32,-71.88
41.32,-71.84
41.32,-71.8
41.32,-71.76
41.32,-71.72
41.32,-71.68
41.24,-71.6
41.24,-71.56
41.2,-71.6
41.2,-71.56
41.16,-71.6
41.16,-71.56
