Lat,Lon
31.0,-87.48
31.0,-86.32
30.96,-85.52
30.96,-85.16
30.92,-86.28
30.8,-86.68
30.8,-85.68
30.76,-86.56
30.76,-86.28
30.76,-86.24
30.76,-86.12
30.76,-85.8
30.76,-85.76
30.76,-85.52
30.76,-85.24
30.76,-85.2
30.72,-86.6
30.72,-86.56
30.72,-86.48
30.72,-86.12
30.72,-86.04
30.72,-85.92
30.72,-85.04
30.72,-85.0
30.72,-81.68
30.68,-87.32
30.68,-86.84
30.68,-84.84
30.68,-81.92
30.64,-87.32
30.64,-87.2
30.64,-87.16
30.64,-87.08
30.64,-86.96
30.64,-86.52
30.64,-85.4
30.64,-85.0
30.64,-81.44
30.6,-87.32
30.6,-87.16
30.6,-87.12
30.6,-87.08
30.6,-87.04
30.6,-85.32
30.6,-84.6
30.6,-84.56
30.6,-81.6
30.6,-81.56
30.6,-81.52
30.56,-87.32
30.56,-87.04
30.56,-86.76
30.56,-84.64
30.56,-84.28
30.56,-82.68
30.52,-87.32
30.52,-87.28
30.52,-87.2
30.52,-87.08
30.52,-86.96
30.52,-86.64
30.52,-86.48
30.52,-86.44
30.52,-84.28
30.52,-84.24
30.52,-84.2
30.52,-82.96
30.52,-81.8
30.52,-81.48
30.48,-87.32
30.48,-87.28
30.48,-87.24
30.48,-87.2
30.48,-86.56
30.48,-86.52
30.48,-86.48
30.48,-86.44
30.48,-86.4
30.48,-86.08
30.48,-84.36
30.48,-84.32
30.48,-84.28
30.48,-84.24
30.48,-84.2
30.48,-83.92
30.48,-83.36
30.48,-81.68
30.48,-81.64
30.48,-81.6
30.44,-87.32
30.44,-87.28
30.44,-87.24
30.44,-87.2
30.44,-86.92
30.44,-86.68
30.44,-86.64
30.44,-86.6
30.44,-86.56
30.44,-85.72
30.44,-85.04
30.44,-84.48
30.44,-84.44
30.44,-84.4
30.44,-84.32
30.44,-84.28
30.44,-84.24
30.44,-84.2
30.44,-82.92
30.44,-81.92
30.44,-81.76
30.44,-81.68
30.44,-81.64
30.44,-81.6
30.44,-81.56
30.4,-87.28
30.4,-87.24
30.4,-87.0
30.4,-86.96
30.4,-86.88
30.4,-86.6
30.4,-86.48
30.4,-86.44
30.4,-86.32
30.4,-85.72
30.4,-85.68
30.4,-84.36
30.4,-84.32
30.4,-84.28
30.4,-83.88
30.4,-83.36
30.4,-81.72
30.4,-81.68
30.4,-81.64
30.4,-81.56
30.4,-81.52
30.36,-87.36
30.36,-87.32
30.36,-87.28
30.36,-87.2
30.36,-87.16
30.36,-86.24
30.36,-86.16
30.36,-85.8
30.36,-83.8
30.36,-81.8
30.36,-81.76
30.36,-81.72
30.36,-81.68
30.36,-81.64
30.36,-81.6
30.36,-81.56
30.36,-81.48
30.36,-81.4
30.32,-87.44
30.32,-86.12
30.32,-85.6
30.32,-84.28
30.32,-83.64
30.32,-83.04
30.32,-82.8
30.32,-81.96
30.32,-81.84
30.32,-81.8
30.32,-81.76
30.32,-81.72
30.32,-81.68
30.32,-81.64
30.32,-81.6
30.32,-81.56
30.32,-81.52
30.32,-81.48
30.32,-81.44
30.32,-81.4
30.28,-87.52
30.28,-86.0
30.28,-85.96
30.28,-85.64
30.28,-84.2
30.28,-83.0
30.28,-82.16
30.28,-82.12
30.28,-81.96
30.28,-81.84
30.28,-81.76
30.28,-81.72
30.28,-81.64
30.28,-81.6
30.28,-81.56
30.28,-81.52
30.28,-81.48
30.28,-81.44
30.28,-81.4
30.24,-85.92
30.24,-85.64
30.24,-85.56
30.24,-85.52
30.24,-83.24
30.24,-82.64
30.24,-82.6
30.24,-82.0
30.24,-81.88
30.24,-81.84
30.24,-81.8
30.24,-81.76
30.24,-81.72
30.24,-81.68
30.24,-81.6
30.24,-81.56
30.24,-81.52
30.24,-81.44
30.24,-81.4
30.2,-85.84
30.2,-85.76
30.2,-85.68
30.2,-85.64
30.2,-84.36
30.2,-82.72
30.2,-82.64
30.2,-82.48
30.2,-81.8
30.2,-81.76
30.2,-81.72
30.2,-81.64
30.2,-81.6
30.2,-81.4
30.16,-85.76
30.16,-85.64
30.16,-85.6
30.16,-84.96
30.16,-84.2
30.16,-82.96
30.16,-82.8
30.16,-82.64
30.16,-81.84
30.16,-81.72
30.16,-81.64
30.16,-81.6
30.16,-81.56
30.16,-81.52
30.16,-81.36
30.12,-85.6
30.12,-85.2
30.12,-83.4
30.12,-81.96
30.12,-81.88
30.12,-81.8
30.12,-81.6
30.12,-81.52
30.12,-81.4
30.08,-85.6
30.08,-83.56
30.08,-82.6
30.08,-81.72
30.08,-81.64
30.08,-81.6
30.08,-81.56
30.04,-83.72
30.04,-82.84
30.04,-81.92
30.04,-81.88
30.04,-81.8
30.04,-81.4
30.0,-82.6
30.0,-81.72
30.0,-81.68
30.0,-81.6
29.96,-82.92
29.96,-82.12
29.96,-81.52
29.96,-81.48
29.92,-84.52
29.92,-82.76
29.92,-82.72
29.92,-81.44
29.92,-81.4
29.92,-81.36
29.92,-81.32
29.88,-84.6
29.88,-81.4
29.88,-81.32
29.84,-84.68
29.84,-81.32
29.84,-81.28
29.8,-82.0
29.8,-81.88
29.8,-81.84
29.8,-81.32
29.76,-84.88
29.76,-81.96
29.76,-81.64
29.76,-81.32
29.72,-85.04
29.72,-85.0
29.72,-82.36
29.72,-82.0
29.68,-85.24
29.68,-83.4
29.68,-83.04
29.68,-82.4
29.68,-82.36
29.68,-82.32
29.68,-82.28
29.68,-81.68
29.64,-83.12
29.64,-82.6
29.64,-82.44
29.64,-82.4
29.64,-82.36
29.64,-82.32
29.64,-82.28
29.64,-81.92
29.64,-81.88
29.64,-81.68
29.64,-81.64
29.64,-81.48
29.64,-81.44
29.6,-83.08
29.6,-82.2
29.6,-82.16
29.6,-81.92
29.6,-81.24
29.56,-82.96
29.56,-81.64
29.56,-81.24
29.56,-81.2
29.52,-82.92
29.52,-82.64
29.52,-81.6
29.52,-81.24
29.52,-81.2
29.52,-81.16
29.48,-82.6
29.48,-82.24
29.48,-82.16
29.48,-81.64
29.48,-81.44
29.48,-81.4
29.48,-81.2
29.44,-82.6
29.44,-82.04
29.44,-81.56
29.44,-81.52
29.44,-81.4
29.4,-81.6
29.4,-81.16
29.36,-82.56
29.36,-81.16
29.28,-82.12
29.28,-81.12
29.28,-81.08
29.28,-81.04
29.24,-82.44
29.24,-82.28
29.24,-82.16
29.24,-82.12
29.24,-81.04
29.2,-82.24
29.2,-82.16
29.2,-82.12
29.2,-82.08
29.2,-81.12
29.2,-81.08
29.2,-81.0
29.16,-82.64
29.16,-82.52
29.16,-82.48
29.16,-82.44
29.16,-82.4
29.16,-82.36
29.16,-82.12
29.16,-82.04
29.16,-81.04
29.16,-81.0
29.12,-82.4
29.12,-82.32
29.12,-82.04
29.12,-82.0
29.12,-81.36
29.12,-81.04
29.12,-81.0
29.08,-82.64
29.08,-82.44
29.08,-82.32
29.08,-82.28
29.08,-82.2
29.08,-82.08
29.08,-82.04
29.08,-81.96
29.08,-81.36
29.08,-81.32
29.08,-81.28
29.08,-81.24
29.08,-81.08
29.08,-81.04
29.08,-80.96
29.04,-82.48
29.04,-82.04
29.04,-82.0
29.04,-81.96
29.04,-81.92
29.04,-81.64
29.04,-81.32
29.04,-81.28
29.04,-80.96
29.0,-82.64
29.0,-82.52
29.0,-82.48
29.0,-82.44
29.0,-82.24
29.0,-82.2
29.0,-82.0
29.0,-81.36
29.0,-81.32
29.0,-81.24
29.0,-81.08
29.0,-80.92
28.96,-82.68
28.96,-82.56
28.96,-82.48
28.96,-82.44
28.96,-82.36
28.96,-82.2
28.96,-82.16
28.96,-82.04
28.96,-82.0
28.96,-81.96
28.96,-81.44
28.96,-81.32
28.96,-81.24
28.96,-81.2
28.92,-82.52
28.92,-82.48
28.92,-82.44
28.92,-82.0
28.92,-81.96
28.92,-81.92
28.92,-81.68
28.92,-81.24
28.92,-81.2
28.88,-82.52
28.88,-82.44
28.88,-82.4
28.88,-82.36
28.88,-82.12
28.88,-82.0
28.88,-81.96
28.88,-81.92
28.88,-81.88
28.88,-81.72
28.88,-81.56
28.88,-81.36
28.88,-81.32
28.88,-81.28
28.88,-81.24
28.88,-81.2
28.88,-81.16
28.84,-82.56
28.84,-82.36
28.84,-82.04
28.84,-81.92
28.84,-81.68
28.84,-81.56
28.84,-81.32
28.84,-81.16
28.84,-81.12
28.8,-82.6
28.8,-82.56
28.8,-82.52
28.8,-82.36
28.8,-82.32
28.8,-82.28
28.8,-82.04
28.8,-82.0
28.8,-81.92
28.8,-81.76
28.8,-81.68
28.8,-81.64
28.8,-81.56
28.8,-81.52
28.8,-81.4
28.8,-81.36
28.8,-81.32
28.8,-81.28
28.8,-81.24
28.76,-82.48
28.76,-81.88
28.76,-81.64
28.76,-81.52
28.76,-81.4
28.76,-81.36
28.76,-81.32
28.76,-81.28
28.76,-81.24
28.72,-82.52
28.72,-81.88
28.72,-81.56
28.72,-81.36
28.72,-81.32
28.72,-81.12
28.72,-80.88
28.68,-82.56
28.68,-82.52
28.68,-82.48
28.68,-82.12
28.68,-81.52
28.68,-81.48
28.68,-81.44
28.68,-81.4
28.68,-81.36
28.68,-81.32
28.68,-81.28
28.68,-81.24
28.68,-81.2
28.64,-82.52
28.64,-81.8
28.64,-81.72
28.64,-81.52
28.64,-81.48
28.64,-81.44
28.64,-81.4
28.64,-81.32
28.64,-81.28
28.64,-81.24
28.64,-81.2
28.64,-81.12
28.64,-80.84
28.6,-82.52
28.6,-81.76
28.6,-81.72
28.6,-81.56
28.6,-81.48
28.6,-81.44
28.6,-81.4
28.6,-81.36
28.6,-81.32
28.6,-81.28
28.6,-81.24
28.6,-81.2
28.6,-81.08
28.6,-80.68
28.56,-82.56
28.56,-82.52
28.56,-82.48
28.56,-82.4
28.56,-82.2
28.56,-82.16
28.56,-81.84
28.56,-81.76
28.56,-81.72
28.56,-81.68
28.56,-81.6
28.56,-81.56
28.56,-81.48
28.56,-81.44
28.56,-81.4
28.56,-81.36
28.56,-81.32
28.56,-81.28
28.56,-81.24
28.56,-81.2
28.56,-81.16
28.56,-81.12
28.56,-80.84
28.56,-80.8
28.52,-82.6
28.52,-82.56
28.52,-82.52
28.52,-82.48
28.52,-82.24
28.52,-81.76
28.52,-81.56
28.52,-81.52
28.52,-81.48
28.52,-81.44
28.52,-81.4
28.52,-81.36
28.52,-81.32
28.52,-81.28
28.52,-81.24
28.52,-81.16
28.52,-80.68
28.52,-80.56
28.48,-82.6
28.48,-82.52
28.48,-82.48
28.48,-82.2
28.48,-81.76
28.48,-81.48
28.48,-81.44
28.48,-81.4
28.48,-81.32
28.48,-81.28
28.48,-81.24
28.48,-80.8
28.44,-82.6
28.44,-82.56
28.44,-82.52
28.44,-82.48
28.44,-82.28
28.44,-81.64
28.44,-81.48
28.44,-81.4
28.44,-81.36
28.44,-81.32
28.44,-81.28
28.44,-80.76
28.44,-80.72
28.4,-82.6
28.4,-82.56
28.4,-82.52
28.4,-82.48
28.4,-82.2
28.4,-81.6
28.4,-81.52
28.4,-81.44
28.4,-81.4
28.4,-81.32
28.4,-81.24
28.4,-80.8
28.4,-80.76
28.4,-80.6
28.36,-82.68
28.36,-82.64
28.36,-82.6
28.36,-82.56
28.36,-82.32
28.36,-82.2
28.36,-81.68
28.36,-81.64
28.36,-81.56
28.36,-81.52
28.36,-81.44
28.36,-81.4
28.36,-81.36
28.36,-80.8
28.36,-80.76
28.32,-82.68
28.32,-82.6
28.32,-81.68
28.32,-81.6
28.32,-81.48
28.32,-81.44
28.32,-81.4
28.32,-81.36
28.32,-81.24
28.32,-80.72
28.32,-80.64
28.28,-82.72
28.28,-82.68
28.28,-82.64
28.28,-82.36
28.28,-82.2
28.28,-82.16
28.28,-81.64
28.28,-81.6
28.28,-81.44
28.28,-81.36
28.28,-81.32
28.28,-80.72
28.24,-82.76
28.24,-82.72
28.24,-82.36
28.24,-82.32
28.24,-82.24
28.24,-82.2
28.24,-81.96
28.24,-81.64
28.24,-81.56
28.24,-81.44
28.24,-81.32
28.24,-81.28
28.24,-81.24
28.24,-81.2
28.24,-80.72
28.24,-80.68
28.24,-80.6
28.2,-82.76
28.2,-82.68
28.2,-82.52
28.2,-82.48
28.2,-82.44
28.2,-82.4
28.2,-82.36
28.2,-82.24
28.2,-82.2
28.2,-82.0
28.2,-81.64
28.2,-81.44
28.2,-81.28
28.2,-80.68
28.2,-80.6
28.16,-82.76
28.16,-82.72
28.16,-82.52
28.16,-82.48
28.16,-82.44
28.16,-82.28
28.16,-82.0
28.16,-81.96
28.16,-81.92
28.16,-81.64
28.16,-81.6
28.16,-81.48
28.16,-81.44
28.16,-81.28
28.16,-81.24
28.16,-80.72
28.16,-80.68
28.16,-80.64
28.16,-80.6
28.12,-82.76
28.12,-82.72
28.12,-82.68
28.12,-82.64
28.12,-82.56
28.12,-82.52
28.12,-82.44
28.12,-82.4
28.12,-82.04
28.12,-82.0
28.12,-81.96
28.12,-81.92
28.12,-81.64
28.12,-81.6
28.12,-80.68
28.12,-80.64
28.08,-82.76
28.08,-82.72
28.08,-82.64
28.08,-82.56
28.08,-82.52
28.08,-82.44
28.08,-82.32
28.08,-82.24
28.08,-82.2
28.08,-82.0
28.08,-81.96
28.08,-81.92
28.08,-81.68
28.08,-81.56
28.08,-80.68
28.08,-80.64
28.08,-80.6
28.04,-82.76
28.04,-82.72
28.04,-82.68
28.04,-82.64
28.04,-82.6
28.04,-82.56
28.04,-82.52
28.04,-82.48
