Year,Month,Day,Tmax,Tmin,Prcp(mm),T_ave,Prcp(cm),Rh_ave
2001,01,01,18.067926,0.671136,0.0,9.369531,0.0,34.68801
2001,01,02,19.247522,1.279871,0.0,10.2636965,0.0,31.2094925
2001,01,03,20.685297,2.37182,0.0,11.5285585,0.0,30.478643
2001,01,04,20.270746,2.537469,0.0,11.4041075,0.0,31.5069195
2001,01,05,19.937952,2.006036,0.0,10.971994,0.0,33.557646
2001,01,06,19.099481,0.425745,0.0,9.762613,0.0,38.1580885
2001,01,07,19.030115,0.975336,0.0,10.0027255,0.0,37.6029415
2001,01,08,19.28634,1.024652,0.0,10.155496,0.0,35.6581175
2001,01,09,17.7203,-0.415839,0.0,8.6522305,0.0,43.338177
2001,01,10,17.129175,-0.599188,0.0,8.2649935,0.0,35.24271
2001,01,11,16.107812,-1.217657,0.0,7.4450775,0.0,35.6220435
2001,01,12,17.593378,1.612299,0.0,9.6028385,0.0,52.3717375
2001,01,13,17.039209,0.105035,0.0,8.572122,0.0,52.610184
2001,01,14,17.046564,3.064935,0.0,10.0557495,0.0,49.828829
2001,01,15,14.374567,0.62417,0.0,7.4993685,0.0,57.2928695
2001,01,16,16.281641,0.607507,0.0,8.444574,0.0,40.282632
2001,01,17,15.76806,3.296198,0.0,9.532129,0.0,33.4035885
2001,01,18,13.861322,3.285913,0.0,8.5736175,0.0,40.72799
2001,01,19,14.167505,1.366083,2.431025,7.766794,0.2431025,56.068819
2001,01,20,13.584772,-1.379034,0.0,6.102869,0.0,47.4625015
2001,01,21,11.824365,-0.422766,0.0,5.7007995,0.0,51.062704
2001,01,22,9.67132,0.987024,8.613219,5.329172,0.8613219,76.9109975
2001,01,23,16.045923,4.436945,3.677179,10.241434,0.3677179,81.1047325
2001,01,24,13.485406,4.874872,12.595675,9.180139,1.2595675,61.3979835
2001,01,25,15.826715,2.402795,6.735641,9.114755,0.6735641,58.1166585
2001,01,26,12.116388,3.166589,10.129167,7.6414885,1.0129167,62.696213
2001,01,27,13.908044,2.429987,1.69036,8.1690155,0.169036,61.8092495
